AM_wt%,eps_f02,eps_f05,eps_f10,eps_knee,std_f05,n_pts
0,55.0,49.81,47.1,30.5,0.1,62190
10,52.0,46.44,43.3,16.0,0.2,66557
20,51.4,46.03,42.8,20.0,0.1,67245
30,50.5,45.27,42.0,21.0,0.1,68187
40,47.0,41.97,38.8,16.0,0.2,73438
50,46.2,41.38,38.1,11.8,0.3,74515
60,43.7,38.72,35.4,8.7,0.4,79750
70,43.9,38.48,34.7,6.8,0.4,76549
80,41.0,35.5,31.9,7.3,0.6,78033
85,39.9,35.08,30.7,7.3,0.5,75359
90,36.2,32.2,28.2,7.1,0.5,79424
95,33.2,30.06,26.9,5.8,0.6,82679
100,33.7,30.73,28.1,11.2,0.3,78189
