id,stratum,ntype,kind,pdd_SE,w_AM_P,w_AM_S,rP_um,rS_um,rSE_um,rSE_lo_um,rSE_truncated,volfrac,phi_AM,n_AM_est,n_SE_est,n_total_est,lhs_cell,seed
lhsx_001,0,3,bimodal,0.311278,0.300377,0.388345,4.9353,1.9317,0.564,0.5,0,0.242668,0.479682,760,56120,56880,"1,3,3,1",27179
lhsx_002,0,3,bimodal,0.343921,0.38377,0.272308,2.5075,2.4028,0.8783,0.5,0,0.2651,0.44285,627,17382,18010,"7,5,0,6",26759
lhsx_003,0,2,mono_AM_P,0.324264,0.675736,0.0,3.1671,,0.6559,0.5,0,0.313345,0.464752,366,47402,47768,"3,7,1,2",25301
lhsx_004,0,3,bimodal,0.325396,0.605049,0.069556,4.3416,1.0292,0.8165,0.5,0,0.198772,0.463469,775,15625,16400,"4,1,2,5",25439
lhsx_005,0,2,mono_AM_S,0.306115,0.693885,0.0,2.3295,,0.7359,0.5,0,0.288091,0.485723,883,29645,30527,"0,6,7,3",25903
lhsx_006,0,3,bimodal,0.335645,0.459406,0.20495,6.493,0.5721,0.7944,0.5,0,0.254539,0.451972,15134,22183,37318,"5,4,6,4",27941
lhsx_007,0,3,bimodal,0.313363,0.187783,0.498854,5.0512,1.6811,0.9568,0.5,0,0.193037,0.47726,1139,9184,10323,"2,0,4,7",22531
lhsx_008,0,3,bimodal,0.339089,0.067236,0.593675,5.9262,1.2654,0.5283,0.5,0,0.219543,0.448159,3482,65503,68985,"6,2,5,0",20357
lhsx_009,1,3,bimodal,0.353566,0.449753,0.196682,7.4635,0.6831,0.9378,0.5,0,0.25861,0.4324,8525,14190,22715,"0,4,7,7",21757
lhsx_010,1,3,bimodal,0.387194,0.537031,0.075775,3.58,0.8374,0.6065,0.5,0,0.283331,0.397392,2062,61038,63101,"5,6,1,1",25219
lhsx_011,1,3,bimodal,0.371781,0.312156,0.316063,5.7763,1.9512,0.5118,0.5,0,0.190884,0.413168,442,66632,67075,"3,0,5,0",26227
lhsx_012,1,2,mono_AM_S,0.399928,0.600072,0.0,1.7855,,0.9175,0.5,0,0.220609,0.384686,1189,14015,15204,"7,2,4,6",28901
lhsx_013,1,2,mono_AM_P,0.380376,0.619624,0.0,6.8345,,0.8483,0.5,0,0.265803,0.404315,27,20682,20709,"4,5,6,5",27103
lhsx_014,1,3,bimodal,0.35856,0.073725,0.567715,2.6988,1.4896,0.7251,0.5,0,0.208968,0.427061,1947,25041,26988,"1,1,0,3",29587
lhsx_015,1,3,bimodal,0.390457,0.182866,0.426677,4.1267,2.1886,0.759,0.5,0,0.235045,0.394108,525,25974,26499,"6,3,2,4",23447
lhsx_016,1,3,bimodal,0.368028,0.385609,0.246363,4.6757,1.7198,0.674,0.5,0,0.304791,0.417077,837,46269,47107,"2,7,3,2",20249
lhsx_017,2,2,mono_AM_P,0.40017,0.59983,0.0,2.8018,,0.7888,0.5,0,0.245198,0.384448,342,24517,24859,"0,3,0,4",21611
lhsx_018,2,3,bimodal,0.449985,0.140344,0.409671,5.1972,0.9129,0.9832,0.5,0,0.211379,0.337437,5578,11751,17328,"7,1,4,7",26357
lhsx_019,2,3,bimodal,0.432141,0.325505,0.242354,4.5971,2.3868,0.7226,0.5,0,0.176778,0.353807,186,24144,24330,"5,0,3,3",29123
lhsx_020,2,3,bimodal,0.414609,0.289342,0.29605,6.2987,1.7372,0.6265,0.5,0,0.224316,0.370395,652,45802,46454,"2,2,6,2",29059
lhsx_021,2,3,bimodal,0.440979,0.094431,0.46459,4.3282,2.1491,0.5916,0.5,0,0.269738,0.345636,638,67985,68623,"6,5,2,1",24329
lhsx_022,2,3,bimodal,0.40669,0.385089,0.20822,3.4144,1.189,0.8423,0.5,0,0.313332,0.378057,2126,26003,28129,"1,7,1,5",29833
lhsx_023,2,3,bimodal,0.429805,0.449759,0.120435,7.3127,0.8305,0.5433,0.5,0,0.252962,0.355987,2662,80981,83643,"4,4,7,0",26539
lhsx_024,2,2,mono_AM_S,0.420503,0.579497,0.0,2.1211,,0.909,0.5,0,0.283119,0.364761,863,19091,19954,"3,6,5,6",29789
lhsx_025,3,2,mono_AM_P,0.454578,0.545422,0.0,6.7472,,0.8358,0.5,0,0.256768,0.333304,22,23380,23402,"0,4,6,5",22063
lhsx_026,3,3,bimodal,0.468101,0.074975,0.456924,2.7951,1.7947,0.9736,0.5,0,0.198956,0.321323,790,11668,12458,"2,1,0,7",27631
lhsx_027,3,3,bimodal,0.457761,0.216394,0.325845,3.2544,0.7487,0.6194,0.5,0,0.281601,0.330459,10710,63262,73972,"1,5,1,1",25583
lhsx_028,3,3,bimodal,0.48466,0.17574,0.339599,5.8611,1.4966,0.9186,0.5,0,0.301484,0.307019,1463,21494,22957,"5,7,5,6",24749
lhsx_029,3,3,bimodal,0.471988,0.283902,0.24411,4.8758,1.941,0.7628,0.5,0,0.217066,0.317929,373,26597,26970,"3,2,3,4",24571
lhsx_030,3,3,bimodal,0.487677,0.441121,0.071202,5.1646,2.3759,0.6297,0.5,0,0.286142,0.304456,115,63568,63683,"6,6,4,2",20873
lhsx_031,3,2,mono_AM_S,0.495305,0.504695,0.0,1.3799,,0.555,0.5,0,0.181648,0.298031,1643,59483,61125,"7,0,2,0",27487
lhsx_032,3,3,bimodal,0.479455,0.332464,0.188081,7.4969,0.8358,0.7325,0.5,0,0.245613,0.311473,3784,34313,38097,"4,3,7,3",23269
lhsx_033,4,3,bimodal,0.533368,0.196881,0.269751,6.923,2.0926,0.749,0.5,0,0.185128,0.267148,254,25750,26004,"5,0,7,3",28949
lhsx_034,4,3,bimodal,0.543465,0.055927,0.400608,2.9014,2.2674,0.7761,0.5,0,0.285171,0.259269,473,36033,36507,"6,6,0,4",25087
lhsx_035,4,2,mono_AM_P,0.510316,0.489684,0.0,4.4144,,0.9327,0.5,0,0.217236,0.285623,58,15249,15307,"1,2,3,6",27211
lhsx_036,4,3,bimodal,0.504121,0.326541,0.169338,6.2731,0.7606,0.9873,0.5,0,0.305639,0.290707,5516,17964,23480,"0,7,6,7",23021
lhsx_037,4,2,mono_AM_S,0.549907,0.450093,0.0,1.1995,,0.8718,0.5,0,0.202519,0.254308,2380,18176,20556,"7,1,1,5",28349
