AM_wt%,eps_f02,eps_f05,eps_f10,eps_knee,std_f05,n_pts
0,50.2,43.09,40.1,15.2,0.1,167222
10,47.5,40.1,36.7,11.4,0.2,177058
20,47.4,39.99,36.6,14.5,0.1,177741
30,44.2,37.48,34.1,8.0,0.4,188545
40,43.9,37.03,33.8,6.2,0.4,190032
50,42.7,35.13,31.9,20.2,0.3,200110
60,39.7,33.02,29.9,18.8,0.4,211960
70,40.2,33.1,29.3,4.8,0.3,198236
80,36.7,30.61,26.7,5.6,1.1,196854
85,34.0,28.36,25.0,6.3,0.8,202455
90,33.4,30.21,25.2,5.8,2.3,208134
95,31.7,28.18,25.1,9.2,2.2,211635
100,34.0,30.75,27.8,7.4,2.1,195171
