AM_wt%,eps_f02,eps_f05,eps_f10,eps_knee,std_f05,n_pts
0,50.2,43.09,40.1,15.2,0.1,167222
10,47.4,39.99,36.6,14.5,0.1,177741
20,47.0,39.67,36.3,9.7,0.0,179349
30,46.4,39.06,35.7,10.9,0.1,181519
40,43.1,36.2,33.0,7.7,0.2,194294
50,42.3,35.72,32.6,10.7,0.2,196827
60,40.9,33.88,30.4,6.0,0.4,209438
70,41.0,32.91,29.4,6.8,0.2,200105
80,35.6,30.37,27.2,6.3,0.6,202509
85,35.7,30.32,26.5,5.9,0.9,194835
90,33.0,27.51,24.8,6.1,0.3,204300
95,29.9,26.49,24.1,7.3,0.7,211587
100,30.0,27.66,24.9,11.7,0.8,198909
