AM_wt%,eps_f02,eps_f05,eps_f10,eps_knee,std_f05,n_pts
0,50.2,43.09,40.1,15.2,0.1,167222
10,47.1,39.8,36.5,8.5,0.1,178545
20,46.7,39.27,36.0,8.5,0.1,180836
30,46.0,38.49,35.2,9.8,0.1,183931
40,44.9,37.74,34.4,9.4,0.1,188314
50,43.7,37.03,33.6,7.6,0.2,192939
60,40.1,33.86,30.7,8.5,0.3,207763
70,38.7,32.89,29.6,7.2,0.6,201974
80,37.0,30.21,26.8,9.2,0.5,210057
85,33.7,30.03,25.9,4.8,0.6,204276
90,32.8,29.34,25.2,5.2,0.7,200466
95,30.6,26.93,24.0,6.0,0.2,211539
100,32.0,28.51,25.6,8.6,0.7,204540
