name,r_AM_P,r_AM_S,r_SE,ratio_P,ratio_S,phi_am,phi_se,AM_wt,PS,mAh,thickness_um,P_MPa,dem_porosity,e_se_gpa
260529_101547_2cb53d,0,2.5,0.5,0.0,5.0,0.5596091823476259,0.2365163041585899,85.0,0:10,,,300,20.387,1.35
260529_101602_9c99ec,0,2.5,0.5,0.0,5.0,0.5577954748974959,0.23574974886167707,85.0,0:10,,,300,20.645,1.35
260529_101635_f2ca86,0,2.5,0.5,0.0,5.0,0.5525352513539181,0.23354992677357878,85.0,0:10,,,300,21.391,1.35
260529_111039_050593,5.0,2.5,0.5,10.0,5.0,0.5859017136068461,0.2458196894838423,85.1,5:5,,,300,16.828,1.35
260529_111050_a548ba,5.0,2.5,0.5,10.0,5.0,0.5835223898359462,0.24425236412369977,85.1,5:5,,,300,17.223,1.35
260529_111103_824b12,5.0,2.5,0.5,10.0,5.0,0.5955563654304447,0.24925206248339046,85.2,5:5,,,300,15.519,1.35
260529_111115_30ff9f,5.0,2.5,0.5,10.0,5.0,0.5874470199439735,0.24610483867577715,85.1,5:5,,,300,16.645,1.35
260529_174521_70cd06,5.0,0,0.5,10.0,0.0,0.5011238910863677,0.2964147815781471,80.2,10:0,,,300,20.246,1.35
260529_174531_d28a29,5.0,0,0.5,10.0,0.0,0.49993020495662277,0.29572954665760837,80.2,10:0,,,300,20.434,1.35
260529_174541_eeb7b4,5.0,0,0.5,10.0,0.0,0.4957417064768169,0.2933035150471201,80.2,10:0,,,300,21.095,1.35
260529_174558_12066e,5.0,0,0.5,10.0,0.0,0.5080169434113432,0.30050260571469894,80.2,10:0,,,300,19.148,1.35
260529_174608_1b82f7,5.0,0,0.5,10.0,0.0,0.5014888629672376,0.29664111013032735,80.2,10:0,,,300,20.187,1.35
260529_182013_afbd24,0,2.0,0.5,0.0,4.0,0.5986933975980837,0.12762380125107878,91.8,0:10,,,300,27.368,1.35
260601_101701_b10c8b,6.0,2.0,0.5,12.0,4.0,0.6383807702803621,0.133879499617589,92.0,3:7,,,300,22.774,1.35
260601_102251_fe288e,6.0,2.0,0.5,12.0,4.0,0.6580458477711115,0.13948818195818274,91.9,5:5,,,300,20.247,1.35
260601_103731_64693d,0,2.0,0.5,0.0,4.0,0.569028781092134,0.2089084190253697,86.7,0:10,,,300,22.206,1.35
260601_122612_826bd9,0,2.0,0.5,0.0,4.0,0.57213616419238,0.20998546606567897,86.7,0:10,,,300,21.788,1.35
260601_122631_2f0f00,6.0,2.0,0.5,12.0,4.0,0.6124746265210796,0.22273098498784807,86.8,3:7,,,300,16.479,1.35
260601_122648_1eca68,6.0,2.0,0.5,12.0,4.0,0.6210167666216774,0.22749666903167956,86.8,5:5,,,300,15.149,1.35
260601_122725_63b338,6.0,2.0,0.5,12.0,4.0,0.6165514113437804,0.22705733956903956,86.7,7:3,,,300,15.639,1.35
260601_122746_af95a8,6.0,0,0.5,12.0,0.0,0.5523403791386265,0.2020195263578253,86.8,10:0,,,300,24.564,1.35
260601_122815_eddb8b,0,2.0,0.5,0.0,4.0,0.5924415219312623,0.1263235362822455,91.8,0:10,,,300,28.123,1.35
260601_122841_c394d6,6.0,2.0,0.5,12.0,4.0,0.6381397940781188,0.13447575985828833,91.9,3:7,,,300,22.738,1.35
260601_122907_4b2aaa,6.0,2.0,0.5,12.0,4.0,0.6522371128811962,0.13803518460699504,91.9,5:5,,,300,20.973,1.35
