id,stratum,ntype,kind,pdd_SE,w_AM_P,w_AM_S,rP_um,rS_um,rSE_um,rSE_lo_um,rSE_truncated,volfrac,phi_AM,n_AM_est,n_SE_est,n_total_est,seed
lhsx_001,0,3,bimodal,0.308681,0.171454,0.519864,6.1005,1.7988,0.6925,0.5,0,0.199787,0.482712,1002,24818,25820,27213
lhsx_002,0,3,bimodal,0.300468,0.298407,0.401125,5.3512,0.504,0.6211,0.5,0,0.274544,0.492401,48316,46374,94690,26870
lhsx_003,0,3,bimodal,0.348371,0.459469,0.19216,4.1168,0.8558,0.8572,0.5,0,0.236888,0.438005,3977,16851,20827,24836
lhsx_004,0,3,bimodal,0.316895,0.430378,0.252727,4.5338,1.4822,0.5565,0.5,0,0.314831,0.473178,1430,76745,78175,29628
lhsx_005,0,3,bimodal,0.332353,0.528876,0.138772,3.2255,2.1968,0.7948,0.5,0,0.268624,0.455641,422,23223,23645,23719
lhsx_006,0,3,bimodal,0.333861,0.117858,0.548281,6.9629,1.9629,0.9198,0.5,0,0.216696,0.453957,858,12124,12982,23545
lhsx_007,0,2,mono_AM_P,0.338584,0.661416,0.0,3.8026,,0.7366,0.5,0,0.264514,0.448717,172,29088,29260,24363
lhsx_008,0,2,mono_AM_S,0.307403,0.692597,0.0,2.2278,,0.9682,0.5,0,0.193021,0.48421,674,8746,9420,29922
lhsx_009,1,3,bimodal,0.38476,0.334199,0.281041,7.4718,1.3914,0.5101,0.5,0,0.307609,0.399854,1676,110923,112599,29855
lhsx_010,1,3,bimodal,0.395307,0.523289,0.081404,5.9867,1.0842,0.6671,0.5,0,0.260532,0.389263,887,42736,43623,24010
lhsx_011,1,3,bimodal,0.353431,0.113621,0.532947,2.7292,0.5702,0.9753,0.5,0,0.24594,0.432544,37782,11996,49778,22349
lhsx_012,1,3,bimodal,0.361097,0.478374,0.16053,5.636,1.5149,0.7657,0.5,0,0.282071,0.424369,730,28838,29568,27664
lhsx_013,1,3,bimodal,0.37903,0.16666,0.45431,3.3437,2.2782,0.89,0.5,0,0.223267,0.405693,499,15009,15508,23021
lhsx_014,1,3,bimodal,0.372715,0.279957,0.347328,4.7403,1.9444,0.6311,0.5,0,0.19669,0.412199,514,36683,37197,27531
lhsx_015,1,2,mono_AM_P,0.366572,0.633428,0.0,3.8735,,0.749,0.5,0,0.238492,0.418602,137,26307,26444,21705
lhsx_016,1,2,mono_AM_S,0.391046,0.608954,0.0,1.759,,0.9152,0.5,0,0.291012,0.393517,1678,18359,20036,27097
lhsx_017,2,3,bimodal,0.423522,0.356854,0.219624,7.0978,1.3522,0.9706,0.5,0,0.194586,0.361898,875,10829,11703,25403
lhsx_018,2,3,bimodal,0.441472,0.203186,0.355342,5.7232,1.5235,0.5952,0.5,0,0.20746,0.345183,1038,51360,52398,27911
lhsx_019,2,3,bimodal,0.425934,0.058923,0.515144,4.95,2.0896,0.8505,0.5,0,0.246346,0.359622,701,20444,21145,25168
lhsx_020,2,3,bimodal,0.445834,0.255708,0.298459,2.7228,0.5935,0.537,0.5,0,0.267747,0.3412,18932,90814,109746,23292
lhsx_021,2,3,bimodal,0.406885,0.477004,0.11611,3.6712,2.4508,0.8271,0.5,0,0.280858,0.377867,250,24621,24871,25822
lhsx_022,2,3,bimodal,0.415242,0.428777,0.155981,5.953,1.0354,0.7262,0.5,0,0.312671,0.369787,2248,41031,43278,24698
lhsx_023,2,2,mono_AM_P,0.429449,0.570551,0.0,2.6325,,0.9054,0.5,0,0.296585,0.356321,462,20512,20974,29192
lhsx_024,2,2,mono_AM_S,0.400563,0.599437,0.0,1.9176,,0.6827,0.5,0,0.245611,0.384061,1067,37912,38979,20385
lhsx_025,3,3,bimodal,0.472446,0.247425,0.280129,4.1444,0.7629,0.6999,0.5,0,0.246894,0.317531,7516,39193,46710,22865
lhsx_026,3,3,bimodal,0.454537,0.055084,0.49038,6.8743,0.9251,0.8587,0.5,0,0.309447,0.333341,9343,25978,35321,23446
lhsx_027,3,3,bimodal,0.46544,0.130463,0.404096,4.8177,2.4713,0.8006,0.5,0,0.260388,0.323658,351,27363,27714,27248
lhsx_028,3,3,bimodal,0.483715,0.454366,0.061919,6.33,1.3458,0.5679,0.5,0,0.290604,0.307825,376,87577,87952,24841
lhsx_029,3,3,bimodal,0.494076,0.266839,0.239084,3.0988,2.1403,0.6119,0.5,0,0.177031,0.299061,278,43196,43475,27464
lhsx_030,3,3,bimodal,0.480874,0.378561,0.140565,5.0815,1.6172,0.9222,0.5,0,0.216695,0.310255,373,15197,15570,25672
lhsx_031,3,2,mono_AM_P,0.467707,0.532293,0.0,6.2194,,0.8159,0.5,0,0.303306,0.321668,32,30209,30241,23451
lhsx_032,3,2,mono_AM_S,0.483158,0.516842,0.0,1.347,,0.5066,0.5,0,0.209796,0.308301,2110,89020,91130,21307
lhsx_033,4,3,bimodal,0.544771,0.13117,0.324059,6.9227,1.939,0.6689,0.5,0,0.25903,0.25826,526,51193,51719,22545
lhsx_034,4,3,bimodal,0.529807,0.418402,0.051791,4.3692,2.2085,0.5221,0.5,0,0.197253,0.269957,89,80698,80787,23430
lhsx_035,4,3,bimodal,0.515921,0.31085,0.17323,4.0064,0.8259,0.9751,0.5,0,0.241114,0.281067,3487,14909,18396,25077
lhsx_036,4,3,bimodal,0.505809,0.272543,0.221648,5.2355,1.3895,0.6013,0.5,0,0.293963,0.289317,1160,76624,77783,25143
lhsx_037,4,3,bimodal,0.535042,0.049932,0.415026,6.423,1.8092,0.8911,0.5,0,0.207595,0.265834,665,17174,17839,29075
lhsx_038,4,3,bimodal,0.517289,0.182689,0.300022,2.5334,1.1366,0.791,0.5,0,0.308992,0.279962,3080,35840,38921,27812
lhsx_039,4,2,mono_AM_P,0.518102,0.481898,0.0,4.1775,,0.7281,0.5,0,0.250806,0.279306,77,37343,37419,22997
lhsx_040,4,2,mono_AM_S,0.545437,0.454563,0.0,1.9033,,0.9381,0.5,0,0.221099,0.257746,659,15850,16509,21258
lhsx_041,5,3,bimodal,0.565039,0.293974,0.140988,4.9443,1.7895,0.5404,0.504,1,0.317365,0.242852,382,121390,121772,24795
lhsx_042,5,3,bimodal,0.570461,0.172523,0.257016,6.8773,0.824,0.9591,0.5,0,0.256923,0.238812,5238,17674,22913,25079
lhsx_043,5,3,bimodal,0.579175,0.325766,0.095059,6.0441,1.3367,0.762,0.5,0,0.198185,0.232391,360,27413,27773,21775
lhsx_044,5,3,bimodal,0.589516,0.091397,0.319088,4.0382,2.2299,0.849,0.5,0,0.2894,0.224883,381,29226,29608,20593
lhsx_045,5,3,bimodal,0.554589,0.162226,0.283185,2.864,1.0645,0.737,0.5,0,0.222315,0.250735,2411,33181,35593,26448
lhsx_046,5,3,bimodal,0.598724,0.224955,0.17632,5.2929,2.1093,0.5866,0.5,0,0.238518,0.218297,210,73656,73866,23684
lhsx_047,5,2,mono_AM_P,0.587345,0.412655,0.0,4.8438,,0.7888,0.5,0,0.176957,0.22645,28,22237,22266,29716
lhsx_048,5,2,mono_AM_S,0.566852,0.433148,0.0,2.0992,,0.6664,0.5,0,0.300918,0.241498,626,61493,62119,26624
lhsx_049,6,3,bimodal,0.62989,0.161701,0.208409,5.9226,1.7066,0.5687,0.5,0,0.25356,0.196674,459,88301,88760,29515
lhsx_050,6,3,bimodal,0.643381,0.072492,0.284126,3.4504,0.6791,0.8253,0.5,0,0.241203,0.187622,9198,27791,36988,29397
lhsx_051,6,3,bimodal,0.619317,0.197141,0.183541,7.234,0.987,0.6057,0.5,0,0.190376,0.203896,1556,54389,55946,22160
lhsx_052,6,3,bimodal,0.634459,0.285385,0.080156,5.5425,2.0836,0.8379,0.5,0,0.220849,0.193588,98,24144,24242,21884
lhsx_053,6,3,bimodal,0.613464,0.12424,0.262296,2.7545,2.3592,0.9774,0.5,0,0.291394,0.207944,324,19708,20032,27014
lhsx_054,6,3,bimodal,0.600055,0.303316,0.096629,4.7308,1.4585,0.7188,0.5073,1,0.312905,0.217352,461,52572,53033,23034
lhsx_055,6,2,mono_AM_P,0.638143,0.361857,0.0,6.6744,,0.8474,0.5,0,0.220391,0.191115,11,23357,23369,22458
lhsx_056,6,2,mono_AM_S,0.610193,0.389807,0.0,1.1517,,0.5117,0.5,0,0.255792,0.210221,2807,120261,123068,21757
lhsx_057,7,3,bimodal,0.695082,0.268802,0.036116,7.0411,2.4868,0.9283,0.5192,1,0.311361,0.154536,39,26243,26282,20743
lhsx_058,7,3,bimodal,0.683158,0.040732,0.27611,4.4418,0.7846,0.5809,0.5,0,0.257229,0.16195,5997,87691,93688,29072
lhsx_059,7,3,bimodal,0.66002,0.256581,0.083399,6.3062,1.3017,0.7706,0.5,0,0.243892,0.176702,393,34991,35384,24676
lhsx_060,7,3,bimodal,0.666929,0.152724,0.180347,2.9212,1.8124,0.8703,0.5,0,0.197495,0.172245,297,19773,20069,24969
lhsx_061,7,3,bimodal,0.65136,0.19233,0.15631,5.2918,1.8912,0.6085,0.5,0,0.209077,0.182352,213,60507,60720,24427
lhsx_062,7,3,bimodal,0.689493,0.076896,0.23361,4.1147,0.9827,0.7146,0.5086,1,0.288244,0.157995,2892,53041,55933,21960
lhsx_063,7,2,mono_AM_P,0.679552,0.320448,0.0,2.5974,,0.7259,0.5,0,0.278185,0.164217,208,48478,48686,26807
lhsx_064,7,2,mono_AM_S,0.654416,0.345584,0.0,2.1986,,0.9489,0.5,0,0.228839,0.18035,310,17505,17815,21493
