n_occ	author	year	status	n_files	areas	nums
15	CLOSED	2026	NO_CARD	7	docs:13,CLAUDE.md:1,webapp:1	5 mS/cm×1; 0.30 GPa×1; 0.56 GPa×1; 0.2 µm×1; 2 µm×1
13	GeoDict	2023	NO_CARD	6	docs:13	2 nm×1
12	GeoDict	2022	NO_CARD	3	docs:12	2 nm×1
9	Jiang	2015	NO_CARD	1	docs:9	
6	GeoDict	2025	NO_CARD	3	docs:6	0.01 µm×2
6	BUILT	2026	NO_CARD	2	docs:6	
5	Yovanovich	1982	NO_CARD	4	docs:4,scripts:1	
5	Weitze	2024	NO_CARD	2	docs:5	
5	Power	2023	NO_CARD	1	docs:5	
5	Moulinec-Suquet	1998	NO_CARD	4	docs:4,scripts:1	
5	Mast	2013	NO_CARD	1	docs:5	
5	Kondrakov	2017	NO_CARD	3	scripts:3,docs:2	
4	Zhou	2025	NO_CARD	3	docs:4	2 MPa×1
4	Zhang	2024	NO_CARD	1	docs:4	
4	Sulsky	1994	NO_CARD	3	docs:3,scripts:1	
4	Strauss	2018	NO_CARD	2	docs:4	5 µm×1; 5 μm×1
4	Song	2023	NO_CARD	3	docs:4	2.61 GPa×2; 2.611 GPa×1; 0.1534 GPa×1; 140 GPa×1; 200 GPa×1
4	Peaceman	1978	NO_CARD	3	docs:2,scripts:2	
4	Narain	2010	NO_CARD	1	docs:4	
4	Mikić	1974	NO_CARD	3	docs:3,scripts:1	
4	Joule	2026	NO_CARD	2	docs:4	4.0 g/cm×1
4	GeoDict	2020	NO_CARD	2	docs:4	
4	CLOSE-OUT	2026	NO_CARD	3	CLAUDE.md:2,docs:2	
3	Wiegmann	2006	NO_CARD	1	docs:3	
3	Vaucorbeil	2020	NO_CARD	1	docs:3	
3	UPDATE	2026	NO_CARD	3	CLAUDE.md:1,docs:1,scripts:1	0.2 µm×1
3	Torquato	2002	NO_CARD	1	docs:3	
3	Schmidt	2024	NO_CARD	2	docs:2,scripts:1	
3	Nam	2018	NO_CARD	2	docs:3	
3	Mikic	1974	NO_CARD	2	scripts:2,docs:1	
3	Magazine	2024	NO_CARD	2	docs:3	
3	Klár	2016	NO_CARD	2	docs:2,scripts:1	
3	Kato	2018	NO_CARD	2	docs:3	
3	Kato	2016	NO_CARD	2	docs:2,webapp:1	2.7 mS/cm×2
3	Inorganics	2025	NO_CARD	2	docs:3	
3	Frontiers	2021	NO_CARD	1	docs:3	3 mS/cm×1
3	Feng	2025	NO_CARD	1	docs:3	
3	Eyre-Milton	1999	NO_CARD	2	docs:2,scripts:1	
3	Dewald	2021	NO_CARD	3	scripts:3	
3	Cooper	2016	NO_CARD	1	docs:3	
3	Bonet	2008	NO_CARD	1	docs:3	
3	Asia	2024	NO_CARD	2	docs:2,scripts:1	
3	Alabdali	2024	NO_CARD	2	docs:3	
2	Zhu	2005	NO_CARD	1	docs:2	
2	Zhou	2019	NO_CARD	1	docs:2	1 mS/cm×1
2	Zheng	1990	NO_CARD	1	docs:2	0.93 µm×1; 1.0 µm×1; 1.35 GPa×1; 300 MPa×1
2	ZFNet	2013	NO_CARD	1	machine-learning:2	
2	Yu-Standish	1996	NO_CARD	1	docs:2	
2	Yu-Standish	1991	NO_CARD	1	scripts:2	
2	Yu-Standish	1987	NO_CARD	1	scripts:2	
2	Wenzel	2016	NO_CARD	1	docs:2	
2	Thinky	2000	NO_CARD	2	docs:2	50 MPa×1
2	Storakers-Fleck-McMeeking	1999	NO_CARD	2	scripts:2	
2	Shozib	2024	NO_CARD	1	docs:2	530 MPa×1
2	SUPERSEDED	2026	NO_CARD	2	docs:2	
2	SENet	2017	NO_CARD	1	machine-learning:2	
2	Ruess	2020	NO_CARD	2	docs:2	
2	Revised	2022	NO_CARD	2	docs:2	
2	ResNet	2015	NO_CARD	1	machine-learning:2	
2	Received	2024	NO_CARD	2	docs:2	
2	Received	2022	NO_CARD	2	docs:2	
2	Received	2021	NO_CARD	1	docs:2	
2	Received	2020	NO_CARD	2	docs:2	
2	Received	2019	NO_CARD	2	docs:2	
2	RESOLVED	2026	NO_CARD	1	CLAUDE.md:2	
2	Pritzl	2019	NO_CARD	2	docs:2	
2	Philipse	1996	NO_CARD	2	docs:1,scripts:1	
2	Payandeh	2023	NO_CARD	2	docs:2	
2	Otaduy	2011	NO_CARD	1	docs:2	
2	Nature	2025	NO_CARD	2	docs:1,webapp:1	
2	Moulinec	1998	NO_CARD	2	docs:2	
2	Mohayman	2025	NO_CARD	2	docs:1,scripts:1	
2	Mast	2014	NO_CARD	1	docs:2	
2	Makse	2004	NO_CARD	2	GB_correction_fitting_report.md:1,docs:1	
2	Macklin	2014	NO_CARD	1	docs:2	
2	Lischka	2023	NO_CARD	2	docs:2	0.25 GPa×1
2	Lim	2023	NO_CARD	2	docs:2	
2	Knauth	2009	NO_CARD	1	docs:2	
2	Kang	2024	NO_CARD	2	docs:1,webapp:1	
2	IMPORTANT	2026	NO_CARD	2	docs:1,scripts:1	
2	Hlushkou	2018	NO_CARD	1	docs:2	
2	HISTORICAL	2026	NO_CARD	2	docs:2	
2	GoogLeNet	2014	NO_CARD	1	machine-learning:2	
2	Glover	2010	NO_CARD	2	docs:1,scripts:1	
2	GeoDict	2024	NO_CARD	1	docs:2	
2	Franco	2026	NO_CARD	2	docs:2	
2	FINALIZED	2026	NO_CARD	2	CLAUDE.md:1,docs:1	
2	Ebner	2013	NO_CARD	1	docs:2	
2	Drucker	1952	NO_CARD	1	docs:2	
2	Deiseroth	2008	NO_CARD	1	docs:2	
2	COMPLETE	2026	NO_CARD	2	CLAUDE.md:1,scripts:1	
2	Braun	2018	NO_CARD	1	docs:2	
2	Bosch	2014	NO_CARD	1	docs:2	
2	Bernal	1965	NO_CARD	1	scripts:2	
2	Bernal	1960	NO_CARD	2	scripts:2	
2	Bergman	1978	NO_CARD	1	docs:2	
2	Batteries	2023	NO_CARD	2	docs:1,scripts:1	
2	Bardenhagen	2000	NO_CARD	1	docs:2	
2	Balberg	1984	NO_CARD	2	docs:1,scripts:1	
2	Auvergniot	2017	NO_CARD	1	docs:2	
2	AlexNet	2012	NO_CARD	1	machine-learning:2	
2	Adopted	2026	NO_CARD	2	scripts:2	
2	ADOPTED	2026	NO_CARD	2	CLAUDE.md:1,scripts:1	
1	Zhang	2017	NO_CARD	1	docs:1	
1	Zeier	2020	NO_CARD	1	docs:1	
1	Yue	2015	NO_CARD	1	docs:1	
1	Yu-Zou-Standish	1996	NO_CARD	1	scripts:1	
1	Yu	1996	NO_CARD	1	scripts:1	
1	Yu	1991	NO_CARD	1	scripts:1	
1	Yu	1987	NO_CARD	1	scripts:1	
1	Yovanovich	1998	NO_CARD	1	docs:1	
1	Yasuda	2008	NO_CARD	1	docs:1	
1	Worlds	1991	NO_CARD	1	docs:1	
1	Wood	2008	NO_CARD	1	docs:1	
1	Wiley	2001	NO_CARD	1	docs:1	
1	Vu-Quoc	2001	NO_CARD	1	docs:1	
1	VALIDATION	2026	NO_CARD	1	CLAUDE.md:1	
1	USABLE	2026	NO_CARD	1	CLAUDE.md:1	
1	UNCHANGED	2026	NO_CARD	1	docs:1	
1	Tron	2023	NO_CARD	1	docs:1	
1	Tech	2024	NO_CARD	1	docs:1	
1	TIMELOG	2026	NO_CARD	1	CLAUDE.md:1	
1	Sumner	1999	NO_CARD	1	docs:1	
1	Sulzer	2021	NO_CARD	1	docs:1	
1	Stuart	2008	NO_CARD	1	docs:1	
1	Storåkers-Fleck-McMeeking	2000	NO_CARD	1	docs:1	
1	Steffen	2008	NO_CARD	1	docs:1	
1	Sridhar-Fleck-McMeeking	2000	NO_CARD	1	scripts:1	
1	Springer	1967	NO_CARD	1	docs:1	
1	Sources	2024	NO_CARD	1	docs:1	
1	Sources	2022	NO_CARD	1	docs:1	
1	Singer	2023	NO_CARD	1	docs:1	
1	Shi	2020	NO_CARD	1	docs:1	
1	Severson-MIT-Toyota	2019	NO_CARD	1	scripts:1	
1	Seok	2026	NO_CARD	1	docs:1	
1	ScienceDirect	2021	NO_CARD	1	scripts:1	
1	Schwartz	2004	NO_CARD	1	docs:1	
1	Samsung	2024	NO_CARD	1	docs:1	
1	SUPPRESSION	2026	NO_CARD	1	webapp:1	
1	STRIP	2026	NO_CARD	1	webapp:1	
1	STATUS	2026	NO_CARD	1	docs:1	
1	SOLUTION	2026	NO_CARD	1	docs:1	
1	Revised	2020	NO_CARD	1	docs:1	
1	Revised	2019	NO_CARD	1	docs:1	
1	Revised	2018	NO_CARD	1	docs:1	
1	Received	2018	NO_CARD	1	docs:1	
1	Ram	2015	NO_CARD	1	docs:1	
1	Rabbani	2014	NO_CARD	1	docs:1	
1	RETIRED	2026	NO_CARD	1	scripts:1	10 µm×1
1	REFINEMENT	2026	NO_CARD	1	CLAUDE.md:1	
1	Published	2023	NO_CARD	1	docs:1	
1	Published	2022	NO_CARD	1	docs:1	
1	Published	2021	NO_CARD	1	docs:1	
1	Published	2020	NO_CARD	1	docs:1	
1	Published	2018	NO_CARD	1	docs:1	
1	Powell	1979	NO_CARD	1	scripts:1	
1	Polyak	1964	NO_CARD	1	machine-learning:1	
1	Pla-Castells	2006	NO_CARD	1	docs:1	
1	Pantaleev	2017	NO_CARD	1	docs:1	
1	PREFERRED	2026	NO_CARD	1	scripts:1	
1	PENDING	2026	NO_CARD	1	CLAUDE.md:1	
1	O'Kane	2022	NO_CARD	1	docs:1	
1	Nkulikiyimfura	2012	NO_CARD	1	docs:1	
1	Newman	1994	NO_CARD	1	webapp:1	
1	Newman	1962	NO_CARD	1	webapp:1	
1	Naik	2025	NO_CARD	1	docs:1	
1	Mukhopadhyay	2014	NO_CARD	1	scripts:1	
1	Miller	1989	NO_CARD	1	docs:1	
1	Milenkovic	1996	NO_CARD	1	docs:1	
1	Methods	2001	NO_CARD	1	scripts:1	
1	McClelland	2023	NO_CARD	1	docs:1	
1	Mazhar	2015	NO_CARD	1	docs:1	
1	Mayer	2022	NO_CARD	1	docs:1	
1	Materials	2024	NO_CARD	1	docs:1	
1	Marquis	2019	NO_CARD	1	docs:1	
1	MOMENT	2026	NO_CARD	1	CLAUDE.md:1	
1	MERGE	2026	NO_CARD	1	webapp:1	
1	Letters	2025	NO_CARD	1	docs:1	
1	Letters	2024	NO_CARD	1	docs:1	
1	Laenerts	2009	NO_CARD	1	docs:1	
1	LOGIC	2026	NO_CARD	1	scripts:1	
1	Jung	2022	NO_CARD	1	docs:1	
1	Jain	2011	NO_CARD	1	docs:1	
1	Jackson	2017	NO_CARD	1	docs:1	
1	Imhsen	2013	NO_CARD	1	docs:1	
1	ILSVRC	2012	NO_CARD	1	machine-learning:1	
1	Harthong	2009	NO_CARD	1	docs:1	
1	Han	2021	NO_CARD	1	docs:1	
1	Haile	2003	NO_CARD	1	GB_correction_fitting_report.md:1	
1	Grießer	2021	NO_CARD	1	docs:1	
1	Grieves	2000	NO_CARD	1	docs:1	
1	Grey	2019	NO_CARD	1	docs:1	
1	German	2014	NO_CARD	1	docs:1	
1	GeoDict	2019	NO_CARD	1	docs:1	
1	GeoDict	2018	NO_CARD	1	docs:1	
1	Gast	2015	NO_CARD	1	docs:1	
1	GRID-CONVERGENCE	2026	NO_CARD	1	CLAUDE.md:1	
1	GPU-CONFIRMED	2026	NO_CARD	1	docs:1	
1	Frontiers	2023	NO_CARD	1	docs:1	
1	Froboese	2019	NO_CARD	1	docs:1	
1	Franco	2024	NO_CARD	1	docs:1	
1	Eyre	1999	NO_CARD	1	docs:1	
1	Excluded	2026	NO_CARD	1	scripts:1	
1	Energy	2018	NO_CARD	1	docs:1	
1	EXHAUSTED	2026	NO_CARD	1	CLAUDE.md:1	
1	Doyle-Fuller-Newman	1993	NO_CARD	1	docs:1	
1	Doerrer	2021	NO_CARD	1	docs:1	
1	Direct	2021	NO_CARD	1	docs:1	
1	Dec	2025	NO_CARD	1	docs:1	
1	Dauphin	2014	NO_CARD	1	machine-learning:1	
1	Cundall	1979	NO_CARD	1	scripts:1	
1	Cummins	2002	NO_CARD	1	docs:1	
1	Created	2026	NO_CARD	1	docs:1	
1	Copyright	2020	NO_CARD	1	docs:1	
1	Contacts	1967	NO_CARD	1	scripts:1	
1	Clausnitzer	2023	NO_CARD	1	webapp:1	
1	Chen	2013	NO_CARD	1	docs:1	
1	Chem	2025	NO_CARD	1	docs:1	
1	Chang	2012	NO_CARD	1	docs:1	
1	CROSS-VALIDATION	2026	NO_CARD	1	CLAUDE.md:1	
1	CROSS-CHECK	2026	NO_CARD	1	CLAUDE.md:1	
1	CORRECTIONS	2026	NO_CARD	1	docs:1	
1	CORRECTION	2026	NO_CARD	1	scripts:1	
1	CORRECTED	2026	NO_CARD	1	docs:1	
1	CONVERGENCE	2026	NO_CARD	1	CLAUDE.md:1	
1	CONFIRMED	2026	NO_CARD	1	docs:1	
1	CNT-wrapping	2025	NO_CARD	1	docs:1	
1	CHECK	2026	NO_CARD	1	scripts:1	
1	CHANGED	2026	NO_CARD	1	webapp:1	0.50 eV×1
1	Brouwers	2006	NO_CARD	1	docs:1	
1	Brodu	2015	NO_CARD	1	docs:1	
1	Brisard	2010	NO_CARD	1	docs:1	
1	Boyce	2022	NO_CARD	1	docs:1	0.5 MPa×1
1	Birkholz	2022	NO_CARD	1	docs:1	
1	Bell	2005	NO_CARD	1	docs:1	
1	Aug	2026	NO_CARD	1	scripts:1	
1	Attia	2020	NO_CARD	1	scripts:1	
1	Apr-	2026	NO_CARD	1	scripts:1	
1	Anseán	2022	NO_CARD	1	docs:1	
1	Amira	2019	NO_CARD	1	docs:1	
1	Aligned	2026	NO_CARD	1	scripts:1	
1	Accepted	2025	NO_CARD	1	docs:1	
1	Accepted	2024	NO_CARD	1	docs:1	
1	Accepted	2021	NO_CARD	1	docs:1	
1	Accepted	2020	NO_CARD	1	docs:1	
1	ATTRIBUTION	2026	NO_CARD	1	scripts:1	
