case,time_s,V_V,delta_Eeq_V,delta_etaMid_V,delta_phiL_V,identity_residual_V
Caps300R160H0250,0.002,2.2321010796534675,2.1668466738323348,0.062690027572666284,0.0025643782484662,2.16E-16
Caps300R160H0250,0.005,2.233677434948022,2.1684480794530452,0.062664126091583675,0.0025652294033931,2.5E-17
Caps300R160H0250,0.01,2.235449425268641,2.1702492453195475,0.062633753204205387,0.0025664267448886,-4.87E-16
Caps300R160H0250,0.04,2.240990191981989,2.1758869079192073,0.062530932759843338,0.0025723513029386,-2.38E-16
Caps300R320H0250,0.002,2.2327181137621883,2.1674732469197485,0.06268034156801883,0.0025645252744209,7E-17
Caps300R320H0250,0.005,2.234201331269507,2.1689806577164658,0.062655331218364643,0.0025653423346769,-3.43E-16
Caps300R320H0250,0.01,2.2357938476082118,2.1705999115247333,0.062627445855809375,0.0025664902276691,2.5E-17
Caps300R320H0250,0.04,2.241136851216645,2.1760367376845240,0.06252774559510255,0.0025723679370188,-3.5E-16
