time_s_exact,electrode,sample_index,coordinate_m,x_old2,x_control16,x_A16,x_control_minus_old,x_A_minus_control,x_A_minus_old,signed_identity_residual_x,x_old2_raw,x_control16_raw,x_A16_raw
0.002,N,0,0.0,0.011754668623065961,0.011754668623065958,0.011754668623065958,-3E-18,0E-18,-3E-18,0E-18,0.011754668623065961,0.011754668623065958,0.011754668623065958
0.002,N,1,2.1666666666666665E-7,0.011754668566866295,0.011754668566866293,0.011754668566866293,-2E-18,0E-18,-2E-18,0E-18,0.011754668566866295,0.011754668566866293,0.011754668566866293
0.002,N,2,4.333333333333333E-7,0.011754668510666626,0.011754668510666626,0.011754668510666626,0E-18,0E-18,0E-18,0E-18,0.011754668510666626,0.011754668510666626,0.011754668510666626
0.002,N,3,6.5E-7,0.011754668545530924,0.011754668545530924,0.011754668545530924,0E-18,0E-18,0E-18,0E-18,0.011754668545530924,0.011754668545530924,0.011754668545530924
0.002,N,4,8.666666666666666E-7,0.011754668580584823,0.011754668580584823,0.011754668580584823,0E-18,0E-18,0E-18,0E-18,0.011754668580584823,0.011754668580584823,0.011754668580584823
0.002,N,5,0.0000010833333333333333,0.01175466870651348,0.01175466870651348,0.01175466870651348,0E-17,0E-17,0E-17,0E-17,0.01175466870651348,0.01175466870651348,0.01175466870651348
0.002,N,6,0.0000013,0.011754668832821343,0.011754668832821346,0.011754668832821346,3E-18,0E-18,3E-18,0E-18,0.011754668832821343,0.011754668832821346,0.011754668832821346
0.002,N,7,0.0000015166666666666664,0.011754669049816266,0.01175466904981627,0.01175466904981627,4E-18,0E-17,4E-18,0E-18,0.011754669049816266,0.01175466904981627,0.01175466904981627
0.002,N,8,0.0000017333333333333332,0.01175466926738001,0.011754669267380011,0.011754669267380011,1E-18,0E-18,1E-18,0E-18,0.01175466926738001,0.011754669267380011,0.011754669267380011
0.002,N,9,0.00000195,0.011754669575444458,0.011754669575444462,0.011754669575444458,4E-18,-4E-18,0E-18,0E-18,0.011754669575444458,0.011754669575444462,0.011754669575444458
0.002,N,10,0.0000021666666666666665,0.011754669884267358,0.011754669884267363,0.011754669884267358,5E-18,-5E-18,0E-18,0E-18,0.011754669884267358,0.011754669884267363,0.011754669884267358
0.002,N,11,0.000002383333333333333,0.011754670283405926,0.011754670283405926,0.011754670283405926,0E-18,0E-18,0E-18,0E-18,0.011754670283405926,0.011754670283405926,0.011754670283405926
0.002,N,12,0.0000026,0.011754670683492606,0.011754670683492598,0.011754670683492606,-8E-18,8E-18,0E-18,0E-18,0.011754670683492606,0.011754670683492598,0.011754670683492606
0.002,N,13,0.0000028166666666666667,0.011754671173711272,0.011754671173711269,0.011754671173711272,-3E-18,3E-18,0E-18,0E-18,0.011754671173711272,0.011754671173711269,0.011754671173711272
