time_s_exact,electrode,checked_coordinates,max_abs_signed_identity_residual_x
0.0,N,241,0
0.0,P,241,0
0.00001002,N,241,0
0.00001002,P,241,0
0.00002002,N,241,0
0.00002002,P,241,0
0.00004002,N,241,0
0.00004002,P,241,0
0.00007001,N,241,0
0.00007001,P,241,0
0.00010,N,241,0
0.00010,P,241,0
0.00015000000000000001,N,241,0
0.00015000000000000001,P,241,0
0.00020,N,241,0
0.00020,P,241,0
0.0002999999999999999,N,241,0
0.0002999999999999999,P,241,0
0.0003999999999999998,N,241,0
0.0003999999999999998,P,241,0
0.00050,N,241,0
0.00050,P,241,0
0.00060,N,241,0
0.00060,P,241,0
0.0006999999999999999,N,241,0
0.0006999999999999999,P,241,0
0.0007999999999999998,N,241,0
0.0007999999999999998,P,241,0
0.0008999999999999998,N,241,0
0.0008999999999999998,P,241,0
0.001,N,241,0
0.001,P,241,0
0.0011250000000000001,N,241,0
0.0011250000000000001,P,241,0
0.0012500000000000002,N,241,0
0.0012500000000000002,P,241,0
0.0013750000000000004,N,241,0
0.0013750000000000004,P,241,0
0.0015000000000000005,N,241,0
0.0015000000000000005,P,241,0
0.0016250000000000006,N,241,0
0.0016250000000000006,P,241,0
0.0017500000000000007,N,241,0
0.0017500000000000007,P,241,0
0.0018750000000000004,N,241,0
0.0018750000000000004,P,241,0
0.002,N,241,0
0.002,P,241,0
0.002125,N,241,0
0.002125,P,241,0
0.0022500000000000003,N,241,0
0.0022500000000000003,P,241,0
0.0023750000000000004,N,241,0
0.0023750000000000004,P,241,0
0.0025000000000000005,N,241,0
0.0025000000000000005,P,241,0
0.0026250000000000006,N,241,0
0.0026250000000000006,P,241,0
0.0027500000000000007,N,241,0
0.0027500000000000007,P,241,0
0.002875000000000001,N,241,0
0.002875000000000001,P,241,0
0.003000000000000001,N,241,0
0.003000000000000001,P,241,0
0.003125000000000001,N,241,0
0.003125000000000001,P,241,0
0.003250000000000001,N,241,0
0.003250000000000001,P,241,0
0.0033750000000000013,N,241,0
0.0033750000000000013,P,241,0
0.0035000000000000014,N,241,0
0.0035000000000000014,P,241,0
0.0036250000000000015,N,241,0
0.0036250000000000015,P,241,0
0.0037500000000000016,N,241,0
0.0037500000000000016,P,241,0
0.0038750000000000017,N,241,0
0.0038750000000000017,P,241,0
0.004000000000000002,N,241,0
0.004000000000000002,P,241,0
0.004125000000000002,N,241,0
0.004125000000000002,P,241,0
0.004250000000000002,N,241,0
0.004250000000000002,P,241,0
0.004375000000000002,N,241,0
0.004375000000000002,P,241,0
0.004500000000000002,N,241,0
0.004500000000000002,P,241,0
0.004625000000000002,N,241,0
0.004625000000000002,P,241,0
0.0047500000000000025,N,241,0
0.0047500000000000025,P,241,0
0.004875000000000001,N,241,0
0.004875000000000001,P,241,0
0.005,N,241,0
0.005,P,241,0
0.005125,N,241,0
0.005125,P,241,0
0.00525,N,241,0
0.00525,P,241,0
0.0053750000000000004,N,241,0
0.0053750000000000004,P,241,0
0.0055000000000000005,N,241,0
0.0055000000000000005,P,241,0
0.005625000000000001,N,241,0
0.005625000000000001,P,241,0
0.005750000000000001,N,241,0
0.005750000000000001,P,241,0
0.005875000000000001,N,241,0
0.005875000000000001,P,241,0
0.006000000000000001,N,241,0
0.006000000000000001,P,241,0
0.006125000000000001,N,241,0
0.006125000000000001,P,241,0
0.006250000000000001,N,241,0
0.006250000000000001,P,241,0
0.006375000000000001,N,241,0
0.006375000000000001,P,241,0
0.0065000000000000014,N,241,0
0.0065000000000000014,P,241,0
0.0066250000000000015,N,241,0
0.0066250000000000015,P,241,0
0.006750000000000002,N,241,0
0.006750000000000002,P,241,0
0.006875000000000002,N,241,0
0.006875000000000002,P,241,0
0.007000000000000002,N,241,0
0.007000000000000002,P,241,0
0.007125000000000002,N,241,0
0.007125000000000002,P,241,0
0.007250000000000002,N,241,0
0.007250000000000002,P,241,0
0.007375000000000002,N,241,0
0.007375000000000002,P,241,0
0.007500000000000002,N,241,0
0.007500000000000002,P,241,0
0.0076250000000000024,N,241,0
0.0076250000000000024,P,241,0
0.0077500000000000025,N,241,0
0.0077500000000000025,P,241,0
0.007875000000000002,N,241,0
0.007875000000000002,P,241,0
0.008000000000000002,N,241,0
0.008000000000000002,P,241,0
0.008125000000000002,N,241,0
0.008125000000000002,P,241,0
0.008250000000000002,N,241,0
0.008250000000000002,P,241,0
0.008375000000000002,N,241,0
0.008375000000000002,P,241,0
0.008500000000000002,N,241,0
0.008500000000000002,P,241,0
0.008625000000000002,N,241,0
0.008625000000000002,P,241,0
0.008750000000000003,N,241,0
0.008750000000000003,P,241,0
0.008875000000000003,N,241,0
0.008875000000000003,P,241,0
0.009000000000000003,N,241,0
0.009000000000000003,P,241,0
0.009125000000000003,N,241,0
0.009125000000000003,P,241,0
0.009250000000000003,N,241,0
0.009250000000000003,P,241,0
0.009375000000000003,N,241,0
0.009375000000000003,P,241,0
0.009500000000000003,N,241,0
0.009500000000000003,P,241,0
0.009625000000000003,N,241,0
0.009625000000000003,P,241,0
0.009750000000000003,N,241,0
0.009750000000000003,P,241,0
0.009875000000000002,N,241,0
0.009875000000000002,P,241,0
0.01,N,241,0
0.01,P,241,0
0.010125,N,241,0
0.010125,P,241,0
0.01025,N,241,0
0.01025,P,241,0
0.010375,N,241,0
0.010375,P,241,0
0.0105,N,241,0
0.0105,P,241,0
0.010625,N,241,0
0.010625,P,241,0
0.010750000000000001,N,241,0
0.010750000000000001,P,241,0
0.010875000000000001,N,241,0
0.010875000000000001,P,241,0
0.011000000000000001,N,241,0
