time_s_exact,V_V_old2,V_V_control16,V_V_lateA16,V_V_control_minus_old,V_V_A_minus_control,V_V_A_minus_old,V_V_identity_residual,delta_Eeq_V_old2,delta_Eeq_V_control16,delta_Eeq_V_lateA16,delta_Eeq_V_control_minus_old,delta_Eeq_V_A_minus_control,delta_Eeq_V_A_minus_old,delta_Eeq_V_identity_residual,delta_etaMid_V_old2,delta_etaMid_V_control16,delta_etaMid_V_lateA16,delta_etaMid_V_control_minus_old,delta_etaMid_V_A_minus_control,delta_etaMid_V_A_minus_old,delta_etaMid_V_identity_residual,delta_phiL_V_old2,delta_phiL_V_control16,delta_phiL_V_lateA16,delta_phiL_V_control_minus_old,delta_phiL_V_A_minus_control,delta_phiL_V_A_minus_old,delta_phiL_V_identity_residual
0.0,2.2306115890131673,2.230611589013167,2.2306115890131673,-3E-16,3E-16,0E-16,0E-16,2.1653333621388813,2.1653333621388813,2.1653333621388813,0E-16,0E-16,0E-16,0E-16,0.062714519252576207,0.06271451925257754,0.062714519252578205,1.333E-15,6.65E-16,1.998E-15,0E-18,0.0025637076217097,0.0025637076217083,0.0025637076217077,-1.4E-15,-6E-16,-2.0E-15,0E-16
0.00001002,2.230628982801418,2.230628982801419,2.2306289828014156,1E-15,-3.4E-15,-2.4E-15,0E-16,2.1653510516079945,2.1653510516079945,2.1653510516079945,0E-16,0E-16,0E-16,0E-16,0.062714218182887692,0.06271421818288814,0.062714218182886139,4.48E-16,-2.001E-15,-1.553E-15,0E-18,0.0025637130105353,0.0025637130105362,0.0025637130105349,9E-16,-1.3E-15,-4E-16,0E-16
0.00002002,2.2306462526326234,2.230646252632622,2.2306462526326216,-1.4E-15,-4E-16,-1.8E-15,0E-16,2.1653686131634018,2.1653686131634018,2.1653686131634018,0E-16,0E-16,0E-16,0E-16,0.062713921067225178,0.062713921067224510,0.062713921067222734,-6.68E-16,-1.776E-15,-2.444E-15,0E-18,0.0025637184019966,0.0025637184019958,0.0025637184019969,-8E-16,1.1E-15,3E-16,0E-16
0.00004002,2.2306805079487275,2.230680507948725,2.2306805079487253,-2.5E-15,3E-16,-2.2E-15,0E-16,2.1654034433697475,2.1654034433697475,2.1654034433697475,0E-16,0E-16,0E-16,0E-16,0.062713335394724455,0.062713335394723791,0.06271333539472557,-6.64E-16,1.779E-15,1.115E-15,0E-18,0.0025637291842558,0.0025637291842535,0.0025637291842526,-2.3E-15,-9E-16,-3.2E-15,0E-16
0.00007001,2.2307310069469373,2.2307310069469355,2.230731006946938,-1.8E-15,2.5E-15,7E-16,0E-16,2.1654547797598595,2.1654547797598595,2.1654547797598595,0E-16,0E-16,0E-16,0E-16,0.062712481860358827,0.06271248186035727,0.062712481860358382,-1.557E-15,1.112E-15,-4.45E-16,0E-18,0.0025637453267192,0.0025637453267186,0.0025637453267200,-6E-16,1.4E-15,8E-16,0E-16
0.00010,2.2307804849961026,2.230780484996105,2.2307804849961044,2.4E-15,-6E-16,1.8E-15,0E-16,2.1655050680572939,2.1655050680572939,2.1655050680572939,0E-16,0E-16,0E-16,0E-16,0.062711655531185519,0.062711655531186407,0.062711655531185295,8.88E-16,-1.112E-15,-2.24E-16,0E-18,0.0025637614076233,0.0025637614076249,0.0025637614076252,1.6E-15,3E-16,1.9E-15,0E-16
0.00015000000000000001,2.230860781275788,2.230860781275788,2.230860781275787,0E-15,-1E-15,-1E-15,0E-15,2.1655866630109486,2.1655866630109486,2.1655866630109486,0E-16,0E-16,0E-16,0E-16,0.062710330281434246,0.062710330281432694,0.06271033028143225,-1.552E-15,-4.44E-16,-1.996E-15,0E-18,0.0025637879834053,0.0025637879834066,0.0025637879834062,1.3E-15,-4E-16,9E-16,0E-16
0.00020,2.230938440905455,2.2309384409054527,2.230938440905453,-2.3E-15,3E-16,-2E-15,0E-16,2.165665563184647,2.165665563184647,2.165665563184647,0E-15,0E-15,0E-15,0E-15,0.062709063519413635,0.062709063519413411,0.062709063519414523,-2.24E-16,1.112E-15,8.88E-16,0E-18,0.0025638142013942,0.0025638142013922,0.0025638142013916,-2.0E-15,-6E-16,-2.6E-15,0E-16
0.0002999999999999999,2.2310865393612382,2.2310865393612374,2.231086539361239,-8E-16,1.6E-15,8E-16,0E-16,2.1658160037276264,2.1658160037276264,2.1658160037276264,0E-16,0E-16,0E-16,0E-16,0.062706670311464707,0.062706670311465818,0.062706670311465154,1.111E-15,-6.64E-16,4.47E-16,0E-18,0.0025638653221473,0.0025638653221454,0.0025638653221476,-1.9E-15,2.2E-15,3E-16,0E-16
0.0003999999999999998,2.231225642001545,2.231225642001546,2.2312256420015446,1E-15,-1.4E-15,-4E-16,0E-16,2.1659572860063548,2.1659572860063548,2.1659572860063548,0E-16,0E-16,0E-16,0E-16,0.062704441367648299,0.06270444136764697,0.062704441367648079,-1.329E-15,1.109E-15,-2.20E-16,0E-18,0.002563914627542,0.0025639146275442,0.0025639146275420,2.2E-15,-2.2E-15,0E-16,0E-16
0.00050,2.2313565894866882,2.2313565894866887,2.2313565894866914,5E-16,2.7E-15,3.2E-15,0E-16,2.1660902768473560,2.1660902768473560,2.1660902768473560,0E-16,0E-16,0E-16,0E-16,0.062702350533333950,0.062702350533336837,0.062702350533336168,2.887E-15,-6.69E-16,2.218E-15,0E-18,0.0025639621059985,0.0025639621059962,0.0025639621059991,-2.3E-15,2.9E-15,6E-16,0E-16
0.00060,2.231480150320023,2.231480150320024,2.231480150320023,1E-15,-1E-15,0E-15,0E-15,2.1662157635602727,2.1662157635602732,2.1662157635602727,5E-16,-5E-16,0E-16,0E-16,0.062700378927933896,0.062700378927933006,0.062700378927934565,-8.90E-16,1.559E-15,6.69E-16,0E-18,0.0025640078318163,0.0025640078318180,0.0025640078318161,1.7E-15,-1.9E-15,-2E-16,0E-16
0.0006999999999999999,2.2315970142116965,2.231597014211695,2.2315970142116965,-1.5E-15,1.5E-15,0E-16,0E-16,2.1663344497993233,2.1663344497993235,2.1663344497993233,2E-16,-2E-16,0E-16,0E-16,0.062698512492035174,0.062698512492034954,0.062698512492034066,-2.20E-16,-8.88E-16,-1.108E-15,0E-18,0.0025640519203382,0.0025640519203369,0.0025640519203393,-1.3E-15,2.4E-15,1.1E-15,0E-16
0.0007999999999999998,2.2317077976097326,2.231707797609734,2.231707797609734,1.4E-15,0E-15,1.4E-15,0E-16,2.166446962970082,2.1664469629700822,2.166446962970082,2E-16,-2E-16,0E-15,0E-16,0.062696740140107728,0.06269674014010640,0.06269674014010662,-1.328E-15,2.2E-16,-1.108E-15,0E-18,0.0025640944995425,0.0025640944995449,0.0025640944995449,2.4E-15,0E-16,2.4E-15,0E-16
0.0008999999999999998,2.231813051506829,2.231813051506827,2.2318130515068257,-2E-15,-1.3E-15,-3.3E-15,0E-16,2.1665538631422430,2.1665538631422432,2.1665538631422430,2E-16,-2E-16,0E-16,0E-16,0.06269505266896025,0.062695052668960472,0.062695052668958695,2.22E-16,-1.777E-15,-1.555E-15,0E-18,0.0025641356956254,0.0025641356956237,0.0025641356956242,-1.7E-15,5E-16,-1.2E-15,0E-16
0.001,2.231913268896119,2.2319132688961187,2.2319132688961183,-3E-16,-4E-16,-7E-16,0E-16,2.1666556510987561,2.1666556510987564,2.1666556510987561,3E-16,-3E-16,0E-16,0E-16,0.062693442170476344,0.062693442170475233,0.062693442170475675,-1.111E-15,4.42E-16,-6.69E-16,0E-18,0.0025641756268869,0.0025641756268875,0.0025641756268866,6E-16,-9E-16,-3E-16,0E-16
0.0011250000000000001,2.232032192056082,2.2320321920560824,2.2320321920560824,4E-16,0E-16,4E-16,0E-16,2.1667764423082949,2.1667764423082949,2.1667764423082949,0E-16,0E-16,0E-16,0E-16,0.062691525804758452,0.062691525804758676,0.062691525804757120,2.24E-16,-1.556E-15,-1.332E-15,0E-18,0.0025642239430286,0.0025642239430288,0.0025642239430304,2E-16,1.6E-15,1.8E-15,0E-16
0.0012500000000000002,2.2321446976302592,2.2321446976302592,2.232144697630258,0E-16,-1.2E-15,-1.2E-15,0E-16,2.1668907198695617,2.1668907198695615,2.1668907198695617,-2E-16,2E-16,0E-16,0E-16,0.062689707118045221,0.062689707118045003,0.062689707118044558,-2.18E-16,-4.45E-16,-6.63E-16,0E-18,0.0025642706426527,0.0025642706426527,0.0025642706426516,0E-16,-1.1E-15,-1.1E-15,0E-16
