case,boundary_id,time_s_raw,phis_V_raw,Eeq_V_raw,etamid_V_raw,phil_V_raw,x_surface_raw
Caps300R320H0125,1,0.002,0.0,1.4109225455466499,-0.05447961926334255,-1.3564429262833073,0.01175466862306596
Caps300R320H0125,1,0.044625000000000005,0.0,1.4017774586353289,-0.05432487882430248,-1.3474525798110264,0.011900529498410447
Caps300R320H0125,1,0.08,0.0,1.3979081459445732,-0.05425297278819197,-1.3436551731563813,0.011962243656135558
Caps300R320H0125,1,0.084875,0.0,1.3974490565253355,-0.054244244100237315,-1.3432048124250981,0.011969565968673513
Caps300R320H0125,1,0.1,0.0,1.3961025445892157,-0.05421842511209385,-1.3418841194771218,0.01199104235392482
Caps300R320H0125,1,0.100375,0.0,1.3960704958647698,-0.054217806759052634,-1.3418526891057172,0.01199155351965202
Caps300R320H0125,1,0.14,0.0,1.39296464846517,-0.054157108893782,-1.338807539571388,0.012041090678214307
Caps300R320H0125,1,0.22,0.0,1.3878173755918939,-0.0540535777915907,-1.3337637978003032,0.012123187845164531
Caps300R320H0125,1,0.34,0.0,1.381615902999062,-0.05392508993979228,-1.3276908130592697,0.012222099121742507
Caps300R320H0125,1,1.0,0.0,1.3587983035381952,-0.05343372735850771,-1.3053645761796875,0.01258603169700342
Caps300R320H0125,1,1.35,0.0,1.3498751413444265,-0.05323856538951999,-1.2966365759549066,0.012728352952235308
Caps300R320H0125,1,1.7,0.0,1.3420266617414276,-0.05306696797230259,-1.288959693769125,0.012853533403347219
Caps300R320H0125,4,0.002,2.232716843842165,3.578394503911196,0.008200741263965305,-1.3538784013329965,0.924049481678738
Caps300R320H0125,4,0.044625000000000005,2.2417356470996888,3.578423825259872,0.0081911812208868,-1.34487935938107,0.9239948371212395
Caps300R320H0125,4,0.08,2.245547525185136,3.5784364790735386,0.008186661522056493,-1.341075615410459,0.9239712549164735
Caps300R320H0125,4,0.084875,2.2459996931698316,3.5784379823362347,0.008186109649653162,-1.340624398816056,0.9239684533698682
Caps300R320H0125,4,0.1,2.2473257968181146,3.5784423933477836,0.008184472403342191,-1.3393010689330112,0.9239602328143653
Caps300R320H0125,4,0.100375,2.2473573579685633,3.578442498369244,0.00818443309939143,-1.3392695735000724,0.9239600370917439
Caps300R320H0125,4,0.14,2.250415618618368,3.5784526828484617,0.008180551920806245,-1.3362176161509003,0.9239410568474732
Caps300R320H0125,4,0.22,2.255482999380483,3.578469588959631,0.008173812717731987,-1.3311604022968797,0.9239095498736951
Caps300R320H0125,4,0.34,2.261587616134836,3.578490000266282,0.008165208800969825,-1.325067592932416,0.923871510463153
Caps300R320H0125,4,1.0,2.284059345744816,3.5785654968720144,0.008129445743646713,-1.3026355968708452,0.9237308116617933
Caps300R320H0125,4,1.35,2.2928563980397296,3.5785951915404786,0.008113863981305425,-1.2938526574820544,0.9236754713690852
Caps300R320H0125,4,1.7,2.3005995217649353,3.57862138926007,0.008099465010867668,-1.2861213325060024,0.9236266481443973
Caps300R320H0125C16,1,0.002,0.0,1.41092254554665,-0.05447961926334366,-1.3564429262833064,0.011754668623065956
Caps300R320H0125C16,1,0.044625000000000005,0.0,1.4017774586353284,-0.05432487882430159,-1.3474525798110268,0.011900529498410452
Caps300R320H0125C16,1,0.08,0.0,1.3979081459445728,-0.0542529727881913,-1.3436551731563815,0.011962243656135565
Caps300R320H0125C16,1,0.084875,0.0,1.397449056525335,-0.05424424410023665,-1.3432048124250984,0.011969565968673518
Caps300R320H0125C16,1,0.1,0.0,1.3961025445892157,-0.054218425112093405,-1.3418841194771223,0.011991042353924824
Caps300R320H0125C16,1,0.100375,0.0,1.3960704958647696,-0.054217806759053966,-1.3418526891057156,0.011991553519652027
Caps300R320H0125C16,1,0.14,0.0,1.3929646484651694,-0.054157108893781114,-1.3388075395713883,0.012041090678214319
Caps300R320H0125C16,1,0.22,0.0,1.3878173755918932,-0.0540535777915907,-1.3337637978003025,0.012123187845164541
Caps300R320H0125C16,1,0.34,0.0,1.3816159029990618,-0.05392508993979228,-1.3276908130592695,0.01222209912174251
Caps300R320H0125C16,1,1.0,0.0,1.3587983035381948,-0.053433727358508376,-1.3053645761796864,0.012586031697003425
Caps300R320H0125C16,1,1.35,0.0,1.3498751413444263,-0.05323856538951999,-1.2966365759549063,0.012728352952235312
Caps300R320H0125C16,1,1.7,0.0,1.3420266617414274,-0.05306696797230237,-1.288959693769125,0.012853533403347222
Caps300R320H0125C16,4,0.002,2.232716843842164,3.578394503911196,0.008200741263964861,-1.3538784013329972,0.924049481678738
Caps300R320H0125C16,4,0.044625000000000005,2.2417356470996936,3.578423825259872,0.008191181220888577,-1.3448793593810668,0.9239948371212396
Caps300R320H0125C16,4,0.08,2.245547525185136,3.578436479073539,0.008186661522056049,-1.341075615410459,0.9239712549164729
Caps300R320H0125C16,4,0.084875,2.245999693169834,3.5784379823362356,0.008186109649652273,-1.3406243988160542,0.9239684533698673
Caps300R320H0125C16,4,0.1,2.247325796818113,3.5784423933477836,0.008184472403341303,-1.3393010689330118,0.9239602328143652
Caps300R320H0125C16,4,0.100375,2.2473573579685615,3.578442498369244,0.008184433099392763,-1.3392695735000752,0.9239600370917437
Caps300R320H0125C16,4,0.14,2.2504156186183697,3.578452682848462,0.008180551920806689,-1.3362176161508992,0.923941056847473
Caps300R320H0125C16,4,0.22,2.255482999380483,3.5784695889596305,0.008173812717731987,-1.3311604022968795,0.9239095498736956
Caps300R320H0125C16,4,0.34,2.26158761613484,3.578490000266281,0.008165208800970714,-1.3250675929324118,0.9238715104631534
Caps300R320H0125C16,4,1.0,2.2840593457448137,3.578565496872015,0.008129445743648489,-1.3026355968708494,0.9237308116617932
Caps300R320H0125C16,4,1.35,2.2928563980397256,3.5785951915404794,0.008113863981304537,-1.2938526574820584,0.9236754713690846
Caps300R320H0125C16,4,1.7,2.3005995217649353,3.5786213892600705,0.00809946501086678,-1.2861213325060021,0.9236266481443968
Caps300R320LateCapA5s,1,0.002,0.0,1.41092254554665,-0.0544796192633441,-1.356442926283306,0.011754668623065956
Caps300R320LateCapA5s,1,0.044625000000000005,0.0,1.4017774586353289,-0.05432487882430248,-1.3474525798110264,0.011900529498410447
Caps300R320LateCapA5s,1,0.08,0.0,1.397908145944573,-0.05425297278819108,-1.343655173156382,0.011962243656135563
Caps300R320LateCapA5s,1,0.084875,0.0,1.397449056525335,-0.054244244100236205,-1.3432048124250988,0.01196956596867352
Caps300R320LateCapA5s,1,0.1,0.0,1.3961025445892157,-0.054218425112093405,-1.3418841194771223,0.011991042353924822
Caps300R320LateCapA5s,1,0.100375,0.0,1.3960704958647698,-0.054217806759053966,-1.3418526891057159,0.011991553519652023
Caps300R320LateCapA5s,1,0.14,0.0,1.3929652331166553,-0.054157117622026796,-1.3388081154946285,0.012041081353231592
Caps300R320LateCapA5s,1,0.22,0.0,1.3878194181352392,-0.05405360895361189,-1.3337658091816273,0.012123155267326489
Caps300R320LateCapA5s,1,0.34,0.0,1.3816175239513035,-0.05392511543993539,-1.3276924085113682,0.012222073268132246
Caps300R320LateCapA5s,1,1.0,0.0,1.358798747717674,-0.053433735090773204,-1.3053650126269007,0.012586024612499115
Caps300R320LateCapA5s,1,1.35,0.0,1.3498771725361007,-0.05323860152350868,-1.296638571012592,0.012728320555452375
Caps300R320LateCapA5s,1,1.7,0.0,1.342029043368239,-0.05306701126474178,-1.2889620321034971,0.012853495417248803
Caps300R320LateCapA5s,4,0.002,2.2327168438421645,3.578394503911196,0.008200741263967526,-1.3538784013329992,0.924049481678738
Caps300R320LateCapA5s,4,0.044625000000000005,2.2417356470996905,3.5784238252598723,0.008191181220886357,-1.3448793593810682,0.9239948371212388
Caps300R320LateCapA5s,4,0.08,2.245547525185135,3.578436479073539,0.008186661522054717,-1.3410756154104586,0.9239712549164729
Caps300R320LateCapA5s,4,0.084875,2.245999693169834,3.5784379823362347,0.00818610964965405,-1.340624398816055,0.923968453369868
Caps300R320LateCapA5s,4,0.1,2.247325796818115,3.5784423933477836,0.008184472403341303,-1.3393010689330098,0.9239602328143653
Caps300R320LateCapA5s,4,0.100375,2.247357357968561,3.578442498369244,0.008184433099393207,-1.3392695735000764,0.9239600370917438
Caps300R320LateCapA5s,4,0.14,2.2504150412173076,3.578452680948888,0.008180552478804337,-1.3362181922103846,0.9239410603876025
Caps300R320LateCapA5s,4,0.22,2.2554809828431486,3.5784695823119512,0.008173814683594127,-1.331162414152397,0.9239095622626039
Caps300R320LateCapA5s,4,0.34,2.261586016602967,3.5784899949867737,0.008165210378599408,-1.3250691887624064,0.9238715203022778
Caps300R320LateCapA5s,4,1.0,2.284058908192442,3.578565495426064,0.008129446202443269,-1.3026360334360652,0.9237308143565305
Caps300R320LateCapA5s,4,1.35,2.292854397942795,3.5785951849306024,0.008113866142960724,-1.2938546531307684,0.9236754836875424
Caps300R320LateCapA5s,4,1.7,2.300597177534794,3.5786213815134524,0.008099467623048806,-1.2861236716017073,0.9236266625813357
