element,ionic_radius_6coord_A,valence,mean_dE_eV,std_eV,min_dE,max_dE,preference,flip_across_x
B,0.27,3,0.04,0.51,-0.41,0.76,Li,FLIP
Si,0.40,4,-0.95,0.70,-1.93,-0.33,P_framework,
Ge,0.53,4,-0.69,0.55,-1.30,0.02,P_framework,FLIP
Al,0.535,3,0.32,0.91,-0.79,1.45,Li,FLIP
Cr,0.615,3,0.64,0.94,-0.63,1.60,Li,FLIP
Ga,0.62,3,1.12,0.25,0.77,1.29,Li,
Fe,0.645,3,1.82,1.11,0.91,3.38,Li,
Sn,0.69,4,-1.23,0.90,-2.02,0.03,P_framework,FLIP
Ni,0.69,2,0.77,1.05,-0.66,1.82,Li,FLIP
Mg,0.72,2,2.16,0.40,1.82,2.71,Li,
Zn,0.74,2,1.29,0.61,0.42,1.72,Li,
Co,0.745,2,0.91,0.65,0.06,1.65,Li,
Sc,0.745,3,1.14,0.65,0.40,1.99,Li,
Cu,0.77,2,1.70,0.68,0.99,2.62,Li,
In,0.80,3,1.12,0.60,0.37,1.82,Li,
Mn,0.83,2,0.83,0.12,0.66,0.91,Li,
Y,0.90,3,1.76,0.92,0.47,2.51,Li,
Gd,0.938,3,1.06,0.61,0.36,1.83,Li,
Sm,0.958,3,0.33,0.05,0.26,0.37,Li,
Nd,0.983,3,1.22,0.88,0.33,2.42,Li,
Ca,1.00,2,1.79,0.35,1.34,2.21,Li,
Na,1.02,1,2.25,0.47,1.89,2.91,Li,
La,1.032,3,1.17,0.46,0.67,1.78,Li,
Ag,1.15,1,1.94,0.74,0.88,2.48,Li,
Sr,1.18,2,1.64,0.72,0.64,2.26,Li,
Ba,1.35,2,2.70,0.19,2.43,2.85,Li,
