Volume_A3,Energy_eV
1156.0516,-17182.567213
1168.0938,-17182.656226
1180.136,-17182.722752
1192.1782,-17182.767578
1204.2204,-17182.792531
1216.2626,-17182.798529
1228.3048,-17182.788075
1240.347,-17182.773881
1252.3892,-17182.736963
1264.4314,-17182.68595
1276.4736,-17182.622576
