Volume_A3,Energy_eV
976.5097,-13917.753854
986.6817,-13917.816736
996.8537,-13917.860139
1007.0257,-13917.885188
1017.1977,-13917.892718
1037.5416,-13917.858695
1057.8856,-13917.764693
1078.2295,-13917.61659
