Volume_A3,Energy_fit_eV
970.0,-13917.702949
970.2807,-13917.70532
970.5614,-13917.707676
970.8421,-13917.710016
971.1228,-13917.712339
971.4035,-13917.714646
971.6842,-13917.716938
971.9649,-13917.719213
972.2456,-13917.721473
972.5263,-13917.723717
972.807,-13917.725944
973.0877,-13917.728156
973.3684,-13917.730352
973.6491,-13917.732532
973.9298,-13917.734697
974.2105,-13917.736845
974.4912,-13917.738978
974.7719,-13917.741095
975.0526,-13917.743197
975.3333,-13917.745282
975.614,-13917.747352
975.8947,-13917.749406
976.1754,-13917.751445
976.4561,-13917.753468
976.7368,-13917.755476
977.0175,-13917.757468
977.2982,-13917.759444
977.5789,-13917.761405
977.8596,-13917.763351
978.1404,-13917.76528
978.4211,-13917.767195
978.7018,-13917.769094
978.9825,-13917.770978
979.2632,-13917.772846
979.5439,-13917.774699
979.8246,-13917.776536
980.1053,-13917.778359
980.386,-13917.780166
980.6667,-13917.781957
980.9474,-13917.783734
981.2281,-13917.785495
981.5088,-13917.787241
981.7895,-13917.788972
982.0702,-13917.790688
982.3509,-13917.792388
982.6316,-13917.794074
982.9123,-13917.795744
983.193,-13917.797399
983.4737,-13917.799039
983.7544,-13917.800665
984.0351,-13917.802275
984.3158,-13917.80387
984.5965,-13917.80545
984.8772,-13917.807015
985.1579,-13917.808566
985.4386,-13917.810101
985.7193,-13917.811622
986.0,-13917.813128
986.2807,-13917.814618
986.5614,-13917.816094
986.8421,-13917.817556
987.1228,-13917.819002
987.4035,-13917.820434
987.6842,-13917.821851
987.9649,-13917.823253
988.2456,-13917.824641
988.5263,-13917.826014
988.807,-13917.827372
989.0877,-13917.828716
989.3684,-13917.830045
989.6491,-13917.831359
989.9298,-13917.832659
990.2105,-13917.833944
990.4912,-13917.835215
990.7719,-13917.836472
991.0526,-13917.837714
991.3333,-13917.838941
991.614,-13917.840154
991.8947,-13917.841352
992.1754,-13917.842537
992.4561,-13917.843706
992.7368,-13917.844862
993.0175,-13917.846003
993.2982,-13917.84713
993.5789,-13917.848242
993.8596,-13917.84934
994.1404,-13917.850424
994.4211,-13917.851494
994.7018,-13917.85255
994.9825,-13917.853591
995.2632,-13917.854618
995.5439,-13917.855631
995.8246,-13917.85663
996.1053,-13917.857615
996.386,-13917.858585
996.6667,-13917.859542
996.9474,-13917.860485
997.2281,-13917.861413
997.5088,-13917.862328
997.7895,-13917.863228
998.0702,-13917.864115
998.3509,-13917.864987
998.6316,-13917.865846
998.9123,-13917.866691
999.193,-13917.867522
999.4737,-13917.868339
999.7544,-13917.869142
1000.0351,-13917.869931
1000.3158,-13917.870707
1000.5965,-13917.871469
1000.8772,-13917.872217
1001.1579,-13917.872951
1001.4386,-13917.873671
1001.7193,-13917.874378
1002.0,-13917.875071
1002.2807,-13917.875751
1002.5614,-13917.876416
1002.8421,-13917.877068
1003.1228,-13917.877707
1003.4035,-13917.878332
1003.6842,-13917.878943
1003.9649,-13917.879541
1004.2456,-13917.880125
1004.5263,-13917.880696
1004.807,-13917.881253
1005.0877,-13917.881797
1005.3684,-13917.882327
1005.6491,-13917.882844
1005.9298,-13917.883348
1006.2105,-13917.883838
1006.4912,-13917.884315
1006.7719,-13917.884778
1007.0526,-13917.885228
1007.3333,-13917.885664
1007.614,-13917.886088
1007.8947,-13917.886498
1008.1754,-13917.886895
1008.4561,-13917.887278
1008.7368,-13917.887649
1009.0175,-13917.888006
1009.2982,-13917.88835
1009.5789,-13917.88868
1009.8596,-13917.888998
1010.1404,-13917.889302
1010.4211,-13917.889594
1010.7018,-13917.889872
1010.9825,-13917.890137
1011.2632,-13917.890389
1011.5439,-13917.890628
1011.8246,-13917.890854
1012.1053,-13917.891067
1012.386,-13917.891267
1012.6667,-13917.891454
1012.9474,-13917.891629
1013.2281,-13917.89179
1013.5088,-13917.891938
1013.7895,-13917.892074
1014.0702,-13917.892196
1014.3509,-13917.892306
1014.6316,-13917.892403
1014.9123,-13917.892487
1015.193,-13917.892558
1015.4737,-13917.892616
1015.7544,-13917.892662
1016.0351,-13917.892695
1016.3158,-13917.892715
1016.5965,-13917.892723
1016.8772,-13917.892717
1017.1579,-13917.892699
1017.4386,-13917.892669
1017.7193,-13917.892626
1018.0,-13917.89257
1018.2807,-13917.892502
1018.5614,-13917.892421
1018.8421,-13917.892327
1019.1228,-13917.892221
1019.4035,-13917.892102
1019.6842,-13917.891971
1019.9649,-13917.891828
1020.2456,-13917.891672
1020.5263,-13917.891503
1020.807,-13917.891322
1021.0877,-13917.891129
1021.3684,-13917.890923
1021.6491,-13917.890704
1021.9298,-13917.890474
1022.2105,-13917.890231
1022.4912,-13917.889976
1022.7719,-13917.889708
1023.0526,-13917.889428
1023.3333,-13917.889136
1023.614,-13917.888832
1023.8947,-13917.888515
1024.1754,-13917.888186
1024.4561,-13917.887845
1024.7368,-13917.887492
1025.0175,-13917.887126
1025.2982,-13917.886748
1025.5789,-13917.886359
1025.8596,-13917.885957
1026.1404,-13917.885543
1026.4211,-13917.885117
1026.7018,-13917.884678
1026.9825,-13917.884228
1027.2632,-13917.883766
1027.5439,-13917.883292
1027.8246,-13917.882805
1028.1053,-13917.882307
1028.386,-13917.881797
1028.6667,-13917.881274
1028.9474,-13917.88074
1029.2281,-13917.880194
1029.5088,-13917.879636
1029.7895,-13917.879066
1030.0702,-13917.878485
1030.3509,-13917.877891
1030.6316,-13917.877286
1030.9123,-13917.876668
1031.193,-13917.876039
1031.4737,-13917.875398
1031.7544,-13917.874746
1032.0351,-13917.874081
1032.3158,-13917.873405
1032.5965,-13917.872718
1032.8772,-13917.872018
1033.1579,-13917.871307
1033.4386,-13917.870584
1033.7193,-13917.869849
1034.0,-13917.869103
1034.2807,-13917.868346
1034.5614,-13917.867576
1034.8421,-13917.866795
1035.1228,-13917.866003
1035.4035,-13917.865199
1035.6842,-13917.864383
1035.9649,-13917.863556
1036.2456,-13917.862717
1036.5263,-13917.861867
1036.807,-13917.861006
1037.0877,-13917.860133
1037.3684,-13917.859248
1037.6491,-13917.858352
1037.9298,-13917.857445
1038.2105,-13917.856526
1038.4912,-13917.855596
1038.7719,-13917.854655
1039.0526,-13917.853702
1039.3333,-13917.852738
1039.614,-13917.851762
1039.8947,-13917.850776
1040.1754,-13917.849778
1040.4561,-13917.848769
1040.7368,-13917.847748
1041.0175,-13917.846716
1041.2982,-13917.845674
1041.5789,-13917.844619
1041.8596,-13917.843554
1042.1404,-13917.842478
1042.4211,-13917.84139
1042.7018,-13917.840291
1042.9825,-13917.839182
1043.2632,-13917.838061
1043.5439,-13917.836929
1043.8246,-13917.835785
1044.1053,-13917.834631
1044.386,-13917.833466
1044.6667,-13917.83229
1044.9474,-13917.831103
1045.2281,-13917.829904
1045.5088,-13917.828695
1045.7895,-13917.827475
1046.0702,-13917.826244
1046.3509,-13917.825002
1046.6316,-13917.823749
1046.9123,-13917.822485
1047.193,-13917.82121
1047.4737,-13917.819925
1047.7544,-13917.818628
1048.0351,-13917.817321
1048.3158,-13917.816003
1048.5965,-13917.814674
1048.8772,-13917.813335
1049.1579,-13917.811984
1049.4386,-13917.810623
1049.7193,-13917.809251
1050.0,-13917.807868
1050.2807,-13917.806475
1050.5614,-13917.805071
1050.8421,-13917.803656
1051.1228,-13917.80223
1051.4035,-13917.800794
1051.6842,-13917.799348
1051.9649,-13917.79789
1052.2456,-13917.796422
1052.5263,-13917.794944
1052.807,-13917.793454
1053.0877,-13917.791955
1053.3684,-13917.790444
1053.6491,-13917.788924
1053.9298,-13917.787392
1054.2105,-13917.785851
1054.4912,-13917.784298
1054.7719,-13917.782736
1055.0526,-13917.781162
1055.3333,-13917.779579
1055.614,-13917.777984
1055.8947,-13917.77638
1056.1754,-13917.774765
1056.4561,-13917.77314
1056.7368,-13917.771504
1057.0175,-13917.769858
1057.2982,-13917.768202
1057.5789,-13917.766535
1057.8596,-13917.764858
1058.1404,-13917.763171
1058.4211,-13917.761473
1058.7018,-13917.759765
1058.9825,-13917.758047
1059.2632,-13917.756319
1059.5439,-13917.75458
1059.8246,-13917.752832
1060.1053,-13917.751073
1060.386,-13917.749303
1060.6667,-13917.747524
1060.9474,-13917.745735
1061.2281,-13917.743935
1061.5088,-13917.742125
1061.7895,-13917.740306
1062.0702,-13917.738476
1062.3509,-13917.736636
1062.6316,-13917.734786
1062.9123,-13917.732925
1063.193,-13917.731055
1063.4737,-13917.729175
1063.7544,-13917.727285
1064.0351,-13917.725385
1064.3158,-13917.723475
1064.5965,-13917.721554
1064.8772,-13917.719624
1065.1579,-13917.717684
1065.4386,-13917.715734
1065.7193,-13917.713775
1066.0,-13917.711805
1066.2807,-13917.709825
1066.5614,-13917.707836
1066.8421,-13917.705836
1067.1228,-13917.703827
1067.4035,-13917.701808
1067.6842,-13917.699779
1067.9649,-13917.697741
1068.2456,-13917.695692
1068.5263,-13917.693634
1068.807,-13917.691566
1069.0877,-13917.689489
1069.3684,-13917.687401
1069.6491,-13917.685304
1069.9298,-13917.683197
1070.2105,-13917.681081
1070.4912,-13917.678955
1070.7719,-13917.676819
1071.0526,-13917.674674
1071.3333,-13917.672518
1071.614,-13917.670354
1071.8947,-13917.668179
1072.1754,-13917.665995
1072.4561,-13917.663802
1072.7368,-13917.661599
1073.0175,-13917.659386
1073.2982,-13917.657164
1073.5789,-13917.654932
1073.8596,-13917.652691
1074.1404,-13917.650441
1074.4211,-13917.64818
1074.7018,-13917.645911
1074.9825,-13917.643632
1075.2632,-13917.641343
1075.5439,-13917.639045
1075.8246,-13917.636738
1076.1053,-13917.634421
1076.386,-13917.632095
1076.6667,-13917.629759
1076.9474,-13917.627415
1077.2281,-13917.62506
1077.5088,-13917.622697
1077.7895,-13917.620324
1078.0702,-13917.617942
1078.3509,-13917.61555
1078.6316,-13917.613149
1078.9123,-13917.610739
1079.193,-13917.60832
1079.4737,-13917.605891
1079.7544,-13917.603454
1080.0351,-13917.601007
1080.3158,-13917.59855
1080.5965,-13917.596085
1080.8772,-13917.59361
1081.1579,-13917.591127
1081.4386,-13917.588634
1081.7193,-13917.586132
1082.0,-13917.58362
