E-EF,total,Li,P,S,Cl,O,Nd,Nd1_4f,Nd2_4f   # Gaussian 0.1 eV smoothed
-7.9890,0.0091703,0.00082796,0.0022609,0.0059906,1.3656e-05,3.549e-05,7.8203e-06,2.7586e-06,1.2085e-06
-7.9490,0.0079001,0.00071151,0.0019429,0.0051479,1.1854e-05,3.0516e-05,2.6312e-05,2.3851e-06,2.061e-05
-7.9090,0.006036,0.00052583,0.0014355,0.0038034,9.899e-06,2.2996e-05,0.00021707,2.1434e-06,0.00021236
-7.8690,0.0051409,0.00033694,0.00091786,0.0024287,1.338e-05,2.1257e-05,0.0014099,6.8988e-06,0.0014006
-7.8290,0.008965,0.00020137,0.00054055,0.0013999,3.9612e-05,6.9208e-05,0.0067113,5.1758e-05,0.0066539
-7.7890,0.027757,0.00017073,0.00043458,0.00095422,0.00013947,0.00036475,0.025703,0.00030005,0.025381
-7.7490,0.088946,0.00034931,0.00086107,0.0013949,0.00044845,0.0016007,0.084331,0.0013153,0.082936
-7.7090,0.25641,0.0010245,0.0025586,0.0034952,0.0012742,0.0058794,0.24227,0.0047614,0.23725
-7.6690,0.65337,0.0028958,0.0073719,0.0089942,0.0031923,0.018781,0.61233,0.014951,0.59664
-7.6290,1.4699,0.0073901,0.019137,0.020978,0.0070568,0.052852,1.3628,0.041342,1.3195
-7.5890,2.9226,0.016951,0.044502,0.043781,0.013782,0.13169,2.672,0.10107,2.5666
-7.5490,5.145,0.035055,0.092932,0.082094,0.023829,0.2917,4.6186,0.21916,4.3904
-7.5090,8.0427,0.065648,0.17501,0.13951,0.036586,0.57681,7.0459,0.42411,6.6051
-7.4690,11.217,0.11191,0.29883,0.21755,0.050133,1.023,9.5075,0.74029,8.7392
-7.4290,14.066,0.17469,0.46583,0.31631,0.061821,1.6363,11.396,1.1845,10.169
-7.3890,16.066,0.25131,0.66837,0.43669,0.069537,2.3753,12.24,1.7742,10.406
-7.3490,17.052,0.33537,0.891,0.58223,0.072847,3.1511,11.983,2.5409,9.3651
-7.3090,17.289,0.41792,1.1149,0.75802,0.073119,3.8492,11.029,3.5228,7.4118
-7.2690,17.257,0.48971,1.3237,0.96695,0.072499,4.3656,9.9821,4.7143,5.1584
-7.2290,17.31,0.54406,1.5083,1.2062,0.072503,4.6424,9.2736,5.9933,3.1571
-7.1890,17.474,0.57936,1.6692,1.4676,0.073296,4.6863,8.9315,7.0964,1.699
-7.1490,17.515,0.59963,1.8151,1.7407,0.073999,4.5625,8.6556,7.7036,0.80402
-7.1090,17.192,0.6128,1.9576,2.0178,0.073609,4.3652,8.0976,7.6042,0.33455
-7.0690,16.466,0.6271,2.1051,2.2949,0.071755,4.1823,7.1175,6.8277,0.1224
-7.0290,15.52,0.64729,2.2579,2.5687,0.068858,4.0676,5.8422,5.6304,0.039356
-6.9890,14.604,0.67244,2.4061,2.8306,0.065758,4.0291,4.532,4.3481,0.01116
-6.9490,13.855,0.69625,2.53,3.0638,0.063193,4.0308,3.4013,3.2295,0.003136
-6.9090,13.241,0.71109,2.6082,3.2519,0.061517,4.0084,2.5284,2.3645,0.0018841
-6.8690,12.67,0.71473,2.6348,3.4038,0.060858,3.9005,1.8826,1.7231,0.0030609
-6.8290,12.166,0.71688,2.6401,3.5831,0.061641,3.6871,1.4025,1.2399,0.0056247
-6.7890,11.961,0.74012,2.6995,3.916,0.065035,3.4126,1.0499,0.87056,0.0094879
-6.7490,12.423,0.81235,2.913,4.5579,0.072883,3.168,0.8137,0.5999,0.014551
-6.7090,13.844,0.95302,3.359,5.6216,0.08693,3.0365,0.68809,0.42257,0.020401
-6.6690,16.227,1.1604,4.0454,7.104,0.10772,3.0389,0.65281,0.32539,0.026331
-6.6290,19.224,1.4075,4.8915,8.8556,0.13384,3.1233,0.67206,0.28403,0.031551
-6.5890,22.271,1.6511,5.7555,10.623,0.16201,3.2087,0.70767,0.27112,0.035431
