E-EF,total,Li,P,S,Cl,O,Nd,Nd1_4f,Nd2_4f
-7.989,0.02876,0.002597,0.007091,0.01879,4.283e-05,0.0001112,2.073e-05,8.654e-06,1.607e-10
-7.949,0.001281,0.0001157,0.0003166,0.0008373,1.885e-06,5.094e-06,9.295e-07,3.828e-07,7.137e-12
-7.909,2.903e-05,2.62e-06,7.151e-06,1.896e-05,4.221e-08,1.179e-07,2.12e-08,8.657e-09,1.607e-13
-7.869,3.333e-07,3.008e-08,8.226e-08,2.179e-07,4.804e-10,1.378e-09,2.445e-10,9.901e-11,1.832e-15
-7.829,1.936e-09,1.747e-10,4.783e-10,1.265e-09,2.769e-12,8.104e-12,1.425e-12,5.729e-13,1.051e-17
-7.789,6.665e-12,4.74e-13,1.297e-12,3.434e-12,9.617e-15,2.299e-14,2.671e-13,1.545e-15,2.631e-13
-7.749,4.383e-10,9.911e-13,1.458e-12,4.645e-12,3.068e-12,1.536e-20,4.282e-10,1.854e-21,4.281e-10
-7.709,9.82e-08,2.213e-10,3.358e-10,1.052e-09,6.732e-10,1.133e-12,9.585e-08,9.407e-13,9.582e-08
-7.669,1.117e-05,2.509e-08,3.937e-08,1.21e-07,7.463e-08,4.083e-10,1.091e-05,3.384e-10,1.09e-05
-7.629,0.0006476,1.449e-06,2.382e-06,7.137e-06,4.18e-06,7.258e-08,0.0006324,6.005e-08,0.0006321
-7.589,0.01925,4.3e-05,7.5e-05,0.0002161,0.0001188,6.587e-06,0.01882,5.453e-06,0.0188
-7.549,0.2949,0.0006676,0.001253,0.003392,0.001725,0.0003067,0.2874,0.0002541,0.2871
-7.509,2.35,0.005633,0.01162,0.02789,0.0129,0.007337,2.288,0.006087,2.28
-7.469,9.84,0.02804,0.06491,0.1225,0.04986,0.09072,9.483,0.07544,9.402
-7.429,22.1,0.09237,0.2396,0.3017,0.1026,0.5825,20.81,0.4862,20.3
-7.389,27.9,0.2149,0.5978,0.4561,0.1187,1.978,24.49,1.628,22.8
-7.349,22.05,0.3497,0.9829,0.5025,0.08782,3.731,16.37,2.875,13.4
-7.309,13.85,0.4425,1.175,0.534,0.0549,4.665,6.914,2.741,4.071
-7.269,11,0.5614,1.39,0.7369,0.04727,5.426,2.776,2.027,0.6391
-7.229,13.72,0.6905,1.736,1.151,0.06161,6.175,3.817,3.631,0.05151
-7.189,18.95,0.6889,1.842,1.566,0.08109,5.637,9.065,8.921,0.00212
-7.149,23.06,0.5895,1.698,1.757,0.09019,4.31,14.56,14.43,4.441e-05
-7.109,22.12,0.5496,1.742,1.932,0.08424,3.747,13.97,13.82,4.732e-07
-7.069,17.11,0.5981,2.136,2.376,0.07556,3.9,7.97,7.781,6.31e-09
-7.029,12.7,0.6151,2.382,2.672,0.06929,3.868,3.034,2.82,6.25e-09
-6.989,10.93,0.595,2.279,2.615,0.05842,3.489,1.838,1.646,8.635e-09
-6.949,12.39,0.6983,2.453,2.978,0.05253,3.662,2.482,2.313,4.938e-08
-6.909,14.93,0.8652,3.002,3.764,0.05751,4.483,2.68,2.513,1.581e-06
-6.869,15.5,0.8985,3.298,4.17,0.06531,5.064,1.914,1.753,3.48e-05
-6.829,13.81,0.7757,3.064,3.884,0.06869,4.87,1.055,0.9163,0.0003953
-6.789,9.946,0.551,2.269,2.925,0.05809,3.559,0.5195,0.4179,0.002356
-6.749,6.005,0.3735,1.417,2.076,0.04113,1.82,0.2375,0.1555,0.008042
-6.709,6.135,0.4658,1.512,2.696,0.04324,1.163,0.2072,0.06346,0.01839
-6.669,11.98,0.8961,2.936,5.312,0.07586,2.231,0.4392,0.118,0.03182
-6.629,20.01,1.423,4.873,8.623,0.1202,4.013,0.7989,0.2798,0.04048
-6.589,26.42,1.887,6.615,11.82,0.1652,4.731,1.015,0.4202,0.04095
-6.549,31.68,2.408,8.35,15.59,0.2279,3.924,0.9541,0.3885,0.04339
-6.509,31.9,2.547,8.704,16.84,0.2677,2.595,0.7132,0.2303,0.04578
-6.469,26.11,2.067,7.162,14.05,0.244,1.88,0.5159,0.1196,0.04024
-6.429,24.87,1.811,6.673,12.79,0.2222,2.606,0.5798,0.1532,0.03261
-6.389,30.31,2.018,7.905,14.77,0.2389,4.284,0.8696,0.3047,0.02988
-6.349,33.01,2.081,8.502,15.96,0.2496,4.926,1.051,0.4128,0.03493
