r_A,g_PS,g_SS,g_LiS,g_LiCl,g_ClCl
0.02500,0.00000,0.00000,0.00000,0.00000,0.00000
0.07500,0.00000,0.00000,0.00000,0.00000,0.00000
0.12500,0.00000,0.00000,0.00000,0.00000,0.00000
0.17500,0.00000,0.00000,0.00000,0.00000,0.00000
0.22500,0.00000,0.00000,0.00000,0.00000,0.00000
0.27500,0.00000,0.00000,0.00000,0.00000,0.00000
0.32500,0.00000,0.00000,0.00000,0.00000,0.00000
0.37500,0.00000,0.00000,0.00000,0.00000,0.00000
0.42500,0.00000,0.00000,0.00000,0.00000,0.00000
0.47500,0.00000,0.00000,0.00000,0.00000,0.00000
0.52500,0.00000,0.00000,0.00000,0.00000,0.00000
0.57500,0.00000,0.00000,0.00000,0.00000,0.00000
0.62500,0.00000,0.00000,0.00000,0.00000,0.00000
0.67500,0.00000,0.00000,0.00000,0.00000,0.00000
0.72500,0.00000,0.00000,0.00000,0.00000,0.00000
0.77500,0.00000,0.00000,0.00000,0.00000,0.00000
0.82500,0.00000,0.00000,0.00000,0.00000,0.00000
0.87500,0.00000,0.00000,0.00000,0.00000,0.00000
0.92500,0.00000,0.00000,0.00000,0.00000,0.00000
0.97500,0.00000,0.00000,0.00000,0.00000,0.00000
1.02500,0.00000,0.00000,0.00000,0.00000,0.00000
1.07500,0.00000,0.00000,0.00000,0.00000,0.00000
1.12500,0.00000,0.00000,0.00000,0.00000,0.00000
1.17500,0.00000,0.00000,0.00000,0.00000,0.00000
1.22500,0.00000,0.00000,0.00000,0.00000,0.00000
1.27500,0.00000,0.00000,0.00000,0.00000,0.00000
1.32500,0.00000,0.00000,0.00000,0.00000,0.00000
1.37500,0.00000,0.00000,0.00000,0.00000,0.00000
1.42500,0.00000,0.00000,0.00000,0.00000,0.00000
1.47500,0.00000,0.00000,0.00000,0.00000,0.00000
1.52500,0.00000,0.00000,0.00000,0.00000,0.00000
1.57500,0.00000,0.00000,0.00000,0.00000,0.00000
1.62500,0.00000,0.00000,0.00000,0.00000,0.00000
1.67500,0.00000,0.00000,0.00000,0.00000,0.00000
1.72500,0.00000,0.00000,0.00000,0.00000,0.00000
1.77500,0.00000,0.00000,0.00000,0.00000,0.00000
1.82500,0.00000,0.00000,0.00000,0.00000,0.00000
1.87500,0.00000,0.00000,0.00000,0.00000,0.00000
1.92500,0.00000,0.00000,0.00000,0.00000,0.00000
1.97500,0.00000,0.00000,0.00000,0.00000,0.00000
2.02500,15.96160,0.00000,0.00000,0.00000,0.00000
2.07500,68.40735,0.00000,0.00000,0.00000,0.00000
2.12500,2.07067,0.00000,0.00000,0.00000,0.00000
2.17500,0.98828,0.00000,0.00000,0.00000,0.00000
2.22500,0.00000,0.00000,0.00000,0.00000,0.00000
2.27500,0.00000,0.00000,0.00000,3.16158,0.00000
2.32500,0.00000,0.00000,0.10811,9.51361,0.00000
2.37500,0.00000,0.00000,1.24326,19.06334,0.00000
2.42500,0.00000,0.00000,5.56510,15.10527,0.00000
2.47500,0.00000,0.00000,10.01722,7.25056,0.00000
2.52500,0.00000,0.00000,11.09101,4.03309,0.00000
2.57500,0.00000,0.00000,7.49157,2.11527,0.00000
2.62500,0.00000,0.00000,4.41015,1.01773,0.00000
2.67500,0.00000,0.00000,2.04174,0.00000,0.00000
2.72500,0.00000,0.00000,0.78700,0.62960,0.00000
2.77500,0.00000,0.00000,0.60712,0.91068,0.00000
2.82500,0.00000,0.00000,0.58582,0.00000,0.00000
2.87500,0.00000,0.00000,0.21211,0.56562,0.00000
2.92500,0.00000,0.00000,0.20492,0.00000,0.00000
2.97500,0.00000,0.00000,0.06603,0.26412,0.00000
3.02500,0.00000,0.00000,0.38319,0.00000,0.00000
3.07500,0.00000,0.00000,0.24722,0.00000,0.00000
3.12500,0.00000,0.00000,0.23937,0.00000,0.00000
3.17500,0.00000,0.23189,0.05797,0.00000,0.00000
3.22500,0.00000,0.56189,0.33713,0.00000,0.00000
3.27500,0.00000,2.28842,0.27243,0.00000,0.00000
3.32500,0.00000,8.98616,0.21144,0.00000,0.00000
3.37500,0.00000,7.08011,0.05131,0.00000,0.00000
3.42500,0.00000,3.28800,0.00000,0.00000,0.00000
3.47500,0.00000,3.00048,0.33876,0.00000,6.19454
3.52500,0.00000,0.65844,0.04703,0.37625,0.00000
3.57500,0.00000,0.54870,0.27435,0.00000,4.38963
3.62500,0.00000,0.35578,0.31131,0.17789,4.26937
3.67500,0.00000,1.03850,0.30289,0.00000,6.92331
3.72500,0.00000,0.92657,0.21058,0.33693,2.69548
3.77500,0.00000,1.80438,0.57412,0.82017,7.87364
3.82500,0.15977,1.35808,0.51926,0.31955,3.83457
3.87500,0.15568,1.40109,0.46703,0.15568,9.96334
3.92500,0.00000,1.89670,0.60694,0.30347,3.64167
3.97500,0.29589,1.62737,0.62876,0.14794,7.10126
4.02500,0.43287,1.37076,0.93789,0.57716,5.77161
4.07500,0.14077,1.47810,0.80943,0.84463,4.50467
4.12500,0.68690,1.44248,0.85862,0.54952,2.19806
4.17500,0.13411,1.87752,1.34108,0.53643,1.07287
4.22500,0.52381,1.89882,1.27679,0.78572,4.19049
4.27500,0.38372,1.21512,0.83140,0.63954,3.06978
4.32500,0.74980,1.49961,1.18719,0.37490,3.99895
4.37500,0.36638,1.28234,1.34340,1.22127,0.00000
4.42500,0.95506,1.25352,1.16398,0.59691,1.91013
4.47500,1.40076,0.87547,1.10893,1.51749,0.93384
4.52500,0.45666,0.97040,1.34143,0.57082,0.91332
4.57500,1.11683,1.11683,1.56356,0.89346,0.89346
4.62500,1.20209,1.09281,1.12013,1.42065,0.00000
4.67500,1.06956,0.96260,1.28347,0.53478,1.71130
4.72500,1.46586,0.47117,1.67527,1.15175,0.83763
4.77500,1.12775,0.61514,1.05086,1.23028,0.82018
4.82500,0.60246,0.75307,1.00409,0.20082,0.00000
4.87500,1.08196,0.44262,0.98360,1.27868,0.78688
4.92500,1.73472,0.43368,1.13238,1.63834,0.77099
4.97500,2.07781,0.51945,1.08613,1.60558,0.00000
5.02500,1.66636,0.64803,0.99519,1.01833,0.00000
