BVSE_above_min_val2,low_BVSE_volume_fraction,perc_a,perc_b,perc_c,percolates
0.00000,0.00000,0,0,0,0
0.49764,0.06716,1,1,0,1
0.99529,0.12176,1,1,0,1
1.49293,0.17036,1,1,0,1
1.99058,0.21185,1,1,1,1
2.48822,0.24849,1,1,1,1
2.98587,0.28034,1,1,1,1
3.48351,0.30818,1,1,1,1
3.98116,0.33361,1,1,1,1
4.47880,0.35533,1,1,1,1
4.97645,0.37489,1,1,1,1
5.47409,0.39252,1,1,1,1
5.97174,0.40900,1,1,1,1
6.46938,0.42310,1,1,1,1
6.96703,0.43630,1,1,1,1
7.46467,0.44842,1,1,1,1
7.96232,0.45985,1,1,1,1
8.45996,0.47080,1,1,1,1
8.95761,0.48070,1,1,1,1
9.45525,0.48992,1,1,1,1
9.95290,0.49841,1,1,1,1
10.45054,0.50669,1,1,1,1
10.94819,0.51452,1,1,1,1
11.44583,0.52191,1,1,1,1
11.94348,0.52862,1,1,1,1
12.44112,0.53549,1,1,1,1
12.93877,0.54203,1,1,1,1
13.43641,0.54807,1,1,1,1
13.93405,0.55374,1,1,1,1
14.43170,0.55931,1,1,1,1
14.92934,0.56494,1,1,1,1
15.42699,0.57015,1,1,1,1
15.92463,0.57513,1,1,1,1
16.42228,0.57990,1,1,1,1
16.91992,0.58469,1,1,1,1
17.41757,0.58926,1,1,1,1
17.91521,0.59344,1,1,1,1
18.41286,0.59773,1,1,1,1
18.91050,0.60163,1,1,1,1
19.40815,0.60550,1,1,1,1
19.90579,0.60946,1,1,1,1
20.40344,0.61291,1,1,1,1
20.90108,0.61632,1,1,1,1
21.39873,0.62003,1,1,1,1
21.89637,0.62337,1,1,1,1
22.39402,0.62648,1,1,1,1
22.89166,0.62952,1,1,1,1
23.38931,0.63249,1,1,1,1
23.88695,0.63533,1,1,1,1
24.38460,0.63817,1,1,1,1
24.88224,0.64107,1,1,1,1
25.37989,0.64384,1,1,1,1
25.87753,0.64644,1,1,1,1
26.37517,0.64917,1,1,1,1
26.87282,0.65190,1,1,1,1
27.37046,0.65435,1,1,1,1
27.86811,0.65674,1,1,1,1
28.36575,0.65899,1,1,1,1
28.86340,0.66139,1,1,1,1
29.36104,0.66365,1,1,1,1
29.85869,0.66574,1,1,1,1
30.35633,0.66790,1,1,1,1
30.85398,0.67014,1,1,1,1
31.35162,0.67231,1,1,1,1
31.84927,0.67440,1,1,1,1
32.34691,0.67635,1,1,1,1
32.84456,0.67825,1,1,1,1
33.34220,0.68014,1,1,1,1
33.83985,0.68195,1,1,1,1
34.33749,0.68365,1,1,1,1
34.83514,0.68531,1,1,1,1
35.33278,0.68707,1,1,1,1
35.83043,0.68868,1,1,1,1
36.32807,0.69036,1,1,1,1
36.82572,0.69209,1,1,1,1
37.32336,0.69375,1,1,1,1
37.82101,0.69535,1,1,1,1
38.31865,0.69685,1,1,1,1
38.81630,0.69840,1,1,1,1
39.31394,0.70000,1,1,1,1
