bond,N,d_mean_A,ICOHP_total_eV,ICOHP_per_spin,min,max
P-O,3,1.571,-8.43,-4.215,-8.843,-7.771
P-S,37,2.064,-5.976,-2.988,-6.555,-5.498
Li-S,125,2.521,-2.493,-1.247,-3.528,-0.581
Li-Cl,74,2.52,-2.265,-1.133,-3.153,-0.572
Li-O,5,2.13,-2.384,-1.192,-3.302,-0.785
Nd-O,2,2.545,-0.42,-0.21,-0.476,-0.364
Nd-S,8,2.898,-0.436,-0.218,-0.614,-0.203
Nd-Cl,2,2.772,-0.571,-0.286,-0.572,-0.571
