bond,comp1,modelc,nd,nd_vs_modelc_pct
P-S,-5.944,-6.0,-5.976,0.4
Li-Cl,-1.855,-2.103,-2.132,-1.4
Li-S,-1.592,-1.717,-1.647,4.1
S-S,-0.107,-0.11,-0.101,8.2
P-O,,,-8.43,nd-only
Nd-O,,,-0.42,nd-only
Nd-S,,,-0.436,nd-only
Nd-Cl,,,-0.571,nd-only
