Li-Cl LPSCl (4a),Li-Cl LPSCl1.6 (4a),Li-Cl LPSCl1.6 (4d AS)
A,A,A
2.4254,2.4157,2.3077
2.4254,2.4168,2.3560
2.4254,2.4302,2.3566
2.4254,2.4424,2.4137
2.4254,2.4600,
2.4254,2.4784,
2.4254,2.4802,
2.4254,2.4808,
2.6959,2.4809,
2.6959,2.4841,
2.6960,2.4853,
2.6960,2.5038,
2.6960,2.5053,
2.6960,2.5060,
2.6960,2.5082,
2.6961,2.5087,
2.6987,2.5113,
2.6988,2.5188,
2.6988,2.5292,
2.6988,2.5296,
2.6988,2.5356,
2.6988,2.5443,
2.6989,2.5446,
2.6989,2.5628,
,2.5701,
,2.5727,
,2.5840,
,2.5985,
,2.6041,
,2.6228,
,2.6419,
,2.6695,
,2.6838,
,2.7066,
,2.7141,
,3.0049,
