"time_s","phis_V","phil_V","Eeq_V","eta_V","etamid_V","x_surface","x_particle_average","cs_surface_mol_m3","reaction_input_mol_m3","csmax_mol_m3","direct_Eeq_surface_V","Isx_A_m2"
"0.0","2.23061155833806","-1.3559782522271455","3.578386774462802","0.00820303610240325","0.00820303610240325","0.9240638866193801","0.9240638866942696","46857.15434352954","46857.15434352954","50707.7","3.578386774462802","-2.5035817974355234"
"1.002E-5","2.2306137400822346","-1.3559760845740927","3.578386794684805","0.008203029971522113","0.008203029971522113","0.9240638489327644","0.9240638864207307","46857.15243252793","46857.15243252793","50707.7","3.578386794684805","-2.503581797490553"
"2.002E-5","2.2306159216362107","-1.3559739170992255","3.578386814889774","0.008203023845662294","0.008203023845662294","0.9240638112778932","0.9240638861471919","46857.15052313602","46857.15052313602","50707.7","3.578386814889774","-2.503581797490553"
"4.002E-5","2.230620284179011","-1.3559695826866467","3.5783868552600344","0.00820301160562309","0.00820301160562309","0.9240637360420976","0.9240638856001144","46857.14670810187","46857.14670810187","50707.7","3.5783868552600344","-2.503581797545583"
"7.001E-5","2.2306268240504648","-1.3559630849093565","3.5783869156718238","0.008202993287997451","0.008202993287997451","0.9240636234560247","0.9240638847797727","46857.14099912106","46857.14099912106","50707.7","3.5783869156718238","-2.503581797655643"
"1.0E-4","2.2306333617896934","-1.3559565891590604","3.578386975934572","0.008202975014181657","0.008202975014181657","0.9240635111477117","0.9240638839594321","46857.135304224816","46857.135304224816","50707.7","3.578386975934572","-2.5035817978757624"
"1.5000000000000001E-4","2.230644256835614","-1.3559457638810875","3.5783870760706122","0.008202944646089172","0.008202944646089172","0.9240633245297732","0.9240638825917451","46857.12584125838","46857.12584125838","50707.7","3.5783870760706122","-2.5035817980408517"
"2.0E-4","2.2306551458542914","-1.3559349443350186","3.5783871757888157","0.008202914400494254","0.008202914400494254","0.9240631386905351","0.9240638812240614","46857.116417778045","46857.116417778045","50707.7","3.5783871757888157","-2.5035817981509116"
"2.999999999999999E-4","2.2306769058064995","-1.3559133224490854","3.57838737398267","0.008202854272914895","0.008202854272914895","0.9240627693277356","0.924063878488705","46857.097688240014","46857.097688240014","50707.7","3.57838737398267","-2.5035817985361204"
"5.0E-4","2.2307203535733477","-1.355870147356267","3.5783877654842113","0.008202735445403508","0.008202735445403508","0.9240620397082094","0.9240638730180328","46857.06069091197","46857.06069091197","50707.7","3.5783877654842113","-2.503581799361568"
"7.5E-4","2.230774528502339","-1.35581630691916","3.578388245893104","0.008202589528395254","0.008202589528395254","0.924061144397028","0.9240638661797694","46857.015291741176","46857.015291741176","50707.7","3.578388245893104","-2.5035818001870163"
"0.001","2.2308285543296167","-1.355762608706691","3.5783887165938313","0.008202446442476141","0.008202446442476141","0.92406026717841","0.9240638593415892","46856.97081000266","46856.97081000266","50707.7","3.5783887165938313","-2.503581801012464"
"0.0014999999999999996","2.230936162667385","-1.355655636031732","3.5783896303815066","0.008202168317610337","0.008202168317610337","0.9240585642034296","0.924063845665473","46856.884456058244","46856.884456058244","50707.7","3.5783896303815066","-2.5035818027183896"
"0.002","2.2310431839092386","-1.355549225391523","3.578390508804457","0.00820190049630476","0.00820190049630476","0.9240569271357097","0.9240638319896721","46856.801444119425","46856.801444119425","50707.7","3.578390508804457","-2.5035818043142553"
"0.0025","2.231149623732941","-1.3554433725330712","3.578391353876468","0.00820164238954435","0.00820164238954435","0.924055352222271","0.9240638183141769","46856.72158388125","46856.72158388125","50707.7","3.578391353876468","-2.503581805855091"
"0.003","2.2312554878461546","-1.355338073125084","3.578392167541396","0.008201393429842607","0.008201393429842607","0.924053835840455","0.9240638046389759","46856.64469164704","46856.64469164704","50707.7","3.578392167541396","-2.5035818073408973"
"0.0035","2.23136078188195","-1.3552333228356863","3.5783929516361765","0.008201153081459633","0.008201153081459633","0.9240523745668692","0.9240637909640588","46856.57059382443","46856.57059382443","50707.7","3.5783929516361765","-2.503581808826703"
"0.004","2.2314655113680906","-1.3551291173579814","3.5783937078839516","0.008200920842120318","0.008200920842120318","0.9240509651901898","0.9240637772894167","46856.499127574585","46856.499127574585","50707.7","3.5783937078839516","-2.5035818101474194"
"0.0045000000000000005","2.231569681720839","-1.3550254524182264","3.578394437897082","0.008200696241983163","0.008200696241983163","0.9240496047055506","0.92406376361504","46856.43014052765","46856.43014052765","50707.7","3.578394437897082","-2.5035818114681363"
"0.005","2.23167329824665","-1.3549223237783492","3.578395143183149","0.008200478841850156","0.008200478841850156","0.9240482903033561","0.92406374994092","46856.36349021549","46856.36349021549","50707.7","3.578395143183149","-2.503581812733823"
"0.0055","2.231776366146304","-1.354819727236486","3.5783958251516257","0.008200268231163932","0.008200268231163932","0.9240470193568502","0.9240637362670494","46856.29904344135","46856.29904344135","50707.7","3.5783958251516257","-2.503581813999509"
"0.006","2.231878890519553","-1.35471765862699","3.5783964851204493","0.008200064026093301","0.008200064026093301","0.9240457894098684","0.9240637225934204","46856.23667565878","46856.23667565878","50707.7","3.5783964851204493","-2.503581815210166"
"0.006500000000000001","2.2319808763697857","-1.3546161138201576","3.57839712432225","0.00819986586769339","0.00819986586769339","0.9240445981652241","0.9240637089200244","46856.17627038273","46856.17627038273","50707.7","3.57839712432225","-2.503581816420823"
