case_id,campaign,am_wt,se_wt,p_vol,s_vol,n_AM_P,r_AM_P_um,n_AM_S,r_AM_S_um,n_SE,r_SE_um,scale,porosity_pct
input_S_1,particulate,62.0,38.0,0.0,10.0,,,173,4000.0,129740,500.0,1000,19.732
input_S_2,particulate,72.0,28.0,0.0,10.0,,,174,4000.0,82000,500.0,1000,16.365
input_S_3,particulate,82.0,18.0,0.0,10.0,,,173,4000.0,46204,500.0,1000,15.134
input_particulate_1,particulate,62.0,38.0,0.0,10.0,,,248,3000.0,619715,250.0,1000,16.823
input_particulate_10,particulate,62.0,38.0,0.0,10.0,,,411,3000.0,4803,1500.0,1000,5.66
input_particulate_11,particulate,72.0,28.0,0.0,10.0,,,408,3000.0,3036,1500.0,1000,11.386
input_particulate_12,particulate,82.0,18.0,0.0,10.0,,,407,3000.0,1711,1500.0,1000,20.118
input_particulate_12_S1,particulate,82.0,18.0,0.0,10.0,,,407,3000.0,1711,1500.0,1000,19.785
input_particulate_12_S2,particulate,82.0,18.0,0.0,10.0,,,407,3000.0,1710,1500.0,1000,19.439
input_particulate_12_S3,particulate,82.0,18.0,0.0,10.0,,,406,3000.0,1711,1500.0,1000,20.439
input_particulate_12_S4,particulate,82.0,18.0,0.0,10.0,,,409,3000.0,1709,1500.0,1000,19.842
input_particulate_12_S5,particulate,82.0,18.0,0.0,10.0,,,407,3000.0,1711,1500.0,1000,18.95
input_particulate_4,particulate,62.0,38.0,0.0,10.0,,,409,3000.0,129742,500.0,1000,21.226
input_particulate_5,particulate,72.0,28.0,0.0,10.0,,,408,3000.0,82002,500.0,1000,17.219
input_particulate_6,particulate,82.0,18.0,0.0,10.0,,,408,3000.0,46202,500.0,1000,16.07
input_particulate_7,particulate,62.0,38.0,0.0,10.0,,,411,3000.0,16215,1000.0,1000,6.613
input_particulate_8,particulate,72.0,28.0,0.0,10.0,,,408,3000.0,10250,1000.0,1000,10.428
input_particulate_9,particulate,82.0,18.0,0.0,10.0,,,407,3000.0,5775,1000.0,1000,17.06
input_particulate_9_E05,particulate,82.0,18.0,0.0,10.0,,,407,3000.0,5775,1000.0,1000,13.965
input_particulate_9_E15,particulate,82.0,18.0,0.0,10.0,,,407,3000.0,5775,1000.0,1000,19.666
input_1mAh_1,박막(1mAh),76.0,24.0,3.0,7.0,16,5000.0,263,2500.0,37694,500.0,1000,12.411
input_1mAh_100_10,박막(1mAh),82.0,18.0,10.0,0.0,104,6000.0,,,96826,500.0,1000,28.335
input_1mAh_100_11,박막(1mAh),87.0,13.0,0.0,10.0,,,2798,2000.0,65910,500.0,1000,23.933
input_1mAh_100_12,박막(1mAh),87.0,13.0,3.0,7.0,31,6000.0,1955,2000.0,65888,500.0,1000,18.304
input_1mAh_100_13,박막(1mAh),87.0,13.0,5.0,5.0,52,6000.0,1395,2000.0,65879,500.0,1000,16.701
input_1mAh_100_14,박막(1mAh),87.0,13.0,7.0,3.0,73,6000.0,835,2000.0,65869,500.0,1000,18.189
input_1mAh_100_15,박막(1mAh),87.0,13.0,10.0,0.0,104,6000.0,,,65866,500.0,1000,32.838
input_1mAh_100_3,박막(1mAh),77.0,23.0,5.0,5.0,53,6000.0,1392,2000.0,131917,500.0,1000,10.077
input_1mAh_100_5,박막(1mAh),77.0,23.0,10.0,0.0,104,6000.0,,,132008,500.0,1000,20.949
input_1mAh_100_6,박막(1mAh),82.0,18.0,0.0,10.0,,,2797,2000.0,96872,500.0,1000,18.445
input_1mAh_100_7,박막(1mAh),82.0,18.0,3.0,7.0,32,6000.0,1954,2000.0,96811,500.0,1000,13.086
input_1mAh_100_9,박막(1mAh),82.0,18.0,7.0,3.0,73,6000.0,834,2000.0,96763,500.0,1000,12.919
input_1mAh_2,박막(1mAh),76.0,24.0,5.0,5.0,25,5000.0,188,2500.0,37695,500.0,1000,13.417
input_1mAh_3,박막(1mAh),76.0,24.0,7.0,3.0,36,5000.0,112,2500.0,37689,500.0,1000,15.171
input_1mAh_4,박막(1mAh),81.0,19.0,3.0,7.0,16,5000.0,264,2500.0,28404,500.0,1000,16.651
input_1mAh_5,박막(1mAh),80.0,20.0,5.0,5.0,25,5000.0,189,2500.0,28401,500.0,1000,15.978
input_1mAh_5_AMP,박막(1mAh),80.0,20.0,10.0,0.0,48,5000.0,,,28397,500.0,1000,14.436
input_1mAh_5_AMS,박막(1mAh),80.0,20.0,0.0,10.0,,,380,2500.0,28403,500.0,1000,16.331
input_1mAh_6_S1,박막(1mAh),80.0,20.0,7.0,3.0,33,5000.0,114,2500.0,28398,500.0,1000,16.487
input_1mAh_6_S2,박막(1mAh),80.0,20.0,7.0,3.0,34,5000.0,113,2500.0,28399,500.0,1000,15.998
input_1mAh_6_S3,박막(1mAh),80.0,20.0,7.0,3.0,33,5000.0,114,2500.0,28400,500.0,1000,16.263
input_1mAh_6_S4,박막(1mAh),80.0,20.0,7.0,3.0,34,5000.0,113,2500.0,28398,500.0,1000,18.145
input_1mAh_6_S5,박막(1mAh),80.0,20.0,7.0,3.0,33,5000.0,114,2500.0,28403,500.0,1000,15.505
input_1mAh_7,박막(1mAh),86.0,14.0,3.0,7.0,17,5000.0,263,2500.0,19965,500.0,1000,20.934
input_1mAh_8,박막(1mAh),86.0,14.0,5.0,5.0,26,5000.0,188,2500.0,19967,500.0,1000,20.497
input_1mAh_8_AMP,박막(1mAh),85.0,15.0,10.0,0.0,48,5000.0,,,19954,500.0,1000,24.497
input_1mAh_8_AMS,박막(1mAh),85.0,15.0,0.0,10.0,,,379,2500.0,19971,500.0,1000,22.072
input_1mAh_9,박막(1mAh),86.0,14.0,7.0,3.0,36,5000.0,112,2500.0,19962,500.0,1000,22.06
input_1mAh_9_S1,박막(1mAh),85.0,15.0,7.0,3.0,33,5000.0,114,2500.0,19965,500.0,1000,22.279
input_1mAh_9_S2,박막(1mAh),85.0,15.0,7.0,3.0,33,5000.0,114,2500.0,19963,500.0,1000,23.835
input_1mAh_9_S3,박막(1mAh),85.0,15.0,7.0,3.0,33,5000.0,114,2500.0,19964,500.0,1000,21.566
input_1mAh_9_S4,박막(1mAh),85.0,15.0,7.0,3.0,33,5000.0,114,2500.0,19963,500.0,1000,20.131
input_1mAh_9_S5,박막(1mAh),85.0,15.0,7.0,3.0,33,5000.0,114,2500.0,19964,500.0,1000,20.795
input_6mAh_real40_7,후막(6mAh),82.0,18.0,3.0,7.0,34,6000.0,2052,2000.0,3763,1500.0,1000,17.192
input_6mAh_real40_9,후막(6mAh),82.0,18.0,7.0,3.0,77,6000.0,879,2000.0,3763,1500.0,1000,14.497
input_6mAh_real_1,후막(6mAh),82.0,18.0,0.0,10.0,,,4587,2000.0,158760,500.0,1000,18.899
input_6mAh_real_10,후막(6mAh),82.0,18.0,10.0,0.0,175,6000.0,,,5875,1500.0,1000,16.209
input_6mAh_real_2,후막(6mAh),82.0,18.0,3.0,7.0,55,6000.0,3207,2000.0,158733,500.0,1000,15.793
input_6mAh_real_3,후막(6mAh),82.0,18.0,5.0,5.0,88,6000.0,2292,2000.0,158706,500.0,1000,14.994
