# Wheatcroft 2023 Batteries & Supercaps 6 e202300032 — figure readout. ALL VALUES DIGITIZED (not stated in text). tools/litdb/wheatcroft2023_digitize.py
figure,series,x_name,x_value,x_unit,y_name,y_value,y_unit,sigma_PfD2_MPa,flag,provenance
2f,flat platen,D,7.168,um,P_f,11.355,mN,221.0,,digitized
2f,flat platen,D,7.187,um,P_f,10.051,mN,194.6,,digitized
2f,flat platen,D,7.327,um,P_f,10.965,mN,204.2,,digitized
2f,flat platen,D,8.337,um,P_f,13.218,mN,190.2,,digitized
2f,flat platen,D,8.791,um,P_f,18.104,mN,234.3,,digitized
2f,flat platen,D,9.543,um,P_f,24.914,mN,273.6,,digitized
2f,flat platen,D,9.986,um,P_f,29.741,mN,298.2,,digitized
2f,flat platen,D,10.263,um,P_f,26.550,mN,252.1,,digitized
2f,flat platen,D,10.281,um,P_f,19.593,mN,185.4,,digitized
2f,flat platen,D,10.592,um,P_f,21.127,mN,188.3,,digitized
2f,flat platen,D,10.593,um,P_f,17.872,mN,159.3,,digitized
2f,flat platen,D,13.708,um,P_f,43.997,mN,234.1,,digitized
2f,flat platen,D,14.502,um,P_f,37.452,mN,178.1,,digitized
2f,flat platen,D,15.470,um,P_f,49.236,mN,205.7,,digitized
2f,flat platen,D,18.373,um,P_f,28.809,mN,85.3,,digitized
2f,cono-spherical,D,6.216,um,P_f,3.747,mN,97.0,,digitized
2f,cono-spherical,D,6.603,um,P_f,4.387,mN,100.6,,digitized
2f,cono-spherical,D,7.031,um,P_f,4.708,mN,95.2,,digitized
2f,cono-spherical,D,7.985,um,P_f,3.893,mN,61.1,,digitized
2f,cono-spherical,D,8.781,um,P_f,7.189,mN,93.2,,digitized
2f,cono-spherical,D,8.836,um,P_f,5.152,mN,66.0,,digitized
2f,cono-spherical,D,9.777,um,P_f,6.875,mN,71.9,,digitized
2f,cono-spherical,D,10.060,um,P_f,4.733,mN,46.8,,digitized
2f,cono-spherical,D,10.448,um,P_f,8.200,mN,75.1,,digitized
2f,cono-spherical,D,10.605,um,P_f,7.901,mN,70.3,,digitized
2f,cono-spherical,D,11.353,um,P_f,6.753,mN,52.4,,digitized
2f,cono-spherical,D,15.837,um,P_f,10.448,mN,41.7,,digitized
2f,cono-spherical,D,16.000,um,P_f,13.390,mN,52.3,,digitized
2f,cono-spherical,D,17.226,um,P_f,12.176,mN,41.0,,digitized
2f,cono-spherical,D,17.380,um,P_f,13.143,mN,43.5,,digitized
3e,flat platen,D,6.855,um,P_f/D2,238.022,MPa,238.0,ok,digitized
3e,flat platen,D,7.557,um,P_f/D2,193.910,MPa,193.9,ok,digitized
3e,flat platen,D,7.827,um,P_f/D2,161.968,MPa,162.0,ok,digitized
3e,flat platen,D,9.179,um,P_f/D2,155.601,MPa,155.6,ok,digitized
3e,flat platen,D,9.843,um,P_f/D2,184.389,MPa,184.4,split-pair,digitized
3e,flat platen,D,10.283,um,P_f/D2,184.389,MPa,184.4,split-pair,digitized
3e,flat platen,D,10.200,um,P_f/D2,203.012,MPa,203.0,ok,digitized
3e,flat platen,D,10.535,um,P_f/D2,161.078,MPa,161.1,ok,digitized
3e,flat platen,D,11.343,um,P_f/D2,192.485,MPa,192.5,ok,digitized
