      Step     Time          Energy          fmax
FIRE:    0 22:27:43     -110.743244        0.042357
FIRE:    1 22:27:43     -110.743363        0.037176
FIRE:    2 22:27:43     -110.743556        0.035721
FIRE:    3 22:27:43     -110.743752        0.033689
FIRE:    4 22:27:43     -110.743907        0.031191
FIRE:    5 22:27:44     -110.744029        0.030411
FIRE:    6 22:27:44     -110.744160        0.036555
FIRE:    7 22:27:44     -110.744312        0.034337
FIRE:    8 22:27:44     -110.744503        0.023306
FIRE:    9 22:27:44     -110.744671        0.018003
