volume_label,V_A3,E_Ry,bfgs,basin_mic_disp_A
v094,1129.02,-1280.492940,converged,0.092
v096,1153.05,-1280.508173,converged,0.058
v098,1177.06,-1280.517107,converged,0.031
v100,1201.07,-1280.520267,converged,0.000
v102,1225.10,-1280.518348,converged,0.033
v104,1249.11,-1280.512086,converged,0.070
v106,1273.15,-1280.498879,converged,0.175
"# LPSOCl (O-doped LPSCl1.6, 62-atom cell) DFT fixed-cell EOS — KISTI A100 chain (llm1, segs 844314-317 + 846250-253),"
"#   forc_conv_thr 1e-3, carry-geometry across 4h walls (Sisyphus fix e67415d). ALL SEVEN bfgs-converged (no plateau caveats)."
"# BASIN CHECK: all mean MIC displacements vs v100 <= 0.175 A (flag 0.3) -> single ionic basin, no hoppers -> fit valid."
"# ==== Birch-Murnaghan (3rd order), llm_fitting_bm.py 2026-07-14 ===="
"#   V0 = 1204.59 +- 1.08 A^3   (grid center v100 = 1201.07 -> +0.3%, grid well centered)"
"#   B0 = 24.73 +- 0.56 GPa"
"#   B' = 0.37 +- 1.77          (ill-conditioned on a +-6% grid — DO NOT quote B'; B0 is robust)"
"#   residuals: max |8.56| meV (+1.9 -3.7 -1.1 +4.1 +4.3 -8.6 +3.2)"
"# VERDICT vs references: undoped LPSCl1.6 B0 = 21.7 GPa; B2O3-doped = 24.5 GPa"
"#   -> O-doping stiffens the lattice +14% vs undoped, and the LPSOCl value REPRODUCES the B2O3 route (24.7 vs 24.5)"
"#   within fit error — two independent O-insertion chemistries, same mechanical verdict. DFT anchor for the UMA cascade"
"#   EOS column (pipeline v2 Step 7 complete; Step 8 = property runs at V0 cell when scheduled)."
"# Raw data: KISTI /scratch/x3430a02/kgy/lpsocl_eos (eos_fit_results.json, eos_EV.csv) — evacuating via lpsocl_eos_final.tgz."
