"# Li MSD (A^2) vs time, MLIP-MD. Common 0-199 ps @ 1 ps grid (linear interpolation, display only)."
"# D = slope/6 over 2-50 ps. Raw single-seed MSD = ILLUSTRATIVE HIERARCHY ONLY. Quantitative D/Ea/sigma: the multiseed *_md_arrhenius.json files."
"# LPSCl1.6 600K ← d0.00_cfg0/T600/msd.json (D=1.4151e-05 cm2/s, traj 200 ps)"
"# LPSCl1.6 800K ← d0.00_cfg0/T800/msd.json (D=1.8611e-05 cm2/s, traj 200 ps)"
"# LPSCl1.6 1000K ← d0.00_cfg0/T1000/msd.json (D=4.2178e-05 cm2/s, traj 200 ps)"
"# b2o3 600K ← d0.00_cfg0/T600/msd.json (D=1.1196e-05 cm2/s, traj 200 ps)"
"# b2o3 800K ← d0.00_cfg0/T800/msd.json (D=2.4137e-05 cm2/s, traj 200 ps)"
"# b2o3 1000K ← d0.00_cfg0/T1000/msd.json (D=4.2671e-05 cm2/s, traj 200 ps)"
t_ps,LPSCl_600K,LPSCl_800K,LPSCl_1000K,lpsocl_600K,lpsocl_800K,lpsocl_1000K,LPSCl1.6_600K,LPSCl1.6_800K,LPSCl1.6_1000K,b2o3_600K,b2o3_800K,b2o3_1000K
0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.0,2.396,4.117,2.969,2.576,3.155,3.913,2.696,3.116,4.897,2.093,2.785,3.953
2.0,2.812,7.397,5.434,2.939,4.792,7.130,3.175,4.002,7.991,3.922,4.362,6.914
3.0,3.091,8.876,9.425,3.815,8.696,12.104,4.383,4.622,12.745,3.929,5.947,10.683
4.0,4.499,11.830,11.721,5.113,9.956,12.189,7.400,5.899,11.132,4.716,7.016,14.345
5.0,2.492,14.492,14.715,6.165,9.022,12.000,8.487,6.698,15.895,4.882,8.299,18.177
6.0,1.761,15.831,14.798,5.049,10.178,17.069,8.980,7.358,19.442,4.572,9.588,18.427
7.0,3.555,13.225,15.218,5.644,12.801,18.210,10.181,8.494,18.747,6.165,11.864,21.959
8.0,3.874,14.209,15.720,5.104,13.083,17.426,9.656,12.490,21.722,6.108,12.783,25.695
9.0,3.846,11.676,16.356,6.406,14.645,19.563,9.293,12.267,21.149,6.149,15.093,27.012
10.0,5.233,9.991,18.266,6.906,15.443,18.317,10.602,16.860,27.939,7.217,14.673,28.939
11.0,4.233,10.481,19.649,9.889,16.248,18.800,10.985,20.665,36.239,8.274,17.097,32.963
12.0,3.870,10.408,18.902,8.721,16.715,24.173,9.100,22.547,38.420,9.569,18.748,33.406
13.0,4.465,11.018,17.723,9.535,20.830,31.230,9.398,21.916,39.674,9.489,22.089,33.620
14.0,5.621,12.719,15.652,10.350,17.693,32.309,10.502,23.427,41.351,12.021,22.142,35.505
15.0,5.292,12.826,16.512,10.569,18.593,34.992,10.003,26.030,41.891,12.393,25.407,39.120
16.0,6.665,14.313,17.326,12.086,21.274,33.432,12.137,27.095,52.399,12.780,25.623,41.258
17.0,10.242,13.105,16.622,12.497,21.159,33.263,11.308,25.145,50.010,12.082,25.015,44.964
18.0,10.837,13.644,17.587,13.274,23.760,38.534,14.014,25.440,49.955,12.634,24.099,46.621
19.0,11.828,14.763,19.024,13.353,24.064,37.873,16.160,26.613,57.168,15.202,26.102,51.409
20.0,12.358,17.340,16.354,13.106,28.232,45.746,17.818,26.192,64.998,15.122,28.581,58.955
21.0,11.775,15.174,14.149,13.689,29.350,57.746,14.380,28.165,69.358,14.850,28.945,61.069
22.0,13.093,13.444,14.410,14.194,29.515,65.240,17.902,26.724,72.062,16.584,28.000,58.522
23.0,10.858,12.184,17.305,14.582,30.042,62.643,19.406,27.405,71.615,17.035,30.778,61.077
24.0,12.364,13.018,17.421,14.841,30.002,62.529,22.340,25.094,68.860,17.288,33.702,66.918
25.0,13.202,13.056,20.019,14.617,31.812,73.463,25.912,25.661,73.078,17.938,37.283,67.348
26.0,13.275,12.221,21.913,14.754,32.707,76.172,25.147,27.851,73.888,19.310,35.675,62.421
27.0,13.866,15.284,26.253,15.026,33.105,79.585,30.513,30.973,83.770,18.631,41.119,64.339
28.0,13.749,16.299,26.553,16.185,34.088,78.978,30.834,32.403,89.832,20.579,39.199,68.009
29.0,13.390,17.060,29.092,15.588,33.426,75.691,30.813,30.556,96.743,18.915,42.427,66.842
30.0,12.062,18.131,28.482,15.995,32.706,81.754,33.652,34.899,88.070,19.544,43.807,73.016
31.0,12.486,16.659,27.016,16.540,33.908,88.382,31.731,39.733,95.232,22.719,46.785,72.235
32.0,13.923,17.341,25.810,17.480,40.629,89.147,30.900,37.660,106.384,21.777,52.212,79.123
33.0,13.695,17.056,30.270,16.752,47.655,97.665,31.963,39.224,106.270,20.267,49.731,83.917
34.0,13.350,16.840,34.440,16.397,49.795,104.039,32.694,38.291,103.657,24.013,51.612,86.193
35.0,14.389,16.412,35.162,16.162,49.617,114.963,29.898,44.041,111.843,23.414,53.332,91.585
36.0,12.729,16.733,41.060,13.599,52.515,116.726,32.631,38.276,123.123,24.306,53.513,98.962
37.0,11.544,17.364,46.297,14.770,53.071,123.902,37.520,41.257,121.989,25.369,53.671,100.897
38.0,13.389,17.757,44.696,14.438,54.957,122.592,35.775,45.608,120.661,26.608,57.276,105.733
39.0,12.672,17.703,49.448,14.040,54.311,131.117,38.830,42.739,121.877,26.631,63.195,109.975
40.0,10.467,15.551,53.220,12.621,52.652,129.848,37.211,47.570,120.086,25.998,61.441,111.589
41.0,9.989,17.443,48.824,14.429,52.975,127.100,37.487,46.142,103.815,28.335,62.591,112.097
42.0,9.081,23.961,49.911,14.073,52.410,140.192,37.433,50.646,103.962,31.052,60.266,113.122
43.0,10.590,23.059,54.877,12.997,53.885,143.312,37.869,50.199,112.656,29.629,60.560,119.909
44.0,9.921,24.048,56.480,14.948,58.893,130.317,38.552,54.182,109.577,31.612,64.850,116.520
45.0,11.485,26.670,59.166,14.922,56.413,133.030,38.980,54.480,116.310,33.756,66.123,121.640
46.0,12.049,29.036,63.757,16.175,57.133,132.734,40.190,59.405,115.652,33.497,69.012,120.518
47.0,11.943,28.726,70.540,16.829,61.862,139.001,40.386,60.858,111.260,35.121,68.928,118.640
48.0,11.355,29.341,74.863,16.050,62.197,140.839,39.305,60.183,106.186,34.373,71.265,124.061
49.0,10.691,27.746,75.028,16.829,66.334,150.532,39.623,57.379,111.376,36.023,73.570,126.616
50.0,12.783,25.946,76.540,17.092,66.632,144.919,39.464,57.455,110.986,36.993,73.352,122.199
51.0,11.608,27.219,81.482,18.031,66.499,147.171,40.491,58.638,110.769,36.344,77.867,123.700
52.0,11.174,25.651,81.879,18.000,76.325,143.063,43.007,60.898,110.664,37.649,80.604,120.825
53.0,10.581,30.711,88.709,18.786,81.398,145.517,43.905,61.583,103.968,35.726,79.716,123.601
54.0,10.742,27.814,93.053,19.355,85.511,138.793,41.136,59.294,108.053,35.346,85.048,127.765
55.0,10.025,30.948,97.197,20.891,88.383,150.076,40.375,59.642,112.980,38.210,86.813,127.895
56.0,10.375,32.946,96.489,19.820,94.672,146.787,40.762,60.068,120.023,37.564,91.727,136.017
57.0,10.796,34.094,95.711,19.157,94.722,142.611,39.999,56.366,127.259,39.184,90.275,134.933
58.0,11.717,33.895,95.793,19.724,87.378,152.633,39.565,64.966,130.660,40.402,93.825,143.561
59.0,11.216,36.722,95.006,21.303,86.867,156.374,41.440,64.743,136.682,41.074,91.391,146.269
60.0,9.361,37.586,94.390,21.755,83.817,160.869,41.467,70.364,151.712,39.576,95.821,148.552
61.0,8.971,38.968,98.009,21.785,87.082,163.033,42.494,77.144,149.319,42.770,93.723,147.868
62.0,9.487,43.239,95.681,21.155,91.337,167.593,40.131,78.856,156.749,44.457,98.610,147.229
63.0,10.104,42.112,97.336,22.751,98.557,161.748,41.690,82.055,165.654,44.611,100.745,151.509
64.0,10.166,36.551,93.582,22.098,102.606,153.802,42.116,87.494,159.813,44.026,105.722,153.871
65.0,8.761,42.425,94.682,24.558,100.893,158.872,42.906,86.930,169.209,45.923,105.620,154.268
66.0,10.652,45.330,94.789,25.334,99.911,151.747,45.200,87.067,176.327,45.862,102.369,164.039
67.0,9.831,45.027,94.616,24.698,104.996,159.169,47.373,91.883,168.549,46.190,99.438,168.699
68.0,8.978,44.725,102.279,27.253,105.857,168.196,48.188,89.155,176.816,47.320,103.647,165.614
69.0,10.684,44.370,99.091,25.747,107.722,171.303,50.852,93.048,182.584,47.702,112.215,177.209
70.0,10.583,41.689,105.602,28.027,103.164,180.039,50.514,92.286,178.006,49.046,113.331,171.167
71.0,10.669,43.242,106.126,29.943,109.607,196.217,49.168,95.846,172.988,48.345,108.520,173.650
