# SEI decomposition phases — DOS / PDOS — total DOS as plotted (Gaussian 0.1 eV, E referenced to each phase's own VBM). Gaps are fixed-occ nscf eigenvalues, NOT read off these curves. QE/PBE — our calculation, do not mix with Materials Project values.
E_minus_VBM_eV,licl_DOS_states_per_eV,li3po4_DOS_states_per_eV,li3po4g_DOS_states_per_eV,li2o_DOS_states_per_eV,li2s_DOS_states_per_eV,li3p_DOS_states_per_eV
-8.000,5.739e-85,3.2288e-29,3.7788e-19,2.623e-85,2.623e-85,5.9067e-07
-7.990,5.739e-85,1.5054e-28,1.2539e-18,2.623e-85,2.623e-85,3.2733e-07
-7.980,5.739e-85,6.8696e-28,4.0738e-18,2.623e-85,2.623e-85,1.7828e-07
-7.970,5.739e-85,3.0681e-27,1.2961e-17,2.623e-85,2.623e-85,9.5403e-08
-7.960,5.739e-85,1.3411e-26,4.038e-17,2.623e-85,2.623e-85,5.015e-08
-7.950,5.739e-85,5.7381e-26,1.232e-16,2.623e-85,2.623e-85,2.589e-08
-7.940,5.739e-85,2.4028e-25,3.6811e-16,2.623e-85,2.623e-85,1.3123e-08
-7.930,5.739e-85,9.8519e-25,1.0772e-15,2.623e-85,2.623e-85,6.53e-09
-7.920,5.739e-85,3.9544e-24,3.0874e-15,2.623e-85,2.623e-85,3.1888e-09
-7.910,5.739e-85,1.5535e-23,8.6671e-15,2.623e-85,2.623e-85,1.5281e-09
-7.900,5.739e-85,5.9752e-23,2.3834e-14,2.623e-85,2.623e-85,7.185e-10
-7.890,5.739e-85,2.2501e-22,6.4201e-14,2.623e-85,2.623e-85,3.314e-10
-7.880,5.739e-85,8.2925e-22,1.6942e-13,2.623e-85,2.623e-85,1.4992e-10
-7.870,5.739e-85,2.9929e-21,4.3807e-13,2.623e-85,2.623e-85,6.6512e-11
-7.860,5.739e-85,1.0575e-20,1.1098e-12,2.623e-85,2.623e-85,2.8937e-11
-7.850,5.739e-85,3.6587e-20,2.7548e-12,2.623e-85,2.623e-85,1.2345e-11
-7.840,5.739e-85,1.2395e-19,6.7014e-12,2.623e-85,2.623e-85,5.1626e-12
-7.830,5.739e-85,4.1124e-19,1.5976e-11,2.623e-85,2.623e-85,2.1163e-12
-7.820,5.739e-85,1.3361e-18,3.7335e-11,2.623e-85,2.623e-85,8.5033e-13
-7.810,5.739e-85,4.25e-18,8.552e-11,2.623e-85,2.623e-85,3.3484e-13
-7.800,5.739e-85,1.3243e-17,1.9205e-10,2.623e-85,2.623e-85,1.2922e-13
-7.790,5.739e-85,4.0417e-17,4.2285e-10,2.623e-85,2.623e-85,4.8865e-14
-7.780,5.739e-85,1.2081e-16,9.13e-10,2.623e-85,2.623e-85,1.8107e-14
-7.770,5.739e-85,3.5375e-16,1.9335e-09,2.623e-85,2.623e-85,6.5736e-15
-7.760,5.739e-85,1.0147e-15,4.0166e-09,2.623e-85,2.623e-85,2.3379e-15
-7.750,5.739e-85,2.8518e-15,8.1862e-09,2.623e-85,2.623e-85,8.1447e-16
-7.740,5.739e-85,7.8501e-15,1.6372e-08,2.623e-85,2.623e-85,2.78e-16
-7.730,5.739e-85,2.1176e-14,3.2138e-08,2.623e-85,2.623e-85,9.2942e-17
-7.720,5.739e-85,5.5974e-14,6.1933e-08,2.623e-85,2.623e-85,3.0434e-17
-7.710,5.739e-85,1.4499e-13,1.1719e-07,2.623e-85,2.623e-85,9.7598e-18
-7.700,5.739e-85,3.6804e-13,2.1777e-07,2.623e-85,2.623e-85,3.0656e-18
-7.690,5.739e-85,9.1591e-13,3.976e-07,2.623e-85,2.623e-85,9.429e-19
-7.680,5.739e-85,2.2341e-12,7.1335e-07,2.623e-85,2.623e-85,2.8402e-19
-7.670,5.739e-85,5.342e-12,1.2581e-06,2.623e-85,2.623e-85,8.3762e-20
-7.660,5.739e-85,1.2526e-11,2.182e-06,2.623e-85,2.623e-85,2.4192e-20
-7.650,5.739e-85,2.88e-11,3.7228e-06,2.623e-85,2.623e-85,6.8425e-21
-7.640,5.739e-85,6.4946e-11,6.2503e-06,2.623e-85,2.623e-85,1.8947e-21
-7.630,5.739e-85,1.4365e-10,1.0331e-05,2.623e-85,2.623e-85,5.1377e-22
-7.620,5.739e-85,3.1171e-10,1.6818e-05,2.623e-85,2.623e-85,1.3638e-22
-7.610,5.739e-85,6.6369e-10,2.6977e-05,2.623e-85,2.623e-85,3.5441e-23
-7.600,5.739e-85,1.3866e-09,4.2657e-05,2.623e-85,2.623e-85,9.0167e-24
-7.590,5.739e-85,2.8435e-09,6.6525e-05,2.623e-85,2.623e-85,2.2457e-24
-7.580,5.739e-85,5.725e-09,0.00010237,2.623e-85,2.623e-85,5.4754e-25
