candidate,family,campaign_phase,nominal_levels,attempted_executions,ingested_in_2026_06_25_snapshot,included_in_47_pool,pool_status,reason,roster_source,roster_source_snapshot
Li2O,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
Na2O,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
Cu2O,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
Ag2O,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
MgO,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
ZnO,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
CaO,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
SrO,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
BaO,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
MnO,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
