# Li3N(001) Li-adatom migration: OPTIMAL re-fit of NEB profile
# Fit = clamped cubic spline (zero slope at endpoint minima) through 7 NEB images
# reaction_coord 0..1 = image index/6 ; adatom_fx = lateral position (frac a)
# migstep barrier (spline peak) = 102.0 meV ; cosine-model Eb = 103.3 meV (R2=0.9491)
reaction_coord,adatom_fx,Li3N_migstep_meV,Li3N_migstep_eV,Li3N_migstep_cosfit_eV,Li3N_rawNEB_meV,Li3N_rawNEB_eV,LiC6_meV,LiC6_eV
0.00000,0.00000,0.000,0.00000,0.00000,0.000,0.00000,0.000,0.00000
0.00250,0.00160,-0.005,-0.00000,0.00001,0.000,0.00000,0.067,0.00007
0.00500,0.00319,-0.019,-0.00002,0.00003,-0.000,-0.00000,0.267,0.00027
0.00750,0.00479,-0.041,-0.00004,0.00006,-0.001,-0.00000,0.597,0.00060
0.01000,0.00638,-0.071,-0.00007,0.00010,-0.002,-0.00000,1.054,0.00105
0.01250,0.00798,-0.109,-0.00011,0.00016,-0.005,-0.00001,1.636,0.00164
0.01500,0.00957,-0.153,-0.00015,0.00023,-0.010,-0.00001,2.339,0.00234
0.01750,0.01117,-0.203,-0.00020,0.00031,-0.016,-0.00002,3.162,0.00316
0.02000,0.01277,-0.258,-0.00026,0.00041,-0.025,-0.00003,4.101,0.00410
0.02250,0.01437,-0.318,-0.00032,0.00052,-0.037,-0.00004,5.154,0.00515
0.02500,0.01596,-0.383,-0.00038,0.00064,-0.052,-0.00005,6.318,0.00632
0.02750,0.01756,-0.451,-0.00045,0.00077,-0.071,-0.00007,7.591,0.00759
0.03000,0.01917,-0.521,-0.00052,0.00092,-0.093,-0.00009,8.969,0.00897
0.03250,0.02077,-0.594,-0.00059,0.00107,-0.120,-0.00012,10.450,0.01045
0.03500,0.02237,-0.669,-0.00067,0.00124,-0.151,-0.00015,12.031,0.01203
0.03750,0.02397,-0.745,-0.00074,0.00143,-0.188,-0.00019,13.710,0.01371
0.04000,0.02558,-0.821,-0.00082,0.00162,-0.229,-0.00023,15.484,0.01548
0.04250,0.02719,-0.897,-0.00090,0.00183,-0.277,-0.00028,17.349,0.01735
0.04500,0.02879,-0.972,-0.00097,0.00205,-0.331,-0.00033,19.305,0.01930
0.04750,0.03040,-1.046,-0.00105,0.00228,-0.391,-0.00039,21.346,0.02135
0.05000,0.03201,-1.118,-0.00112,0.00253,-0.458,-0.00046,23.472,0.02347
0.05250,0.03363,-1.187,-0.00119,0.00279,-0.533,-0.00053,25.680,0.02568
0.05500,0.03524,-1.253,-0.00125,0.00305,-0.615,-0.00061,27.966,0.02797
0.05750,0.03686,-1.314,-0.00131,0.00334,-0.705,-0.00070,30.328,0.03033
0.06000,0.03848,-1.372,-0.00137,0.00363,-0.803,-0.00080,32.763,0.03276
0.06250,0.04010,-1.424,-0.00142,0.00393,-0.910,-0.00091,35.268,0.03527
0.06500,0.04172,-1.470,-0.00147,0.00425,-1.027,-0.00103,37.842,0.03784
0.06750,0.04334,-1.510,-0.00151,0.00458,-1.153,-0.00115,40.480,0.04048
0.07000,0.04497,-1.543,-0.00154,0.00492,-1.288,-0.00129,43.181,0.04318
0.07250,0.04660,-1.568,-0.00157,0.00527,-1.434,-0.00143,45.942,0.04594
0.07500,0.04823,-1.586,-0.00159,0.00563,-1.591,-0.00159,48.760,0.04876
