index,group,formula,sigma_RT_mS_cm,dE_int_LNO_meV,dE_int_NCM811_meV,dE_int_Li_meV,dE_H2S_eV,halogen_total,halogen_kinds,cation_core,net_charge
0,pristine,Li6PS5I,0.001,-107.55,-424.46,-539.24,-0.23,1,I,P1,+0.000
1,1,Li5.75P0.75Mo0.25S5I,0.004,-90.74,-394.36,-540.69,-0.18,1,I,P0.75Mo0.25,+0.000
2,1,Li5.25P0.25Mo0.75S5I,0.004,-44.29,-364.36,-541.19,-0.03,1,I,P0.25Mo0.75,+0.000
3,1,Li5.5P0.5Mo0.5S5I,0.005,-69.73,-377.10,-542.38,-0.15,1,I,P0.5Mo0.5,+0.000
4,1,Li5.75P0.75W0.25S5I,0.01,-90.74,-400.00,-540.63,-0.18,1,I,P0.75W0.25,+0.000
5,1,Li5.25Sb0.25Mo0.75S5I,0.016,-11.99,-351.20,-535.96,0.18,1,I,Sb0.25Mo0.75,+0.000
6,1,Li5.25P0.25W0.75S5I,0.02,-44.29,-373.00,-543.74,-0.03,1,I,P0.25W0.75,+0.000
7,1,Li5.5P0.5W0.5S5I,0.06,-69.73,-383.40,-542.13,-0.15,1,I,P0.5W0.5,+0.000
8,1,Li5.5Sb0.5W0.5S5I,0.11,-10.93,-358.91,-548.82,0.07,1,I,Sb0.5W0.5,+0.000
9,1,Li5.25Sb0.25W0.75S5I,0.14,-11.99,-359.55,-541.67,0.06,1,I,Sb0.25W0.75,+0.000
10,1,Li5.75Sb0.75W0.25S5I,0.19,-9.69,-358.27,-555.43,0.07,1,I,Sb0.75W0.25,+0.000
11,1,Li5.75Sb0.75Mo0.25S5I,0.23,-9.69,-355.51,-553.67,0.42,1,I,Sb0.75Mo0.25,+0.000
12,1,Li5.5Sb0.5Mo0.5S5I,0.46,-10.93,-353.36,-545.15,0.30,1,I,Sb0.5Mo0.5,+0.000
13,2,Li5.5Si0.25W0.75S5I,0.21,-41.98,-370.55,-499.5,-0.01,1,I,Si0.25W0.75,+0.000
14,2,Li5.5Ge0.25Mo0.75S5I,0.25,-15.67,-351.92,-501.58,0.14,1,I,Ge0.25Mo0.75,+0.000
15,2,Li6Si0.5W0.5S5I,0.3,-65.82,-377.92,-453.51,-0.10,1,I,Si0.5W0.5,+0.000
16,2,Li5.5Ge0.25W0.75S5I,0.33,-15.67,-360.24,-500.06,0.14,1,I,Ge0.25W0.75,+0.000
17,2,Li6Sn0.5Mo0.5S5I,0.97,-10.18,-345.26,-453.92,0.26,1,I,Sn0.5Mo0.5,+0.000
18,2,Li6Si0.5Mo0.5S5I,1.03,-65.82,-372.24,-459.7,-0.05,1,I,Si0.5Mo0.5,+0.000
19,2,Li5.5Si0.25Mo0.75S5I,1.25,-41.98,-361.94,-503.82,-0.01,1,I,Si0.25Mo0.75,+0.000
20,2,Li5.5Sn0.25W0.75S5I,1.88,-11.31,-355.84,-495.82,0.16,1,I,Sn0.25W0.75,+0.000
21,2,Li6Ge0.5W0.5S5I,2.22,-13.14,-357.59,-455.86,0.26,1,I,Ge0.5W0.5,+0.000
22,2,Li5.5Sn0.25Mo0.75S5I,2.98,-11.31,-347.50,-490.05,0.16,1,I,Sn0.25Mo0.75,+0.000
23,2,Li6Sn0.5W0.5S5I,3.94,-10.18,-350.84,-457.63,0.26,1,I,Sn0.5W0.5,+0.000
24,2,Li6.5Sn0.75W0.25S5I,4.2,-8.88,-345.80,-421.93,0.53,1,I,Sn0.75W0.25,+0.000
25,2,Li6Ge0.5Mo0.5S5I,5.5,-13.14,-352.08,-457.83,0.26,1,I,Ge0.5Mo0.5,+0.000
26,2,Li6.5Sn0.75Mo0.25S5I,5.74,-8.88,-343.00,-420.13,0.36,1,I,Sn0.75Mo0.25,+0.000
27,2,Li6.5Ge0.75Mo0.25S5I,27.14,-10.32,-352.23,-414.39,0.37,1,I,Ge0.75Mo0.25,+0.000
28,2,Li6.5Ge0.75W0.25S5I,51.98,-10.32,-354.97,-414.46,0.37,1,I,Ge0.75W0.25,+0.000
29,2,Li6.5Si0.75Mo0.25S5I,52.14,-86.06,-382.82,-404.65,-0.15,1,I,Si0.75Mo0.25,+0.000
30,2,Li6.5Si0.75W0.25S5I,62.93,-86.06,-386.19,-400.29,-0.15,1,I,Si0.75W0.25,+0.000
31,3,Li6Si0.25Sb0.5Mo0.25S5I,0.06,-35.56,-364.22,-511.89,0.02,1,I,Si0.25Sb0.5Mo0.25,+0.000
32,3,Li6Ge0.25Sb0.5W0.25S5I,0.06,-9.58,-356.94,-509.43,0.17,1,I,Ge0.25Sb0.5W0.25,+0.000
33,3,Li6Sn0.25Sb0.5W0.25S5I,0.07,-9.58,-354.14,-511.67,0.40,1,I,Sn0.25Sb0.5W0.25,+0.000
34,3,Li6Sn0.25Sb0.5Mo0.25S5I,0.11,-9.58,-351.38,-509.87,0.40,1,I,Sn0.25Sb0.5Mo0.25,+0.000
35,3,Li6Si0.25Sb0.5W0.25S5I,0.16,-35.56,-367.07,-509.03,0.02,1,I,Si0.25Sb0.5W0.25,+0.000
