# 7 NEB images from <case>.dat: coord, E-E_first [eV], force/err.
case,image,reaction_coord,E_eV,force_err
li2s,1,0.000000,0.000000,0.023058
li2s,2,0.195985,0.110254,0.027664
li2s,3,0.357166,0.252537,0.031498
li2s,4,0.500001,0.305025,0.029358
li2s,5,0.642833,0.252539,0.031529
li2s,6,0.804013,0.110253,0.027674
li2s,7,1.000000,0.000010,0.023348
li3nd_ccc,1,0.000000,0.000000,0.018504
li3nd_ccc,2,0.191791,0.140279,0.033254
li3nd_ccc,3,0.350295,0.228927,0.039027
li3nd_ccc,4,0.499999,0.211849,0.029479
li3nd_ccc,5,0.649711,0.228981,0.027103
li3nd_ccc,6,0.808236,0.140345,0.033270
li3nd_ccc,7,1.000000,0.000023,0.018448
li3nd_ccb,1,0.000000,0.000000,0.018504
li3nd_ccb,2,0.186611,0.090551,0.011248
li3nd_ccb,3,0.375579,-0.345753,0.041984
li3nd_ccb,4,0.565449,-0.139056,0.045559
li3nd_ccb,5,0.732319,0.996444,0.010771
li3nd_ccb,6,0.870953,1.750760,0.004257
li3nd_ccb,7,1.000000,2.071730,0.024313
