E_minus_VBM,Li,P,S,Cl,O
3.1200,1.0368,2.1029,3.1539,0.0675,0.0413
3.1400,1.0656,2.1658,3.2144,0.0697,0.0446
3.1600,1.1400,2.3310,3.4344,0.0741,0.0482
3.1800,1.2372,2.5598,3.7558,0.0794,0.0512
3.2000,1.3321,2.8000,4.1004,0.0842,0.0530
3.2200,1.4059,3.0022,4.3940,0.0874,0.0535
3.2400,1.4508,3.1354,4.5889,0.0890,0.0531
3.2600,1.4683,3.1932,4.6743,0.0891,0.0524
3.2800,1.4660,3.1930,4.6742,0.0883,0.0516
3.3000,1.4545,3.1674,4.6335,0.0871,0.0508
3.3200,1.4451,3.1534,4.6025,0.0863,0.0503
3.3400,1.4465,3.1774,4.6182,0.0862,0.0504
3.3600,1.4616,3.2430,4.6883,0.0870,0.0513
3.3800,1.4846,3.3276,4.7864,0.0881,0.0527
3.4000,1.5047,3.3967,4.8687,0.0888,0.0540
3.4200,1.5141,3.4268,4.9027,0.0887,0.0547
3.4400,1.5137,3.4185,4.8858,0.0880,0.0546
3.4600,1.5115,3.3908,4.8397,0.0876,0.0542
3.4800,1.5150,3.3633,4.7877,0.0881,0.0544
3.5000,1.5222,3.3392,4.7323,0.0894,0.0558
3.5200,1.5192,3.3001,4.6482,0.0906,0.0581
3.5400,1.4848,3.2102,4.4887,0.0900,0.0600
3.5600,1.4003,3.0331,4.2078,0.0863,0.0600
3.5800,1.2613,2.7537,3.7886,0.0789,0.0570
3.6000,1.0834,2.3926,3.2627,0.0688,0.0512
3.6200,0.8973,2.0049,2.7058,0.0577,0.0438
3.6400,0.7366,1.6582,2.2088,0.0478,0.0363
3.6600,0.6265,1.4088,1.8444,0.0408,0.0302
3.6800,0.5798,1.2878,1.6498,0.0376,0.0266
3.7000,0.5983,1.3019,1.6279,0.0384,0.0258
3.7200,0.6756,1.4377,1.7553,0.0430,0.0276
3.7400,0.7962,1.6632,1.9880,0.0503,0.0315
3.7600,0.9386,1.9328,2.2654,0.0591,0.0360
3.7800,1.0838,2.2024,2.5269,0.0685,0.0398
3.8000,1.2289,2.4531,2.7379,0.0791,0.0421
3.8200,1.3929,2.7062,2.9087,0.0928,0.0432
3.8400,1.6100,3.0157,3.0934,0.1127,0.0438
3.8600,1.9116,3.4385,3.3603,0.1412,0.0452
3.8800,2.3077,3.9974,3.7523,0.1784,0.0484
3.9000,2.7768,4.6561,4.2553,0.2223,0.0537
3.9200,3.2692,5.3251,4.7970,0.2683,0.0605
3.9400,3.7260,5.8971,5.2782,0.3117,0.0680
3.9600,4.1013,6.2953,5.6210,0.3491,0.0747
3.9800,4.3816,6.5093,5.8070,0.3797,0.0800
4.0000,4.5918,6.5992,5.8848,0.4059,0.0840
4.0200,4.7825,6.6641,5.9421,0.4316,0.0881
4.0400,5.0070,6.7978,6.0646,0.4610,0.0940
4.0600,5.2950,7.0453,6.2946,0.4957,0.1028
4.0800,5.6348,7.3828,6.6120,0.5344,0.1143
4.1000,5.9737,7.7269,6.9418,0.5721,0.1272
4.1200,6.2421,7.9760,7.1913,0.6025,0.1396
4.1400,6.3887,8.0646,7.2984,0.6206,0.1505
4.1600,6.4062,7.9947,7.2603,0.6252,0.1602
4.1800,6.3250,7.8201,7.1209,0.6190,0.1703
4.2000,6.1838,7.5987,6.9291,0.6058,0.1817
4.2200,6.0056,7.3561,6.7089,0.5886,0.1940
4.2400,5.7962,7.0878,6.4598,0.5691,0.2051
4.2600,5.5588,6.7845,6.1795,0.5484,0.2123
4.2800,5.3035,6.4536,5.8792,0.5274,0.2136
4.3000,5.0484,6.1209,5.5834,0.5074,0.2089
4.3200,4.8177,5.8248,5.3237,0.4895,0.2005
4.3400,4.6448,5.6108,5.1368,0.4759,0.1918
4.3600,4.5717,5.5252,5.0621,0.4704,0.1859
4.3800,4.6397,5.6014,5.1321,0.4780,0.1844
4.4000,4.8727,5.8451,5.3578,0.5023,0.1865
4.4200,5.2622,6.2276,5.7193,0.5442,0.1907
4.4400,5.7626,6.6938,6.1688,0.5996,0.1959
4.4600,6.2991,7.1789,6.6431,0.6602,0.2021
4.4800,6.7888,7.6264,7.0824,0.7161,0.2096
4.5000,7.1704,8.0053,7.4495,0.7591,0.2181
4.5200,7.4268,8.3161,7.7405,0.7864,0.2267
4.5400,7.5849,8.5815,7.9777,0.8007,0.2340
4.5600,7.6885,8.8216,8.1848,0.8073,0.2395
4.5800,7.7687,9.0320,8.3644,0.8107,0.2438
4.6000,7.8320,9.1816,8.4935,0.8135,0.2482
4.6200,7.8760,9.2362,8.5449,0.8174,0.2543
4.6400,7.9118,9.1895,8.5159,0.8249,0.2634
4.6600,7.9709,9.0756,8.4390,0.8394,0.2766
4.6800,8.0832,8.9470,8.3608,0.8630,0.2940
4.7000,8.2421,8.8339,8.3042,0.8926,0.3139
4.7200,8.3902,8.7217,8.2479,0.9198,0.3327
4.7400,8.4442,8.5692,8.1449,0.9338,0.3470
4.7600,8.3437,8.3469,7.9605,0.9271,0.3548
4.7800,8.0877,8.0608,7.6972,0.8994,0.3575
4.8000,7.7316,7.7404,7.3853,0.8579,0.3584
4.8200,7.3550,7.4123,7.0588,0.8126,0.3604
4.8400,7.0273,7.0868,6.7403,0.7731,0.3648
4.8600,6.7941,6.7688,6.4452,0.7459,0.3716
4.8800,6.6781,6.4717,6.1919,0.7346,0.3802
4.9000,6.6858,6.2196,6.0014,0.7407,0.3909
4.9200,6.8046,6.0296,5.8843,0.7637,0.4037
4.9400,6.9974,5.8936,5.8250,0.7999,0.4175
4.9600,7.2016,5.7771,5.7808,0.8422,0.4301
4.9800,7.3460,5.6389,5.7002,0.8811,0.4400
5.0000,7.3796,5.4545,5.5494,0.9082,0.4476
5.0200,7.2920,5.2238,5.3256,0.9191,0.4540
5.0400,7.1106,4.9605,5.0510,0.9145,0.4595
5.0600,6.8769,4.6763,4.7534,0.8975,0.4622
5.0800,6.6332,4.3778,4.4557,0.8739,0.4586
5.1000,6.4255,4.0730,4.1775,0.8523,0.4465
5.1200,6.3073,3.7777,3.9390,0.8437,0.4264
5.1400,6.3239,3.5102,3.7574,0.8579,0.4006
5.1600,6.4897,3.2805,3.6375,0.8983,0.3716
5.1800,6.7813,3.0838,3.5676,0.9611,0.3408
5.2000,7.1487,2.9058,3.5260,1.0366,0.3092
5.2200,7.5260,2.7307,3.4877,1.1122,0.2780
5.2400,7.8392,2.5467,3.4311,1.1741,0.2484
5.2600,8.0270,2.3488,3.3440,1.2105,0.2207
5.2800,8.0819,2.1454,3.2346,1.2185,0.1950
5.3000,8.0773,1.9616,3.1371,1.2082,0.1717
5.3200,8.1489,1.8338,3.1039,1.1996,0.1528
5.3400,8.4244,1.7917,3.1781,1.2131,0.1399
5.3600,8.9410,1.8378,3.3633,1.2571,0.1337
5.3800,9.6090,1.9389,3.6106,1.3219,0.1326
5.4000,10.2549,2.0381,3.8383,1.3854,0.1336
5.4200,10.7363,2.0835,3.9792,1.4280,0.1341
5.4400,11.0515,2.0572,4.0258,1.4471,0.1333
5.4600,11.3487,1.9837,4.0350,1.4600,0.1324
5.4800,11.8137,1.9095,4.0845,1.4894,0.1333
5.5000,12.5271,1.8709,4.2162,1.5461,0.1374
5.5200,13.4084,1.8750,4.4115,1.6211,0.1443
5.5400,14.2814,1.9052,4.6139,1.6935,0.1528
5.5600,14.9871,1.9394,4.7706,1.7438,0.1613
5.5800,15.4539,1.9638,4.8588,1.7629,0.1688
5.6000,15.7016,1.9743,4.8864,1.7529,0.1751
5.6200,15.8014,1.9709,4.8764,1.7229,0.1799
5.6400,15.8353,1.9552,4.8545,1.6834,0.1828
5.6600,15.8717,1.9307,4.8432,1.6435,0.1832
5.6800,15.9565,1.9052,4.8611,1.6093,0.1810
5.7000,16.1080,1.8872,4.9169,1.5843,0.1772
5.7200,16.3020,1.8783,5.0002,1.5685,0.1729
5.7400,16.4691,1.8698,5.0803,1.5576,0.1689
5.7600,16.5214,1.8476,5.1218,1.5437,0.1650
5.7800,16.4012,1.8018,5.1059,1.5182,0.1601
5.8000,16.1195,1.7335,5.0434,1.4758,0.1533
5.8200,15.7486,1.6523,4.9645,1.4162,0.1444
5.8400,15.3747,1.5687,4.8955,1.3431,0.1343
5.8600,15.0457,1.4873,4.8404,1.2613,0.1242
5.8800,14.7536,1.4062,4.7791,1.1749,0.1151
5.9000,14.4728,1.3219,4.6861,1.0893,0.1075
5.9200,14.2213,1.2365,4.5556,1.0129,0.1015
5.9400,14.0764,1.1582,4.4097,0.9567,0.0970
5.9600,14.1194,1.0965,4.2816,0.9280,0.0938
5.9800,14.3660,1.0550,4.1921,0.9260,0.0915
6.0000,14.7567,1.0297,4.1407,0.9422,0.0894
6.0200,15.2295,1.0143,4.1202,0.9673,0.0870
6.0400,15.7858,1.0056,4.1320,0.9979,0.0843
6.0600,16.4722,1.0033,4.1837,1.0361,0.0818
6.0800,17.2912,1.0072,4.2723,1.0829,0.0801
6.1000,18.1374,1.0129,4.3729,1.1329,0.0794
6.1200,18.8421,1.0147,4.4505,1.1756,0.0795
6.1400,19.2848,1.0092,4.4820,1.2027,0.0802
6.1600,19.4753,0.9985,4.4724,1.2138,0.0812
6.1800,19.5292,0.9876,4.4465,1.2148,0.0828
6.2000,19.5798,0.9803,4.4305,1.2126,0.0849
6.2200,19.6973,0.9766,4.4361,1.2103,0.0874
6.2400,19.8677,0.9732,4.4576,1.2066,0.0899
6.2600,20.0300,0.9670,4.4783,1.1989,0.0917
6.2800,20.1336,0.9571,4.4819,1.1863,0.0923
6.3000,20.1856,0.9454,4.4632,1.1724,0.0917
6.3200,20.2487,0.9354,4.4314,1.1634,0.0903
6.3400,20.3900,0.9301,4.4015,1.1641,0.0889
6.3600,20.6263,0.9299,4.3828,1.1738,0.0878
6.3800,20.9206,0.9332,4.3739,1.1879,0.0871
6.4000,21.2258,0.9386,4.3680,1.2017,0.0871
6.4200,21.5289,0.9458,4.3608,1.2141,0.0882
6.4400,21.8475,0.9548,4.3521,1.2271,0.0909
6.4600,22.1855,0.9646,4.3408,1.2419,0.0955
6.4800,22.5018,0.9720,4.3211,1.2562,0.1016
6.5000,22.7287,0.9733,4.2846,1.2647,0.1079
6.5200,22.8227,0.9663,4.2276,1.2631,0.1132
6.5400,22.8046,0.9519,4.1569,1.2509,0.1171
6.5600,22.7473,0.9340,4.0882,1.2323,0.1196
6.5800,22.7296,0.9172,4.0378,1.2132,0.1211
6.6000,22.7990,0.9059,4.0149,1.1992,0.1224
6.6200,22.9657,0.9026,4.0191,1.1935,0.1236
6.6400,23.2124,0.9072,4.0427,1.1964,0.1245
6.6600,23.5044,0.9167,4.0733,1.2052,0.1244
6.6800,23.7923,0.9260,4.0964,1.2151,0.1228
6.7000,24.0268,0.9298,4.1009,1.2215,0.1196
6.7200,24.1861,0.9257,4.0843,1.2222,0.1151
6.7400,24.2970,0.9156,4.0558,1.2186,0.1104
6.7600,24.4227,0.9044,4.0315,1.2142,0.1062
6.7800,24.6265,0.8980,4.0256,1.2123,0.1033
6.8000,24.9386,0.9001,4.0435,1.2140,0.1021
6.8200,25.3514,0.9112,4.0810,1.2185,0.1027
6.8400,25.8461,0.9294,4.1302,1.2251,0.1050
6.8600,26.4052,0.9511,4.1841,1.2342,0.1084
6.8800,27.0011,0.9719,4.2363,1.2467,0.1119
6.9000,27.5774,0.9873,4.2796,1.2626,0.1145
6.9200,28.0460,0.9938,4.3062,1.2799,0.1156
6.9400,28.3132,0.9903,4.3096,1.2944,0.1150
6.9600,28.3188,0.9782,4.2876,1.3011,0.1132
6.9800,28.0704,0.9611,4.2437,1.2970,0.1111
7.0000,27.6522,0.9429,4.1869,1.2822,0.1097
7.0200,27.2039,0.9275,4.1302,1.2617,0.1097
7.0400,26.8737,0.9175,4.0881,1.2426,0.1111
7.0600,26.7584,0.9144,4.0713,1.2318,0.1138
7.0800,26.8666,0.9176,4.0815,1.2318,0.1168
7.1000,27.1148,0.9246,4.1100,1.2402,0.1195
7.1200,27.3736,0.9318,4.1413,1.2506,0.1211
7.1400,27.5353,0.9364,4.1626,1.2575,0.1213
7.1600,27.5614,0.9378,4.1695,1.2582,0.1206
7.1800,27.4819,0.9376,4.1664,1.2542,0.1197
7.2000,27.3610,0.9378,4.1608,1.2492,0.1195
7.2200,27.2548,0.9390,4.1579,1.2467,0.1203
7.2400,27.1842,0.9404,4.1580,1.2481,0.1218
7.2600,27.1259,0.9399,4.1564,1.2512,0.1231
7.2800,27.0294,0.9359,4.1461,1.2514,0.1232
7.3000,26.8596,0.9280,4.1223,1.2445,0.1216
7.3200,26.6363,0.9177,4.0879,1.2304,0.1185
7.3400,26.4319,0.9071,4.0534,1.2134,0.1146
7.3600,26.3236,0.8982,4.0310,1.1996,0.1108
7.3800,26.3487,0.8918,4.0286,1.1928,0.1076
7.4000,26.4984,0.8882,4.0471,1.1934,0.1050
7.4200,26.7349,0.8877,4.0815,1.1989,0.1032
7.4400,27.0015,0.8901,4.1228,1.2054,0.1020
7.4600,27.2278,0.8948,4.1595,1.2092,0.1013
7.4800,27.3458,0.9006,4.1818,1.2077,0.1006
7.5000,27.3143,0.9060,4.1838,1.2001,0.0998
7.5200,27.1146,0.9091,4.1621,1.1861,0.0988
7.5400,26.7182,0.9072,4.1102,1.1644,0.0975
7.5600,26.0537,0.8960,4.0141,1.1308,0.0956
7.5800,25.0020,0.8705,3.8536,1.0793,0.0924
7.6000,23.4281,0.8264,3.6079,1.0041,0.0873
7.6200,21.2439,0.7609,3.2653,0.9025,0.0796
7.6400,18.4741,0.6748,2.8321,0.7769,0.0696
7.6600,15.2958,0.5730,2.3374,0.6363,0.0579
7.6800,12.0060,0.4642,1.8276,0.4940,0.0459
7.7000,8.9286,0.3585,1.3528,0.3637,0.0347
7.7200,6.3106,0.2646,0.9509,0.2550,0.0253
7.7400,4.2634,0.1876,0.6387,0.1716,0.0179
7.7600,2.7726,0.1284,0.4133,0.1118,0.0125
7.7800,1.7470,0.0854,0.2596,0.0711,0.0086
7.8000,1.0751,0.0557,0.1597,0.0446,0.0059
7.8200,0.6552,0.0361,0.0977,0.0279,0.0041
7.8400,0.4056,0.0240,0.0609,0.0178,0.0030
7.8600,0.2635,0.0169,0.0399,0.0118,0.0024
7.8800,0.1840,0.0127,0.0282,0.0083,0.0020
7.9000,0.1380,0.0101,0.0213,0.0061,0.0017
7.9200,0.1093,0.0084,0.0170,0.0048,0.0015
7.9400,0.0889,0.0070,0.0139,0.0038,0.0012
7.9600,0.0728,0.0058,0.0114,0.0031,0.0011
7.9800,0.0598,0.0048,0.0094,0.0025,0.0009
8.0000,0.0492,0.0040,0.0077,0.0020,0.0007
