E_minus_VBM,Li,P,S,Cl,O
-3.5000,3.3560,0.2124,2.0097,13.3331,0.2474
-3.4800,3.5901,0.2396,2.0703,14.6163,0.2194
-3.4600,3.9110,0.2641,2.1877,16.0865,0.2220
-3.4400,4.1897,0.2783,2.2932,17.1998,0.2450
-3.4200,4.2975,0.2772,2.3212,17.4730,0.2725
-3.4000,4.1614,0.2598,2.2386,16.6959,0.2907
-3.3800,3.8106,0.2305,2.0670,15.0763,0.2960
-3.3600,3.3988,0.1988,1.8949,13.2866,0.2990
-3.3400,3.1669,0.1775,1.8581,12.2899,0.3197
-3.3200,3.3356,0.1767,2.0815,12.9362,0.3752
-3.3000,3.9890,0.1988,2.6103,15.5348,0.4675
-3.2800,5.0221,0.2376,3.3759,19.6667,0.5793
-3.2600,6.1895,0.2812,4.2215,24.3692,0.6826
-3.2400,7.2237,0.3185,4.9744,28.5847,0.7518
-3.2200,7.9499,0.3433,5.5190,31.6050,0.7747
-3.2000,8.3271,0.3555,5.8266,33.2496,0.7549
-3.1800,8.4086,0.3578,5.9319,33.7279,0.7078
-3.1600,8.2746,0.3536,5.8922,33.3762,0.6532
-3.1400,8.0024,0.3454,5.7680,32.5279,0.6090
-3.1200,7.6848,0.3369,5.6333,31.5673,0.5882
-3.1000,7.4415,0.3333,5.5798,30.9715,0.5980
-3.0800,7.3869,0.3397,5.6906,31.1878,0.6414
-3.0600,7.5732,0.3584,5.9992,32.4198,0.7179
-3.0400,7.9654,0.3874,6.4726,34.5313,0.8236
-3.0200,8.4711,0.4217,7.0336,37.1655,0.9525
-3.0000,8.9968,0.4561,7.6041,39.9631,1.0978
-2.9800,9.4831,0.4876,8.1317,42.6959,1.2547
-2.9600,9.9024,0.5155,8.5907,45.2571,1.4205
-2.9400,10.2393,0.5405,8.9688,47.5830,1.5924
-2.9200,10.4757,0.5629,9.2550,49.6062,1.7649
-2.9000,10.5923,0.5822,9.4358,51.2670,1.9267
-2.8800,10.5782,0.5972,9.4961,52.5508,2.0600
-2.8600,10.4354,0.6066,9.4219,53.4938,2.1456
-2.8400,10.1766,0.6095,9.2061,54.1533,2.1724
-2.8200,9.8185,0.6049,8.8555,54.5460,2.1435
-2.8000,9.3743,0.5916,8.3944,54.5951,2.0748
-2.7800,8.8582,0.5688,7.8655,54.1481,1.9842
