dopant,substituted_site,garnet_wt_pct,cubic_wt_pct,sigma_ionic_S_cm,sigma_electronic_S_cm,Vmax_V,HV_integrated_current_mAh_g,Vmin_V,CCD_mA_cm2,source
Ag,La,95.43,60.37,1.9e-05,3.48e-08,3.9,4.44,0.9,,paper SI Table S5
Al,Li,98.61,98.61,6.04e-05,2.65e-08,3.9,2.44,0.7*,0.2,paper SI Table S5
Au,Zr,85.13,48.57,3.54e-05,4.47e-08,3.9,0.83,1*,,paper SI Table S5
B,Li,97.7,94.98,6.56e-06,2.77e-08,3.9,1.99,1.2,,paper SI Table S5
Ba,La,92.32,30.7,1.36e-05,1.9e-08,3.9,0.48,< 0.1,0.60,paper SI Table S5
Bi,La,93.99,93.99,1.97e-05,3.6e-08,3.9,2.04,1,,paper SI Table S5
Ca,La,97.9,92.07,2.87e-05,2.31e-08,3.9,5.47,2.2*,">0.40,<0.85",paper SI Table S5
Cd,Zr,100.0,90.17,2.1e-05,3.9e-08,3.9,1.08,< 0.1,,paper SI Table S5
Ce,Zr,98.54,94.83,3.31e-05,2.49e-08,3.9,1.29,1.8*,,paper SI Table S5
Co,Zr,93.43,44.13,9.37e-05,1.2e-06,3.9,0.46,< 0.1,0.1,paper SI Table S5
Cr,Zr,95.39,93.47,1.1e-05,5.16e-08,3.8,2.16,1,,paper SI Table S5
Cs,La,94.52,75.14,3.14e-05,2.62e-08,3.9,1.69,< 0.1,>0.50,paper SI Table S5
Cu,Zr,97.31,45.15,2.52e-05,1.3e-07,3.9,1.15,< 0.1,,paper SI Table S5
Dy,La,93.83,93.83,3.27e-05,3.85e-08,3.9,-0.05,1,">0.45,<0.75",paper SI Table S5
Er,La,93.79,73.31,,,3.9,0.57,2.2,,paper SI Table S5
Eu,Zr,88.67,83.86,5e-06,2.35e-08,3.9,1.83,0.4,,paper SI Table S5
Fe,Li,98.07,98.07,0.00119,5.4e-08,3.9,0.71,1,0.2,paper SI Table S5
Ga,Li,98.57,98.43,0.00116,1.97e-08,3.9,1.46,1,0.1,paper SI Table S5
Gd,La,97.5,97.03,5.52e-05,2.97e-08,3.9,1.59,1,,paper SI Table S5
Ge,Zr,99.41,71.63,1.4e-06,2.95e-08,3.9,0.55,1.1,,paper SI Table S5
Hf,Zr,97.71,74.36,4.9e-05,4.51e-08,3.9,1.44,< 0.1,> 0.45,paper SI Table S5
Ho,La,93.24,56.77,1.57e-05,2.42e-08,3.9,2.92,< 0.1,,paper SI Table S5
In,Zr,97.56,41.51,2.58e-05,2e-08,3.9,1.66,< 0.1,> 0.25,paper SI Table S5
Ir,Zr,100.0,59.63,9.06e-06,1.24e-07,3.9,3.28,< 0.1,,paper SI Table S5
K,La,94.01,44.37,2.17e-05,2.3e-08,3.9,1.25,0.8,,paper SI Table S5
Lu,La,96.17,96.17,2.81e-05,3.07e-08,3.9,5.21,< 0.1,,paper SI Table S5
Mg,Zr,95.84,95.84,2.37e-05,2.84e-08,3.9,3.72,< 0.1,> 0.30,paper SI Table S5
