# RAW values for Origin's Histogram tool (Statistics > Histogram).,
"# One value per structure: |screen_dV_over_V0| x 100, in percent.",
# Two columns of different length - blanks at the bottom of the shorter one are normal.,
"# In Origin: select BOTH columns > Plot > Statistics > Histogram, then set Bin Size = 2.",
"# ** Do NOT use this file with a Column chart, and do NOT use the pre-binned file with Histogram. **",
dV_pct_kept,dV_pct_dropped
0.000,25.030
0.000,25.034
0.000,25.034
0.000,25.039
0.000,25.084
0.000,25.095
0.000,25.155
0.000,25.168
0.000,25.235
0.000,25.238
0.000,25.241
0.000,25.289
0.000,25.293
0.000,25.301
0.000,25.302
0.000,25.312
0.000,25.375
0.000,25.440
0.000,25.441
0.000,25.441
0.000,25.468
0.000,25.468
0.000,25.469
0.000,25.724
0.000,25.866
0.000,25.919
0.000,25.919
0.000,25.921
0.000,25.931
0.000,25.935
0.000,25.935
0.000,25.935
0.000,25.988
0.000,25.989
0.000,25.999
0.000,26.060
0.000,26.060
0.000,26.060
0.000,26.136
0.000,26.169
0.000,26.170
0.000,26.173
0.000,26.174
0.000,26.253
0.000,26.328
0.000,26.680
0.000,26.729
0.000,26.739
0.000,26.749
0.000,26.814
0.000,26.873
0.000,26.928
0.000,27.066
0.000,27.066
0.000,27.066
0.000,27.220
0.000,27.223
0.000,27.223
0.000,27.223
0.000,27.224
0.000,27.226
0.000,27.226
0.000,27.250
0.000,27.289
0.000,27.298
0.000,27.298
0.000,27.299
0.000,27.596
0.000,27.596
0.000,27.596
0.000,28.053
0.000,28.077
0.000,28.424
0.000,28.425
0.000,28.524
0.000,28.599
0.000,28.600
0.000,28.602
0.000,28.602
0.000,28.623
0.000,28.624
0.000,28.689
0.000,28.751
0.000,28.751
0.000,28.751
0.000,29.513
0.000,29.526
0.000,29.547
0.000,30.147
0.000,30.147
0.124,30.187
0.153,31.966
0.169,31.972
0.173,32.021
0.176,32.496
0.194,32.496
0.215,32.496
0.384,33.081
0.411,33.081
0.535,33.081
0.564,
0.589,
0.612,
0.612,
0.612,
0.661,
0.661,
0.661,
0.730,
0.730,
0.730,
0.733,
0.738,
0.738,
0.739,
0.739,
0.740,
0.740,
0.753,
0.764,
0.790,
0.790,
0.791,
0.834,
0.885,
0.886,
1.002,
1.005,
1.056,
1.057,
1.057,
1.098,
1.098,
1.098,
1.098,
1.098,
1.098,
1.098,
1.098,
1.098,
1.098,
1.098,
1.098,
1.098,
1.098,
1.098,
1.098,
1.098,
1.098,
1.098,
1.098,
1.098,
1.098,
1.098,
1.098,
1.098,
1.098,
1.098,
1.098,
1.098,
1.098,
1.100,
1.112,
1.175,
1.175,
1.175,
1.175,
1.175,
1.175,
1.175,
1.175,
1.175,
1.175,
1.175,
1.175,
1.175,
1.175,
1.175,
1.175,
1.175,
1.175,
1.175,
1.175,
1.175,
1.175,
1.175,
1.175,
1.175,
1.175,
1.175,
1.175,
1.175,
1.175,
1.207,
1.207,
1.207,
1.233,
1.233,
1.272,
1.291,
1.416,
1.418,
1.418,
1.423,
1.423,
1.423,
1.423,
