# PROVENANCE (2026-08-05): recomputed from the ORIGINAL MLIP-MD trajectory
#   runs/modelC_v3/aimd/T600/traj.traj (1000 frames, prod 100 ps, dt 2 fs, save 100 fs,
#   equilib 10 ps excluded; 62 atoms / 27 Li; V 1216.38 A^3; D(Li) 7.901e-6 cm2/s).
#   The folder is named "aimd" but this is MLIP-MD, not DFT-AIMD: 110 ps of a 62-atom cell
#   in 93.9 min (~0.10 s/step) - DFT would need weeks. Label figures "MLIP-MD".
# NOMENCLATURE (literature standard): the map is the POTENTIAL OF MEAN FORCE (PMF),
#   dF(r) = -kB*T*ln[rho(r)/rho_max]; the percolation threshold is the PERCOLATION FREE
#   ENERGY dF_perc (paired with the bond-valence side's dE_perc); segment values are
#   FREE-ENERGY BARRIERS dF. A bare "F" is avoided (F = force in MD literature) and so is
#   the star notation F*.
# TWO DEFINITIONS: first-spanning dF_perc = 0.0782 eV (a 1.4% thin filament, NOT adopted)
#   vs TRANSITION (largest-cluster steepest rise) dF_perc = 0.1725 eV (ADOPTED, = 0.17).
# REPRODUCTION: this independent pipeline (26-connectivity winding percolation) returns
#   0.1725 eV, matching the registered curve docs/figures/elf_licl/
#   percolation_comp1_modelc_EXACT.csv recomputed the same way (0.1725).
# CONVERGENCE (block test): transition dF_perc = 0.1725 (full 100 ps) / 0.1875 (first 50 ps)
#   / 0.1675 (second 50 ps) / 0.1825 (first 25 ps) -> +-10 meV. First-spanning by contrast
#   swings to 0.1052 at 25 ps (+35%). => the transition definition is converged at
#   1 seed x 100 ps; first-spanning is not.
# SINGLE SEED, T = 600 K. dF_perc is a FREE ENERGY AT THIS TEMPERATURE, not Ea
#   (measured offset dF_perc - Ea ~ -50 meV, systematic).
# Largest connected Li cluster vs PMF level - LPSCl1.6, T = 600 K.
# First-spanning dF_perc = 0.0782 eV ; TRANSITION (steepest rise, ADOPTED) dF_perc = 0.1725 eV.
dF_eV,largest_cluster_pct
0.0050,0.0070
0.0100,0.0196
0.0150,0.0401
0.0200,0.0583
0.0250,0.0765
0.0300,0.1045
0.0350,0.1325
0.0400,0.1595
0.0450,0.2122
0.0500,0.2608
0.0550,0.4590
0.0600,0.8350
0.0650,0.9810
0.0700,1.1354
0.0750,1.2772
0.0800,1.4120
0.0850,1.8743
0.0900,2.1710
0.0950,3.6394
0.1000,3.9333
0.1050,4.2393
0.1100,4.5434
0.1150,9.4806
0.1200,10.2750
0.1250,11.0591
0.1300,11.8596
0.1350,12.6372
0.1400,13.4106
0.1450,14.1728
0.1500,14.9500
0.1550,15.7061
0.1600,16.4473
0.1650,25.2674
0.1700,26.2955
0.1750,44.8452
0.1800,46.4788
0.1850,48.0317
0.1900,49.6107
0.1950,51.1673
0.2000,52.6722
0.2050,54.1616
0.2100,55.6306
0.2150,56.9903
0.2200,58.3515
0.2250,59.6385
0.2300,60.9213
0.2350,62.1318
0.2400,63.3348
0.2450,64.5113
0.2500,65.6844
0.2550,66.7946
0.2600,67.8727
0.2650,68.9619
0.2700,69.9881
0.2750,71.0246
0.2800,71.9827
0.2850,72.9096
0.2900,73.8244
0.2950,74.7289
0.3000,75.5783
0.3050,76.4156
0.3100,77.2306
0.3150,78.0399
0.3200,78.8175
0.3250,79.5424
0.3300,80.2738
0.3350,80.9693
0.3400,81.6322
0.3450,82.2908
0.3500,82.9332
0.3550,83.5186
0.3600,84.1162
0.3650,84.6848
0.3700,85.2390
0.3750,85.7791
0.3800,86.2741
0.3850,86.7900
0.3900,87.2658
0.3950,87.7397
0.4000,88.2206
0.4050,88.6545
0.4100,89.0724
0.4150,89.4960
0.4200,89.8873
0.4250,90.2540
0.4300,90.6248
0.4350,90.9864
0.4400,91.3222
0.4450,91.6352
0.4500,91.9552
0.4550,92.2780
0.4600,92.5598
0.4650,92.8383
0.4700,93.1032
0.4750,93.3640
0.4800,93.6126
0.4850,93.8538
0.4900,94.0861
0.4950,94.3081
0.5000,94.5241
0.5050,94.7158
0.5100,94.9173
0.5150,95.1062
0.5200,95.2830
0.5250,95.4505
0.5300,95.6086
0.5350,95.7523
0.5400,95.9062
0.5450,96.0490
0.5500,96.1889
0.5550,96.3237
0.5600,96.4781
0.5650,96.6055
0.5700,96.7291
0.5750,96.8364
0.5800,96.9423
0.5850,97.0589
0.5900,97.1713
0.5950,97.2753
0.6000,97.3672
