# LPSCl1.6 (= undoped Li5.4PS4.4Cl1.6) element-projected DOS, VBM-aligned, states/eV, sigma=0.15 eV. Cols: Li P S Cl (no B/O = undoped)
E_minus_VBM,Li,P,S,Cl
-7.3300,0.0000,0.0000,0.0000,0.0000
-7.3200,0.0000,0.0000,0.0000,0.0000
-7.3100,0.0000,0.0000,0.0000,0.0000
-7.3000,0.0000,0.0000,0.0000,0.0000
-7.2900,0.0000,0.0000,0.0000,0.0000
-7.2800,0.0000,0.0000,0.0000,0.0000
-7.2700,0.0000,0.0000,0.0000,0.0000
-7.2600,0.0000,0.0000,0.0000,0.0000
-7.2500,0.0000,0.0000,0.0000,0.0000
-7.2400,0.0000,0.0000,0.0000,0.0000
-7.2300,0.0000,0.0000,0.0000,0.0000
-7.2200,0.0000,0.0000,0.0000,0.0000
-7.2100,0.0000,0.0000,0.0000,0.0000
-7.2000,0.0000,0.0000,0.0000,0.0000
-7.1900,0.0000,0.0000,0.0000,0.0000
-7.1800,0.0000,0.0000,0.0000,0.0000
-7.1700,0.0000,0.0000,0.0000,0.0000
-7.1600,0.0000,0.0000,0.0000,0.0000
-7.1500,0.0000,0.0000,0.0000,0.0000
-7.1400,0.0000,0.0000,0.0000,0.0000
-7.1300,0.0000,0.0000,0.0000,0.0000
-7.1200,0.0000,0.0000,0.0000,0.0000
-7.1100,0.0000,0.0000,0.0000,0.0000
-7.1000,0.0000,0.0000,0.0000,0.0000
-7.0900,0.0000,0.0000,0.0000,0.0000
-7.0800,0.0000,0.0000,0.0000,0.0000
-7.0700,0.0000,0.0000,0.0000,0.0000
-7.0600,0.0000,0.0000,0.0000,0.0000
-7.0500,0.0000,0.0000,0.0000,0.0000
-7.0400,0.0000,0.0000,0.0000,0.0000
-7.0300,0.0000,0.0000,0.0000,0.0000
-7.0200,0.0000,0.0000,0.0000,0.0000
-7.0100,0.0000,0.0000,0.0000,0.0000
-7.0000,0.0000,0.0000,0.0000,0.0000
-6.9900,0.0000,0.0000,0.0000,0.0000
-6.9800,0.0000,0.0000,0.0000,0.0000
-6.9700,0.0000,0.0000,0.0000,0.0000
