# Zhu & Mo, "Materials Design Principles for Air-Stable Lithium/Sodium Solid Electrolytes",
#   Angew. Chem. Int. Ed. 2020, 59, 17472-17476.  DOI 10.1002/anie.202007621
#   SOURCE FILE: anie_202007621_sm_miscellaneous_information.xlsx (SI spreadsheet), 전수 전사 2026-08-05.
#
# !! 이것은 문헌 소환값이다. 우리(Yonghoon-DEM-DFT) 계산이 아니다. !!
#   우리 db 절대값(db/properties/*.json, ESW/gap/sigma 등)과 같은 표·같은 축에 넣지 말 것.
#   인용할 때는 반드시 (a) 출처 (b) 계산 수준 (c) 부분압 조건을 함께 적는다.
#
# 계산 수준 (SI Methods):
#   - 고체 대부분 = Materials Project 형성에너지 직접 소환 (GGA-PBE + MP anion correction),
#     엔트로피/PV 항 무시. 대상은 MP convex hull 위 50 meV/atom 이내 화합물 전부(준안정 포함).
#   - 자체 DFT 4종만: Li3AsS4, Na3AsS4 (enargite-type Pmn2_1), Li3YCl6, Li2ZrCl6 (P-31m).
#     VASP + PAW, GGA-PBE, ecut 520 eV, pseudo Li_sv/Na_pv/P/S. k-mesh 미기재. entry id 칸이 빈 행이 이들.
#   - hydroxide 고체 19종 = NIST-JANAF 실험 표준생성엔탈피 (보정 스킴 없음).
#   - 기체 H2O/H2S/HCl = NIST-JANAF 실험 엔탈피+엔트로피, T = 300 K.
#   - 부분압 보정 dmu(x) = kB*T*ln(x);  preset: x(H2O)=0.1% (=300 K RH ~3%), x(H2S)=x(HCl)=1 ppm.
#   - 대표 가수분해 반응 = H2O 당 정규화 후 최저 dG 반응 (tracer-H2O 극한). SI Step 1-4 알고리즘.
#   -> DFT(고체) + 실험(기체/수산화물) 혼합 스킴. 절대값은 ~0.1 eV급 스킴 의존성 예상.
#
# !! 염화물 부분압 규약 불일치 (우리가 전사 중 발견, 2026-08-05) !!
#   Excel 의 sulfide 시트는 SI 본문값과 일치한다 (Li2S 0.225 = SI eq.(1); Li3PS4 -0.594 vs 본문 -0.608).
#   그러나 chloride 시트(M-Cl / Li-M-Cl / Na-M-Cl)는 SI 본문 이성분 식과 어긋난다:
#     Excel LiCl 1.335 vs SI 본문 +0.977 / Excel NaCl 1.880 vs SI 본문 +1.532.
#   차이 = 0.357 eV = kB*T*ln(1e6) @300 K = HCl 1 ppm 보정항, HCl 1개당.
#   교차검증 3건: (i) Fig 1 의 LiCl->LiOH 경계까지 거리가 0.977 로 읽힌다 (SI 본문 규약),
#                (ii) Fig S1 의 LiCl/NaCl 점선 기준선도 0.98/1.53 에 그려져 있다 (SI 본문 규약),
#                (iii) 그런데 Fig S1 의 LiCl/NaCl *데이터 점* 과 Fig 3c 의 14종은 Excel 값과 정확히 일치.
#   => 논문의 chloride 산점도/표는 HCl 1 ppm 보정을 빠뜨린 것으로 보인다 (H2O 0.1% 보정은 들어가 있음).
#      같은 그림(Fig S1) 안에서 기준선과 데이터 점의 규약이 다르다.
#   조치: 원본값을 'as_published' 로 그대로 두고, 우리가 유도한 preset 환산값을 별도 열로 병기한다.
#     dG_preset_corrected_OURS = dG_as_published - 0.35714 * n_gas_per_H2O   (chloride only)
#     sulfide 는 보정 0 (이미 preset).  ⚠ 이 환산은 우리 추론이다 - 논문이 제시한 값이 아니다.
#     인용 시 어느 열을 썼는지 반드시 밝힐 것.
#
# THIS FILE: SI xlsx 시트 'Li-M-S'(52) + 'Na-M-S'(65) + 'Li-M-Cl'(14) + 'Na-M-Cl'(39) = 170 행.
#   각 행에 0 V 환원 / 4.5 V 산화 / 가수분해가 함께 들어 있다 (원본 시트 구조 그대로 보존).
#
# ★ 본문에 없는 것 2가지가 이 시트에 있다 (2026-08-05 확인):
#   (1) 4.5 V 산화 반응식 + 반응에너지 - 논문 본문은 0 V(환원)만 논의한다.
#   (2) cathodic_limit_V / anodic_limit_V = 전기화학 안정성 창(ESW) 양끝, V vs Li/Li+ (또는 Na/Na+).
#       우리 grand-potential ESW 와 같은 방법(ref [1] Zhu/He/Mo 2015 ACS AMI · 2016 JMCA)의 산출물.
#       ⚠ 그래도 우리 ESW 값과 한 표에 넣지 말 것 - 그들은 MP-GGA ordered 상, 우리는 우리 구조/조건.
#
# 열 정의:
#   source_sheet / alkali / anion    원본 시트와 계열
#   row_in_sheet                     원본 시트 행 번호 (전사 대조용)
#   compound / cation / mp_entry_id  원본 그대로. n/a_own_DFT = 저자 자체 DFT (Li3AsS4/Na3AsS4/Li3YCl6/Li2ZrCl6)
#   reaction_0V / dE_0V_eV_per_alkali    Li(Na) 금속 접촉(0 V) 환원분해. eV per alkali. 음수 클수록 음극에서 잘 분해
#   reaction_4p5V / dE_4p5V_eV_per_alkali  4.5 V 탈리튬 산화분해. eV per alkali. (본문 미논의)
#   cathodic_limit_V / anodic_limit_V      ESW 하한/상한, V vs Li/Li+ (Na 시트는 vs Na/Na+)
#   hydrolysis_reaction .. dG_hyd_*        CSV 1 과 동일 정의 (아래 주의 동일)
#   dG_hyd_eV_per_H2O_as_published   ★ 논문 값 그대로
#   dG_hyd_eV_per_H2O_preset_OURS    ★★ 우리 유도값 (chloride 만 -0.35714*n_HCl) - 논문 값 아님
#
source_sheet,alkali,anion,row_in_sheet,compound,cation,mp_entry_id,reaction_0V,dE_0V_eV_per_alkali,reaction_4p5V,dE_4p5V_eV_per_alkali,cathodic_limit_V,anodic_limit_V,hydrolysis_reaction,gas_product,n_gas_per_H2O,h2o_coeff_check,dG_hyd_eV_per_H2O_as_published,preset_correction_eV_OURS,dG_hyd_eV_per_H2O_preset_OURS
Li-M-S,Li,S,1,KLiS,K+,mp-8430,KLiS + Li -> Li2S + K,-0.344,KLiS -> KS + Li,-2.699,0.344,1.801,KLiS + H2O -> 0.5 H2S + 0.5 K2S + LiHO,H2S,0.5,1.0,0.303,0.0,0.303
Li-M-S,Li,S,2,NaLiS,Na+,mp-8452,NaLiS + Li -> Li2S + Na,-0.38,NaLiS -> NaS + Li,-2.536,0.38,1.964,NaLiS + H2O -> 0.5 H2S + 0.5 Na2S + LiHO,H2S,0.5,1.0,0.244,0.0,0.244
Li-M-S,Li,S,3,LiTbS2,Tb3+,mp-1222297,0.3333 LiTbS2 + Li -> 0.6667 Li2S + 0.3333 Tb,-0.219,LiTbS2 -> TbS2 + Li,-2.323,0.663,2.177,LiTbS2 + H2O -> H2S + 0.5 Tb2SO2 + 0.5 Li2S,H2S,1.0,1.0,-0.298,0.0,-0.298
Li-M-S,Li,S,4,LiPrS2,Pr3+,mp-675419,0.3333 LiPrS2 + Li -> 0.6667 Li2S + 0.3333 Pr,-0.338,LiPrS2 -> PrS2 + Li,-2.71,0.901,1.913,LiPrS2 + H2O -> H2S + 0.5 Li2S + 0.5 Pr2SO2,H2S,1.0,1.0,-0.264,0.0,-0.264
Li-M-S,Li,S,5,LiNdS2,Nd3+,mp-36791,0.3333 LiNdS2 + Li -> 0.6667 Li2S + 0.3333 Nd,-0.315,LiNdS2 -> NdS2 + Li,-2.645,0.904,1.92,LiNdS2 + H2O -> H2S + 0.5 Li2S + 0.5 Nd2SO2,H2S,1.0,1.0,-0.273,0.0,-0.273
Li-M-S,Li,S,6,LiSmS2,Sm3+,mp-1222296,0.3333 LiSmS2 + Li -> 0.6667 Li2S + 0.3333 Sm,-0.269,LiSmS2 -> SmS2 + Li,-2.499,0.844,2.001,LiSmS2 + H2O -> H2S + 0.5 Sm2SO2 + 0.5 Li2S,H2S,1.0,1.0,-0.261,0.0,-0.261
Li-M-S,Li,S,7,LiGdS2,Gd3+,mp-1222370,0.3333 LiGdS2 + Li -> 0.6667 Li2S + 0.3333 Gd,-0.23,LiGdS2 -> GdS2 + Li,-2.382,0.802,2.118,LiGdS2 + H2O -> H2S + 0.5 Gd2SO2 + 0.5 Li2S,H2S,1.0,1.0,-0.213,0.0,-0.213
Li-M-S,Li,S,8,LiDyS2,Dy3+,mp-15789,0.3333 LiDyS2 + Li -> 0.6667 Li2S + 0.3333 Dy,-0.209,LiDyS2 -> DyS2 + Li,-2.091,0.598,2.376,LiDyS2 + H2O -> H2S + 0.5 Dy2SO2 + 0.5 Li2S,H2S,1.0,1.0,-0.295,0.0,-0.295
Li-M-S,Li,S,9,LiYS2,Y3+,mp-15788,0.3333 LiYS2 + Li -> 0.6667 Li2S + 0.3333 Y,-0.206,LiYS2 -> 0.5 Y2S3 + 0.5 S + Li,-2.025,0.598,2.367,LiYS2 + H2O -> H2S + 0.5 Y2SO2 + 0.5 Li2S,H2S,1.0,1.0,-0.192,0.0,-0.192
Li-M-S,Li,S,10,LiHoS2,Ho3+,mp-15790,0.3333 LiHoS2 + Li -> 0.6667 Li2S + 0.3333 Ho,-0.205,LiHoS2 -> HoS2 + Li,-2.051,0.548,2.388,LiHoS2 + H2O -> H2S + 0.5 Ho2SO2 + 0.5 Li2S,H2S,1.0,1.0,-0.309,0.0,-0.309
Li-M-S,Li,S,11,LiErS2,Er3+,mp-15791,0.3333 LiErS2 + Li -> 0.6667 Li2S + 0.3333 Er,-0.197,LiErS2 -> ErS2 + Li,-2.158,0.484,2.342,LiErS2 + H2O -> H2S + 0.5 Er2SO2 + 0.5 Li2S,H2S,1.0,1.0,-0.309,0.0,-0.309
Li-M-S,Li,S,12,LiScS2,Sc3+,mp-1001786,0.3333 LiScS2 + Li -> 0.6667 Li2S + 0.3333 Sc,-0.31,LiScS2 -> 0.5 Sc2S3 + 0.5 S + Li,-1.932,0.643,2.472,0.6667 LiScS2 + H2O -> H2S + 0.3333 Li2S + 0.3333 Sc2O3,H2S,1.0,1.0,-0.187,0.0,-0.187
Li-M-S,Li,S,13,LiTiS2,Ti3+,mp-9615,0.3333 LiTiS2 + Li -> 0.6667 Li2S + 0.3333 Ti,-0.774,LiTiS2 -> TiS2 + Li,-2.625,1.251,1.646,0.6667 LiTiS2 + H2O -> H2S + 0.3333 Li2TiO3 + 0.3333 TiS,H2S,1.0,1.0,-0.107,0.0,-0.107
Li-M-S,Li,S,14,Li4TiS4,Ti4+,mp-766540,0.25 Li4TiS4 + Li -> Li2S + 0.25 Ti,-1.015,0.25 Li4TiS4 -> 0.25 TiS3 + 0.25 S + Li,-2.34,1.871,2.047,0.5 Li4TiS4 + H2O -> H2S + 0.1667 Li8TiS6 + 0.3333 Li2TiO3,H2S,1.0,1.0,-0.273,0.0,-0.273
Li-M-S,Li,S,15,Li8TiS6,Ti4+,mp-753546,0.25 Li8TiS6 + Li -> 1.5 Li2S + 0.25 Ti,-1.009,0.125 Li8TiS6 -> 0.125 TiS3 + 0.375 S + Li,-2.284,1.783,2.063,0.3333 Li8TiS6 + H2O -> H2S + 0.3333 Li2TiO3 + Li2S,H2S,1.0,1.0,-0.262,0.0,-0.262
Li-M-S,Li,S,16,Li6MnS4,Mn2+,mp-756490,0.5 Li6MnS4 + Li -> 2 Li2S + 0.5 Mn,-1.436,0.1667 Li6MnS4 -> 0.1667 MnS2 + 0.3333 S + Li,-2.408,1.436,1.741,Li6MnS4 + H2O -> H2S + 3 Li2S + MnO,H2S,1.0,1.0,0.205,0.0,0.205
