# AE Bader net charge (e) — QE pp.x plot_num=17 (all-electron **valence** density) + PAW kjpaw_psl,
#   Henkelman bader -p all_atom.  net = ZVAL - N_bader.
# ⚠ plot_num=17 은 frozen core 를 복원하지 않는다 — Z 가 아니라 ZVAL 로 빼야 한다
#   (2026-07-30 이 규약을 어겨 Cl +9.086 같은 값이 나온 사고가 있었다).
# ⚠ **이 세 파일끼리만 비교 가능**하다. 다른 밀도 소스(USPP 가전자 plot_num=0, NC ONCV)로 낸
#   Bader 와 같은 표에 놓지 말 것 — 도핑 효과가 아니라 방법 차이를 보게 된다.
# system: modelc = LPSCl1.6 (Li5.4PS4.4Cl1.6)  (무도핑 기준선)
# source: db/properties/electronic.json bader_full_matrix (element-avg)
# ⚠ modelc 는 **원소평균**이다(자리분해 미실시). LPSOCl/b2o3 의 자리분해 값과 층위가 다르다.
species_or_site,bader_net_e,note
Li,+0.883,Li+ carrier 기준선
P,+4.340,호스트 P
S_avg,-1.736,황 부격자
Cl,-0.918,할라이드
