# energy-resolved COHP curves — LPSOCl Li27P5S21OCl8 62at
# source /data/work/runs/lpsocl_dft/lobster_ext/COHPCAR.lobster  ·  Gaussian sigma 0.1 eV  ·  window [-12.0, 6.0] eV, stride 1
# sign: -pCOHP > 0 = BONDING, < 0 = ANTIBONDING;  E = E - E_F (E_F at 0)
# mean_ = per-bond average (integral to E_F == -ICOHP/bond); sum_ = family convention (plot_lobster_4panel.py)
# {"P-S": {"N": 19, "ICOHP_per_bond_eV": -6.0401, "ICOHP_in_window_eV": -4.8604, "window_coverage": 0.8047, "integral_to_EF_eV": 4.8604, "dmax_A": 2.6, "exclude": ["Li"]}, "P-O": {"N": 1, "ICOHP_per_bond_eV": -8.4127, "ICOHP_in_window_eV": -2.5355, "window_coverage": 0.3014, "integral_to_EF_eV": 2.5355, "dmax_A": null, "exclude": []}, "Li-S": {"N": 106, "ICOHP_per_bond_eV": -1.7672, "ICOHP_in_window_eV": -1.5781, "window_coverage": 0.893, "integral_to_EF_eV": 1.5781, "dmax_A": null, "exclude": []}, "Li-Cl": {"N": 42, "ICOHP_per_bond_eV": -2.1067, "ICOHP_in_window_eV": -0.9479, "window_coverage": 0.45, "integral_to_EF_eV": 0.9479, "dmax_A": null, "exclude": []}, "Li-O": {"N": 5, "ICOHP_per_bond_eV": -1.1545, "ICOHP_in_window_eV": -0.5446, "window_coverage": 0.4717, "integral_to_EF_eV": 0.5446, "dmax_A": null, "exclude": []}, "S-S": {"N": 54, "ICOHP_per_bond_eV": -0.1112, "ICOHP_in_window_eV": -0.1414, "window_coverage": 1.271, "integral_to_EF_eV": 0.1414, "dmax_A": null, "exclude": ["P", "Li", "Cl"]}}
# ⚠ window_coverage: 이 창 안에 담긴 ICOHP 비율. 1 보다 작으면 창 아래(deep) 결합 기여가 곡선에 없다 — 곡선 적분으로 ICOHP 를 재현할 수 없다.
E_minus_EF_eV,mean_pCOHP_P-S,mean_pCOHP_P-O,mean_pCOHP_Li-S,mean_pCOHP_Li-Cl,mean_pCOHP_Li-O,mean_pCOHP_S-S
-2.3050,0.0029,-0.0728,0.3076,-0.0456,-0.0168,-0.0309
-2.2549,0.0014,-0.0553,0.3297,-0.0465,-0.0185,-0.0373
-2.2048,-0.0006,-0.0376,0.3394,-0.0468,-0.0193,-0.0430
-2.1547,-0.0030,-0.0248,0.3400,-0.0464,-0.0195,-0.0489
-2.1046,-0.0052,-0.0203,0.3356,-0.0458,-0.0194,-0.0553
-2.0545,-0.0068,-0.0223,0.3297,-0.0452,-0.0188,-0.0615
-2.0044,-0.0077,-0.0262,0.3236,-0.0445,-0.0177,-0.0662
-1.9543,-0.0077,-0.0292,0.3148,-0.0431,-0.0162,-0.0686
-1.9041,-0.0073,-0.0313,0.2985,-0.0407,-0.0142,-0.0689
-1.8540,-0.0067,-0.0339,0.2723,-0.0373,-0.0121,-0.0682
-1.8039,-0.0061,-0.0375,0.2375,-0.0331,-0.0102,-0.0674
-1.7538,-0.0055,-0.0404,0.1973,-0.0280,-0.0087,-0.0660
-1.7037,-0.0048,-0.0398,0.1555,-0.0224,-0.0075,-0.0627
-1.6536,-0.0041,-0.0345,0.1165,-0.0166,-0.0062,-0.0572
-1.6035,-0.0033,-0.0259,0.0839,-0.0117,-0.0049,-0.0497
-1.5534,-0.0026,-0.0170,0.0587,-0.0079,-0.0034,-0.0403
-1.5033,-0.0019,-0.0098,0.0396,-0.0051,-0.0022,-0.0299
-1.4532,-0.0013,-0.0050,0.0254,-0.0031,-0.0012,-0.0200
-1.4030,-0.0007,-0.0023,0.0152,-0.0018,-0.0006,-0.0120
-1.3529,-0.0004,-0.0010,0.0083,-0.0009,-0.0002,-0.0065
-1.3028,-0.0002,-0.0004,0.0040,-0.0004,-0.0001,-0.0031
-1.2527,-0.0001,-0.0001,0.0017,-0.0002,-0.0000,-0.0013
-1.2026,-0.0000,-0.0000,0.0006,-0.0001,-0.0000,-0.0004
-1.1525,-0.0000,-0.0000,0.0002,-0.0000,-0.0000,-0.0001
-1.1024,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,-0.0000
-1.0523,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,-0.0000
-1.0022,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,-0.0000
-0.9521,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000
-0.9020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-0.8518,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-0.8017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-0.7516,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-0.7015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-0.6514,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-0.6013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-0.5512,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-0.5011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-0.4510,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-0.4009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-0.3508,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-0.3006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-0.2505,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-0.2004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-0.1503,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-0.1002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-0.0501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1503,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2505,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3508,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,0.0000
0.4009,-0.0001,-0.0000,-0.0000,-0.0000,-0.0000,0.0000
0.4510,-0.0007,-0.0001,-0.0000,-0.0000,-0.0000,0.0000
0.5011,-0.0034,-0.0003,-0.0000,-0.0001,-0.0000,0.0001
0.5512,-0.0133,-0.0010,-0.0002,-0.0002,-0.0002,0.0004
0.6013,-0.0409,-0.0032,-0.0005,-0.0007,-0.0005,0.0013
0.6514,-0.0983,-0.0076,-0.0012,-0.0017,-0.0013,0.0031
0.7015,-0.1845,-0.0142,-0.0023,-0.0033,-0.0024,0.0058
0.7516,-0.2706,-0.0209,-0.0034,-0.0048,-0.0036,0.0085
0.8017,-0.3107,-0.0241,-0.0039,-0.0055,-0.0041,0.0098
0.8518,-0.2810,-0.0223,-0.0035,-0.0050,-0.0037,0.0089
0.9020,-0.2082,-0.0183,-0.0025,-0.0037,-0.0028,0.0065
0.9521,-0.1518,-0.0188,-0.0016,-0.0030,-0.0020,0.0045
1.0022,-0.1654,-0.0303,-0.0014,-0.0037,-0.0022,0.0045
1.0523,-0.2672,-0.0542,-0.0019,-0.0063,-0.0033,0.0070
1.1024,-0.4245,-0.0833,-0.0029,-0.0102,-0.0050,0.0110
1.1525,-0.5585,-0.1029,-0.0039,-0.0136,-0.0062,0.0144
1.2026,-0.5938,-0.1025,-0.0041,-0.0144,-0.0064,0.0153
1.2527,-0.5284,-0.0869,-0.0034,-0.0125,-0.0058,0.0133
1.3028,-0.4503,-0.0743,-0.0020,-0.0098,-0.0059,0.0106
1.3529,-0.4712,-0.0831,-0.0006,-0.0088,-0.0077,0.0099
1.4030,-0.6368,-0.1212,0.0005,-0.0106,-0.0117,0.0123
1.4532,-0.8921,-0.1871,0.0011,-0.0147,-0.0174,0.0165
1.5033,-1.1208,-0.2751,0.0012,-0.0192,-0.0238,0.0202
1.5534,-1.2274,-0.3694,0.0010,-0.0226,-0.0298,0.0214
1.6035,-1.2060,-0.4387,0.0006,-0.0239,-0.0339,0.0200
1.6536,-1.1489,-0.4524,0.0001,-0.0234,-0.0353,0.0182
1.7037,-1.1780,-0.4136,-0.0005,-0.0225,-0.0344,0.0183
1.7538,-1.3365,-0.3630,-0.0009,-0.0226,-0.0325,0.0208
1.8039,-1.5367,-0.3389,-0.0012,-0.0236,-0.0296,0.0241
1.8540,-1.6336,-0.3422,-0.0013,-0.0243,-0.0249,0.0255
1.9041,-1.5577,-0.3460,-0.0012,-0.0237,-0.0192,0.0240
1.9543,-1.3652,-0.3284,-0.0006,-0.0218,-0.0152,0.0205
2.0044,-1.1683,-0.2901,0.0003,-0.0197,-0.0147,0.0169
2.0545,-1.0377,-0.2458,0.0016,-0.0180,-0.0174,0.0143
2.1046,-0.9718,-0.2109,0.0028,-0.0169,-0.0213,0.0128
2.1547,-0.9325,-0.1969,0.0036,-0.0162,-0.0245,0.0116
2.2048,-0.8982,-0.2184,0.0038,-0.0165,-0.0275,0.0097
2.2549,-0.8992,-0.3015,0.0033,-0.0194,-0.0341,0.0068
2.3050,-1.0073,-0.4774,0.0022,-0.0272,-0.0497,0.0029
2.3551,-1.2660,-0.7491,0.0007,-0.0413,-0.0767,-0.0015
2.4052,-1.6199,-1.0629,-0.0011,-0.0609,-0.1104,-0.0058
2.4553,-1.9482,-1.3292,-0.0030,-0.0842,-0.1403,-0.0096
2.5055,-2.1844,-1.4841,-0.0047,-0.1114,-0.1576,-0.0125
2.5556,-2.3664,-1.5324,-0.0061,-0.1441,-0.1607,-0.0149
2.6057,-2.5454,-1.5298,-0.0071,-0.1800,-0.1542,-0.0169
2.6558,-2.6841,-1.5335,-0.0078,-0.2099,-0.1444,-0.0185
2.7059,-2.6853,-1.5700,-0.0085,-0.2236,-0.1350,-0.0194
2.7560,-2.5079,-1.6310,-0.0098,-0.2195,-0.1258,-0.0198
2.8061,-2.2213,-1.6803,-0.0120,-0.2060,-0.1148,-0.0202
2.8562,-1.9447,-1.6724,-0.0153,-0.1927,-0.1001,-0.0215
2.9063,-1.7623,-1.5910,-0.0187,-0.1830,-0.0825,-0.0243
2.9564,-1.6966,-1.4731,-0.0209,-0.1743,-0.0654,-0.0285
3.0065,-1.7286,-1.3923,-0.0206,-0.1642,-0.0534,-0.0332
3.0566,-1.8220,-1.4317,-0.0183,-0.1545,-0.0493,-0.0375
3.1067,-1.9394,-1.6823,-0.0162,-0.1519,-0.0562,-0.0413
3.1569,-2.0464,-2.2346,-0.0168,-0.1622,-0.0767,-0.0447
3.2070,-2.1164,-3.1427,-0.0207,-0.1853,-0.1108,-0.0479
3.2571,-2.1511,-4.3647,-0.0263,-0.2144,-0.1510,-0.0508
3.3072,-2.1845,-5.7091,-0.0312,-0.2405,-0.1836,-0.0537
3.3573,-2.2426,-6.8447,-0.0340,-0.2562,-0.1957,-0.0564
3.4074,-2.3077,-7.4367,-0.0345,-0.2584,-0.1857,-0.0583
3.4575,-2.3349,-7.3495,-0.0337,-0.2485,-0.1648,-0.0586
3.5076,-2.2868,-6.7461,-0.0324,-0.2314,-0.1490,-0.0572
3.5577,-2.1382,-5.9743,-0.0319,-0.2128,-0.1489,-0.0536
3.6078,-1.8786,-5.3162,-0.0333,-0.1978,-0.1622,-0.0475
3.6580,-1.5376,-4.8102,-0.0376,-0.1935,-0.1745,-0.0395
3.7081,-1.1958,-4.3126,-0.0457,-0.2106,-0.1688,-0.0315
