layer,state,count,status
Run slots,Planned,273,design
Run slots,Completed,270,verified
Run slots,As2S3 stopped,3,verified
Species,Completed,90,verified
Species,Historical snapshot,47,superseded
Species,Approved current leaderboard,0,unavailable
