dopant,blocking_x0.0625,blocking_x0.25,delta,ratio
HfO2,0.1087,0.5625,0.4538,5.17
La2O3,0.2444,0.6522,0.4078,2.67
TiF4,0.2474,0.86,0.6126,3.48
Sc2O3,0.2667,0.6944,0.4277,2.6
Gd2O3,0.2667,0.6944,0.4277,2.6
Cr2O3,0.2667,0.75,0.4833,2.81
Y2O3,0.2874,0.7101,0.4227,2.47
Ta2O5,0.3333,0.8958,0.5625,2.69
Nb2O5,0.3542,0.8958,0.5416,2.53
V2O5,0.375,0.9271,0.5521,2.47
