frame,t_ps,P_S,S_Li,P_Li,Li_penetrated
0.000,0.000,3.900,3.205,0.700,54.000
1.000,0.200,3.900,3.159,0.800,54.000
2.000,0.400,3.900,3.227,0.400,55.000
3.000,0.600,3.900,3.273,0.900,55.000
4.000,0.800,3.900,3.182,0.600,54.000
5.000,1.000,3.900,3.182,0.600,53.000
6.000,1.200,3.900,3.227,0.300,53.000
7.000,1.400,3.900,3.205,0.400,53.000
8.000,1.600,3.900,3.205,0.500,54.000
9.000,1.800,3.900,3.182,0.700,53.000
10.000,2.000,3.900,3.068,0.200,53.000
11.000,2.200,3.900,3.159,0.500,53.000
12.000,2.400,3.900,3.205,0.500,53.000
13.000,2.600,3.900,3.205,0.400,53.000
14.000,2.800,3.900,3.068,0.100,53.000
15.000,3.000,3.900,3.159,0.600,53.000
16.000,3.200,3.900,3.205,0.600,54.000
17.000,3.400,3.900,3.227,0.300,53.000
18.000,3.600,3.900,3.159,0.500,53.000
19.000,3.800,3.900,3.432,0.400,54.000
20.000,4.000,3.900,3.227,0.700,54.000
21.000,4.200,3.800,3.273,0.800,55.000
22.000,4.400,3.800,3.205,0.700,55.000
23.000,4.600,3.800,3.318,0.500,55.000
24.000,4.800,3.700,3.386,0.900,55.000
25.000,5.000,3.700,3.295,0.700,56.000
26.000,5.200,3.700,3.273,0.900,56.000
27.000,5.400,3.600,3.364,1.000,57.000
28.000,5.600,3.600,3.477,1.500,56.000
29.000,5.800,3.600,3.455,1.200,57.000
30.000,6.000,3.600,3.432,1.300,57.000
31.000,6.200,3.600,3.455,1.200,57.000
32.000,6.400,3.600,3.273,1.000,56.000
33.000,6.600,3.600,3.455,0.800,54.000
34.000,6.800,3.600,3.386,1.000,55.000
35.000,7.000,3.600,3.432,1.100,54.000
36.000,7.200,3.600,3.295,1.000,54.000
37.000,7.400,3.600,3.364,0.900,55.000
38.000,7.600,3.600,3.341,0.900,55.000
39.000,7.800,3.600,3.432,1.300,55.000
40.000,8.000,3.600,3.432,1.300,54.000
41.000,8.200,3.600,3.409,1.200,55.000
42.000,8.400,3.600,3.341,1.200,55.000
43.000,8.600,3.600,3.341,1.300,55.000
44.000,8.800,3.600,3.341,1.200,55.000
