"# lpsocl element PDOS normalized. _perTOT = /total atoms (62); _perEL = /count {'Li': 27, 'P': 5, 'S': 21, 'O': 1, 'Cl': 8}"
E_minus_VBM,Li_perTOT,P_perTOT,S_perTOT,Cl_perTOT,O_perTOT,Li_perEL,P_perEL,S_perEL,Cl_perEL,O_perEL
-5.6800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-5.6600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-5.6400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-5.6200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00006
-5.6000,0.00000,0.00000,0.00001,0.00000,0.00001,0.00001,0.00006,0.00002,0.00000,0.00063
-5.5800,0.00001,0.00002,0.00003,0.00000,0.00004,0.00003,0.00026,0.00008,0.00000,0.00276
-5.5600,0.00004,0.00008,0.00011,0.00000,0.00016,0.00009,0.00097,0.00031,0.00001,0.01012
-5.5400,0.00012,0.00024,0.00033,0.00000,0.00050,0.00029,0.00301,0.00098,0.00004,0.03120
-5.5200,0.00033,0.00065,0.00090,0.00001,0.00134,0.00077,0.00812,0.00265,0.00010,0.08328
-5.5000,0.00078,0.00154,0.00212,0.00003,0.00312,0.00179,0.01910,0.00625,0.00023,0.19371
-5.4800,0.00159,0.00318,0.00439,0.00006,0.00636,0.00365,0.03944,0.01296,0.00049,0.39436
-5.4600,0.00287,0.00581,0.00805,0.00012,0.01141,0.00658,0.07206,0.02378,0.00089,0.70767
-5.4400,0.00460,0.00949,0.01322,0.00019,0.01822,0.01055,0.11766,0.03903,0.00147,1.12937
-5.4200,0.00664,0.01402,0.01967,0.00028,0.02615,0.01525,0.17390,0.05808,0.00219,1.62158
-5.4000,0.00878,0.01905,0.02695,0.00039,0.03428,0.02017,0.23628,0.07956,0.00300,2.12551
-5.3800,0.01080,0.02420,0.03455,0.00050,0.04172,0.02480,0.30007,0.10199,0.00384,2.58672
-5.3600,0.01255,0.02914,0.04201,0.00060,0.04794,0.02881,0.36136,0.12404,0.00467,2.97230
-5.3400,0.01392,0.03355,0.04883,0.00070,0.05267,0.03196,0.41608,0.14418,0.00544,3.26568
-5.3200,0.01478,0.03694,0.05420,0.00078,0.05560,0.03394,0.45805,0.16003,0.00607,3.44718
-5.3000,0.01496,0.03867,0.05712,0.00083,0.05625,0.03435,0.47949,0.16863,0.00646,3.48739
-5.2800,0.01436,0.03833,0.05692,0.00084,0.05434,0.03298,0.47529,0.16804,0.00651,3.36885
-5.2600,0.01314,0.03623,0.05407,0.00081,0.05040,0.03017,0.44923,0.15963,0.00628,3.12474
-5.2400,0.01177,0.03364,0.05051,0.00077,0.04611,0.02702,0.41708,0.14913,0.00598,2.85877
-5.2200,0.01090,0.03243,0.04914,0.00077,0.04377,0.02503,0.40207,0.14509,0.00598,2.71382
-5.2000,0.01107,0.03414,0.05236,0.00085,0.04507,0.02541,0.42328,0.15458,0.00659,2.79451
-5.1800,0.01234,0.03899,0.06054,0.00102,0.04990,0.02833,0.48347,0.17874,0.00792,3.09393
-5.1600,0.01424,0.04554,0.07148,0.00125,0.05613,0.03270,0.56470,0.21103,0.00970,3.48008
-5.1400,0.01593,0.05124,0.08117,0.00147,0.06063,0.03659,0.63532,0.23964,0.01141,3.75883
-5.1200,0.01664,0.05365,0.08574,0.00160,0.06079,0.03822,0.66521,0.25314,0.01244,3.76918
-5.1000,0.01604,0.05168,0.08343,0.00160,0.05570,0.03684,0.64084,0.24632,0.01239,3.45359
-5.0800,0.01447,0.04626,0.07579,0.00146,0.04633,0.03322,0.57362,0.22375,0.01129,2.87265
-5.0600,0.01284,0.04015,0.06747,0.00125,0.03503,0.02949,0.49781,0.19920,0.00967,2.17162
-5.0400,0.01234,0.03696,0.06462,0.00109,0.02461,0.02833,0.45832,0.19078,0.00842,1.52567
-5.0200,0.01386,0.03975,0.07227,0.00109,0.01753,0.03183,0.49285,0.21338,0.00846,1.08679
-5.0000,0.01764,0.04974,0.09219,0.00134,0.01532,0.04050,0.61672,0.27219,0.01041,0.94955
-4.9800,0.02312,0.06591,0.12212,0.00186,0.01833,0.05309,0.81729,0.36054,0.01439,1.13644
-4.9600,0.02917,0.08532,0.15658,0.00256,0.02566,0.06698,1.05801,0.46227,0.01985,1.59098
-4.9400,0.03446,0.10389,0.18854,0.00331,0.03509,0.07914,1.28820,0.55663,0.02561,2.17539
-4.9200,0.03787,0.11743,0.21132,0.00390,0.04342,0.08697,1.45609,0.62391,0.03019,2.69192
-4.9000,0.03878,0.12289,0.22044,0.00417,0.04752,0.08905,1.52384,0.65081,0.03230,2.94626
-4.8800,0.03722,0.11942,0.21495,0.00406,0.04573,0.08546,1.48083,0.63460,0.03145,2.83521
-4.8600,0.03381,0.10866,0.19768,0.00364,0.03868,0.07765,1.34735,0.58362,0.02817,2.39821
-4.8400,0.02949,0.09393,0.17392,0.00306,0.02886,0.06773,1.16478,0.51349,0.02373,1.78927
