dopant,group,de_relative_eV_UMA,transport_norm_BVSE_derived,oxidation_onset_V_MP_grand_potential,blocking_fraction_x005_nominal,retained_through_G4,pareto_2d_conditional_within_retained_11,first_stop_posthoc_G1_G4,dft_deep
Ag2O,TM,-0.474,0.519,2.14,0.45454545454545453,1,0,PASS,0
CaF2,alk.earth,-0.586,0.587,2.14,0.5454545454545454,1,1,PASS,0
CaO,alk.earth,-0.565,1.0,2.14,0.5454545454545454,1,1,PASS,0
Li2O,alkali,-0.503,0.6331,2.14,0.125,1,0,PASS,0
LiF,alkali,-0.519,0.6842,2.14,0.25,1,0,PASS,0
MgF2,alk.earth,-0.546,0.5233,2.14,0.5,1,0,PASS,0
MgO,alk.earth,-0.543,0.8734,2.14,0.47619047619047616,1,0,PASS,0
SiO2,main-group,-0.59,0.5111,2.14,0.48,1,1,PASS,0
SnO2,main-group,-0.5,0.845,2.14,0.52,1,0,PASS,0
WO3,TM,-0.86,0.5075,2.14,0.5882352941176471,1,1,PASS,0
ZnO,TM,-0.48,0.4674,2.14,0.42857142857142855,1,0,PASS,0
Al2O3,main-group,-0.799,0.05,2.14,0.7222222222222222,0,0,G4,0
AlF3,main-group,-0.641,0.05,2.14,0.8095238095238095,0,0,G4,0
B2O3,main-group,-0.769,0.1,2.317,0.5882352941176471,0,0,G4,1
BaO,alk.earth,-0.564,0.05,2.071,0.6363636363636364,0,0,G3,0
CoO,TM,-0.571,0.05,1.873,0.6363636363636364,0,0,G2,0
Cr2O3,TM,-0.912,0.05,2.356,0.8888888888888888,0,0,G4,0
CrO3,TM,-0.761,0.05,2.14,0.8888888888888888,0,0,G4,0
Cu2O,TM,-0.537,0.05,1.864,0.6363636363636364,0,0,G3,0
Fe2O3,TM,-0.801,0.05,1.808,0.9444444444444444,0,0,G2,0
Ga2O3,main-group,-0.593,0.05,2.356,0.6111111111111112,0,0,G4,0
Gd2O3,lanthanide,-1.269,0.05,2.118,0.6666666666666666,0,0,G3,0
GeO2,main-group,-0.523,0.1827,2.14,0.56,0,0,G4,0
HfO2,TM,-0.81,0.4372,1.996,0.45,0,0,G3,0
In2O3,main-group,-0.665,0.05,2.356,0.8333333333333334,0,0,G4,0
La2O3,lanthanide,-0.898,0.5473,1.893,0.4444444444444444,0,0,G3,0
LaF3,lanthanide,-0.727,0.5957,1.893,0.5714285714285714,0,0,G3,0
MnO,TM,-0.651,0.3844,1.794,0.5454545454545454,0,0,G2,0
MoO3,TM,-0.826,0.2863,2.14,0.5882352941176471,0,0,G4,0
Na2O,alkali,-0.472,0.46,2.06,0.45454545454545453,0,0,G3,0
Nb2O5,TM,-0.987,0.05,2.061,0.75,0,0,G3,0
Nd2O3,lanthanide,-0.915,0.05,1.92,0.8333333333333334,0,0,G3,1
NdF3,lanthanide,-0.703,0.05,1.92,0.7142857142857143,0,0,G3,0
NiO,TM,-0.534,0.8765,1.838,0.5454545454545454,0,0,G2,0
Sb2O5,main-group,-0.721,0.05,2.14,0.8333333333333334,0,0,G4,0
Sc2O3,TM,-0.945,0.05,2.356,0.7777777777777778,0,0,G4,0
ScF3,TM,-0.725,0.05,2.14,0.8571428571428571,0,0,G4,0
Sm2O3,lanthanide,-0.897,0.05,1.989,0.8333333333333334,0,0,G3,0
SrO,alk.earth,-0.555,0.5559,2.06,0.18181818181818182,0,0,G3,0
Ta2O5,TM,-1.041,0.05,2.027,0.75,0,0,G3,0
TiF4,TM,-0.705,0.05,2.024,0.92,0,0,G3,0
TiO2,TM,-0.632,0.4748,2.024,0.56,0,0,G3,0
V2O5,TM,-0.927,0.05,2.042,0.75,0,0,G3,0
Y2O3,TM,-0.938,0.05,2.282,0.8333333333333334,0,0,G4,0
YF3,TM,-0.713,0.05,2.14,0.6923076923076923,0,0,G4,0
ZrF4,TM,-0.758,0.05,1.878,0.85,0,0,G3,0
ZrO2,TM,-0.719,0.9132,1.878,0.4,0,0,G3,0
