xi,Li3N_guide_eV,LiC6_DFT_eV,xi_DFTpoint,DFTpoint_eV,kT300_eV
0.00000,0.000000,0.000000,0.00000,0.00000,0.02585
0.00250,-0.000000,0.000070,0.47500,0.11820,0.02585
0.00500,-0.000023,0.000270,1.00000,0.00000,0.02585
0.00750,-0.000046,0.000600,,,0.02585
0.01000,-0.000081,0.001050,,,0.02585
0.01250,-0.000127,0.001640,,,0.02585
0.01500,-0.000174,0.002340,,,0.02585
0.01750,-0.000232,0.003160,,,0.02585
0.02000,-0.000301,0.004100,,,0.02585
0.02250,-0.000371,0.005150,,,0.02585
0.02500,-0.000440,0.006320,,,0.02585
0.02750,-0.000521,0.007590,,,0.02585
0.03000,-0.000603,0.008970,,,0.02585
0.03250,-0.000684,0.010450,,,0.02585
0.03500,-0.000776,0.012030,,,0.02585
0.03750,-0.000857,0.013710,,,0.02585
0.04000,-0.000950,0.015480,,,0.02585
0.04250,-0.001043,0.017350,,,0.02585
0.04500,-0.001124,0.019300,,,0.02585
0.04750,-0.001217,0.021350,,,0.02585
0.05000,-0.001298,0.023470,,,0.02585
0.05250,-0.001379,0.025680,,,0.02585
0.05500,-0.001448,0.027970,,,0.02585
0.05750,-0.001518,0.030330,,,0.02585
0.06000,-0.001587,0.032760,,,0.02585
0.06250,-0.001645,0.035270,,,0.02585
0.06500,-0.001703,0.037840,,,0.02585
0.06750,-0.001750,0.040480,,,0.02585
0.07000,-0.001784,0.043180,,,0.02585
0.07250,-0.001819,0.045940,,,0.02585
0.07500,-0.001842,0.048760,,,0.02585
0.07750,-0.001842,0.051630,,,0.02585
0.08000,-0.001842,0.054560,,,0.02585
0.08250,-0.001831,0.057530,,,0.02585
0.08500,-0.001808,0.060550,,,0.02585
0.08750,-0.001773,0.063610,,,0.02585
0.09000,-0.001715,0.066710,,,0.02585
0.09250,-0.001645,0.069850,,,0.02585
0.09500,-0.001564,0.073030,,,0.02585
0.09750,-0.001472,0.076240,,,0.02585
0.10000,-0.001356,0.079480,,,0.02585
0.10250,-0.001217,0.082750,,,0.02585
0.10500,-0.001066,0.086040,,,0.02585
0.10750,-0.000904,0.089350,,,0.02585
0.11000,-0.000707,0.092680,,,0.02585
0.11250,-0.000498,0.096030,,,0.02585
0.11500,-0.000267,0.099390,,,0.02585
0.11750,-0.000012,0.102770,,,0.02585
0.12000,0.000255,0.106150,,,0.02585
0.12250,0.000556,0.109540,,,0.02585
0.12500,0.000881,0.112930,,,0.02585
0.12750,0.001228,0.116320,,,0.02585
0.13000,0.001599,0.119710,,,0.02585
0.13250,0.001993,0.123090,,,0.02585
0.13500,0.002422,0.126470,,,0.02585
0.13750,0.002874,0.129830,,,0.02585
0.14000,0.003360,0.133180,,,0.02585
0.14250,0.003870,0.136520,,,0.02585
0.14500,0.004403,0.139830,,,0.02585
0.14750,0.004971,0.143130,,,0.02585
0.15000,0.005573,0.146400,,,0.02585
0.15250,0.006211,0.149650,,,0.02585
0.15500,0.006871,0.152860,,,0.02585
0.15750,0.007566,0.156050,,,0.02585
0.16000,0.008308,0.159190,,,0.02585
0.16250,0.009073,0.162310,,,0.02585
0.16500,0.009872,0.165380,,,0.02585
0.16750,0.010706,0.168400,,,0.02585
0.17000,0.011587,0.171390,,,0.02585
0.17250,0.012502,0.174330,,,0.02585
0.17500,0.013441,0.177220,,,0.02585
0.17750,0.014414,0.180070,,,0.02585
0.18000,0.015422,0.182880,,,0.02585
0.18250,0.016465,0.185640,,,0.02585
0.18500,0.017543,0.188360,,,0.02585
0.18750,0.018644,0.191040,,,0.02585
0.19000,0.019768,0.193680,,,0.02585
0.19250,0.020926,0.196270,,,0.02585
0.19500,0.022108,0.198820,,,0.02585
0.19750,0.023313,0.201330,,,0.02585
0.20000,0.024541,0.203790,,,0.02585
0.20250,0.025793,0.206220,,,0.02585
0.20500,0.027067,0.208600,,,0.02585
0.20750,0.028365,0.210950,,,0.02585
0.21000,0.029675,0.213250,,,0.02585
0.21250,0.031007,0.215510,,,0.02585
0.21500,0.032363,0.217730,,,0.02585
