t_ps,comp1_600K,comp1_800K,comp1_1000K,comp2_600K,comp2_800K,comp2_1000K
40.00,13.6754,21.1159,37.9510,11.5400,27.7820,55.8347
40.50,14.2092,23.2807,37.3491,11.5852,26.9036,56.6282
41.00,14.5388,23.7827,44.7380,11.6304,26.0252,57.4217
41.50,15.2059,21.2736,40.7517,11.6756,25.1469,58.2152
42.00,15.1265,20.6493,39.9293,11.6788,25.5191,59.0489
42.50,13.8520,19.9385,43.4218,11.6716,26.2040,59.8926
43.00,13.1068,20.5300,46.0594,11.6644,26.8888,60.7364
43.50,12.7229,18.8749,45.4307,11.5653,26.7940,61.0612
44.00,14.3492,19.6856,46.2910,11.4049,26.1794,61.0401
44.50,13.6662,19.7722,43.9612,11.2446,25.5649,61.0191
45.00,13.8845,19.4727,45.4041,11.1500,25.4272,61.2457
45.50,14.7809,20.0735,46.1550,11.1539,26.0050,61.8440
46.00,13.8086,21.8015,46.6401,11.1578,26.5828,62.4424
46.50,14.1567,22.0287,47.7197,11.1797,27.2071,62.8400
47.00,13.1422,19.4337,44.8218,11.2730,28.0174,62.4347
47.50,14.8922,21.4945,42.1758,11.3664,28.8277,62.0295
48.00,13.8856,22.1892,43.7990,11.4597,29.6380,61.6243
48.50,12.2299,21.1743,47.4631,11.5817,29.6768,62.2635
49.00,12.2239,20.5811,52.9481,11.7036,29.7155,62.9026
49.50,12.3062,20.9486,49.0286,11.8256,29.7542,63.5418
50.00,12.8580,19.9291,48.3375,11.8972,29.6556,64.3621
50.50,13.8447,20.4829,49.4190,11.9561,29.5225,65.2278
51.00,13.2440,20.6277,51.1435,12.0151,29.3895,66.0934
51.50,13.2870,20.5128,50.1977,12.0763,29.1274,67.4263
52.00,12.8174,21.4636,45.9781,12.1389,28.7792,69.0707
52.50,11.2909,21.3554,50.7107,12.2014,28.4310,70.7150
53.00,11.1252,19.9745,55.5192,12.3206,28.2038,71.9525
53.50,11.0772,21.3248,52.9044,12.5245,28.1580,72.5798
54.00,11.1185,21.5967,56.1601,12.7284,28.1123,73.2071
54.50,10.7784,22.2349,53.4018,12.8587,28.0068,73.6024
55.00,10.7267,24.0189,57.8659,12.6948,27.6621,73.0701
55.50,10.0845,22.8297,60.6722,12.5309,27.3174,72.5377
56.00,9.2513,22.8848,66.1499,12.3670,26.9727,72.0054
56.50,10.0743,24.3196,63.8867,12.3484,26.3153,71.9457
57.00,9.9708,23.3837,61.7966,12.3298,25.6579,71.8860
57.50,10.6756,21.4286,68.6570,12.3111,25.0006,71.8262
58.00,10.5022,22.8191,62.7648,12.3485,24.8867,72.1889
58.50,10.7865,19.2446,61.9037,12.3999,24.9086,72.6570
59.00,12.0446,17.6166,57.6569,12.4512,24.9306,73.1252
59.50,11.7822,18.0494,57.9873,12.5940,24.9553,73.3269
60.00,11.5397,19.5684,58.4427,12.7977,24.9817,73.3508
60.50,11.9794,19.7481,65.3359,13.0014,25.0081,73.3747
61.00,13.5418,17.8428,64.2411,13.0397,25.1443,73.9541
61.50,12.9323,19.6791,65.4639,12.8299,25.4450,75.3667
62.00,12.6696,19.6906,64.3644,12.6202,25.7457,76.7793
62.50,13.5100,17.2647,63.0707,12.4336,25.8658,78.2690
63.00,14.1542,16.2856,61.3939,12.3399,25.2631,80.0675
63.50,13.0246,16.8694,63.0759,12.2461,24.6605,81.8660
64.00,13.7708,17.0915,58.4496,12.1523,24.0579,83.6645
64.50,14.2778,17.8607,59.2339,12.3331,24.7111,85.2999
65.00,12.5170,22.4705,61.6634,12.5138,25.3643,86.9353
65.50,12.4769,18.5062,65.0876,12.6946,26.0175,88.5707
66.00,12.3420,17.5164,61.5721,12.5777,26.4201,89.9816
66.50,13.2803,19.3332,66.2259,12.3866,26.7601,91.3364
67.00,14.8282,17.1985,68.6475,12.1954,27.1001,92.6912
67.50,15.5981,18.0189,64.4045,12.1138,26.5956,94.0240
68.00,13.9628,18.4870,63.1865,12.1052,25.5281,95.3423
68.50,13.8975,20.1854,63.1837,12.0967,24.4606,96.6605
69.00,14.0121,18.5604,62.0199,12.0567,23.8556,97.9808
69.50,14.0373,19.4690,62.0225,11.9695,23.9444,99.3041
70.00,14.1693,19.6914,62.8511,11.8824,24.0332,100.6275
70.50,12.8534,20.4489,63.0319,11.8390,24.0197,101.8281
71.00,13.3011,19.7491,65.0312,11.9713,23.5973,102.5379
71.50,13.3719,19.8768,67.6274,12.1035,23.1749,103.2477
72.00,14.1499,18.1880,70.2119,12.2357,22.7525,103.9574
72.50,13.4480,19.2463,74.0427,11.9819,23.2680,102.3738
73.00,15.4099,20.1994,74.9899,11.7282,23.7836,100.7902
73.50,16.2572,19.9900,80.1901,11.4744,24.2991,99.2066
74.00,16.0350,20.4996,80.9644,11.6813,25.3661,99.6702
74.50,15.5161,20.5153,84.6955,12.0032,26.5710,100.6456
75.00,15.1548,22.9200,82.1578,12.3252,27.7759,101.6210
75.50,15.0338,23.7558,82.7406,12.6454,28.2818,102.6803
76.00,14.8194,20.6074,79.8712,12.9643,28.3217,103.7955
76.50,14.2962,25.9231,81.4445,13.2833,28.3616,104.9108
77.00,14.6424,26.4873,87.9163,13.4225,28.4776,105.9661
77.50,14.2034,26.0368,86.0742,13.2919,28.7079,106.9316
78.00,14.7009,24.5781,87.0749,13.1614,28.9382,107.8970
78.50,13.5296,25.8131,95.2322,13.0549,29.0849,108.5704
79.00,13.3030,28.7242,98.4956,13.0450,28.8968,108.0757
79.50,14.1734,27.8849,97.4089,13.0351,28.7086,107.5809
80.00,13.6771,27.3174,101.3470,13.0252,28.5205,107.0861
80.50,12.4939,25.8741,97.4951,13.2150,28.1898,107.8218
81.00,12.0958,27.5581,94.3815,13.4048,27.8592,108.5575
81.50,12.3426,27.0618,101.0390,13.5945,27.5285,109.2932
82.00,11.9926,22.0742,109.3730,13.6251,27.6059,110.0939
82.50,12.6655,21.5005,109.9480,13.6158,27.7853,110.9110
83.00,11.9669,24.0922,107.5490,13.6065,27.9646,111.7280
83.50,11.8253,24.2466,109.3920,13.6264,28.0147,112.5822
84.00,12.6023,24.9856,113.1560,13.6657,27.9785,113.4612
84.50,12.7884,24.0427,115.4230,13.7051,27.9424,114.3401
85.00,11.9754,22.8188,118.3200,13.7086,28.4245,115.2165
85.50,12.3440,22.1887,109.8820,13.6584,29.6840,116.0888
