# composite cathode-coating ranking. UMA relative. x=0.25.,score=0.30*ox+0.25*stable+0.20*soft+0.15*ductile+0.10*window (min-max norm).
rank,dopant,group,score,de,ox_V,red_V,E_GPa,pugh,pareto
1,Sc2O3,TM,0.813,-0.945,2.356,1.386,44.6,0.64,Y
2,Cr2O3,TM,0.811,-0.912,2.356,1.723,37.5,0.69,Y
3,Gd2O3,lanthanide,0.741,-1.269,2.118,1.398,41.6,0.77,Y
4,In2O3,main-group,0.703,-0.665,2.356,1.565,41.9,0.72,
5,Y2O3,TM,0.663,-0.938,2.282,1.391,53.1,0.71,
6,B2O3,main-group,0.658,-0.769,2.317,2.043,41.2,0.74,
7,WO3,TM,0.622,-0.860,2.14,1.717,38.6,0.76,
8,Ga2O3,main-group,0.603,-0.593,2.356,1.578,41.4,0.92,
9,Al2O3,main-group,0.601,-0.799,2.14,1.372,42.5,0.77,
10,Nb2O5,TM,0.578,-0.987,2.061,1.738,46.0,0.67,
11,Ta2O5,TM,0.563,-1.041,2.027,1.717,49.2,0.63,
12,CrO3,TM,0.554,-0.761,2.14,1.729,43.4,0.75,
13,MoO3,TM,0.544,-0.826,2.14,1.726,42.7,0.84,
14,Sm2O3,lanthanide,0.542,-0.897,1.989,1.488,44.4,0.68,
15,ScF3,TM,0.508,-0.725,2.14,1.306,46.5,0.88,
16,MgF2,alk.earth,0.498,-0.546,2.14,1.343,42.9,0.83,
17,CaO,alk.earth,0.497,-0.565,2.14,1.242,45.2,0.83,
18,Sb2O5,main-group,0.485,-0.721,2.14,1.777,51.5,0.69,
19,AlF3,main-group,0.480,-0.641,2.14,1.372,47.6,0.84,
20,LaF3,lanthanide,0.479,-0.727,1.893,1.475,40.5,0.64,
21,YF3,TM,0.475,-0.713,2.14,1.292,51.6,0.84,
22,HfO2,TM,0.473,-0.810,1.996,1.242,46.9,0.81,
23,V2O5,TM,0.456,-0.927,2.042,1.736,52.5,0.76,
24,Nd2O3,lanthanide,0.452,-0.915,1.92,1.518,47.1,0.75,
25,SiO2,main-group,0.432,-0.590,2.14,1.414,53.5,0.78,
26,Li2O,alkali,0.424,-0.503,2.14,1.242,48.6,0.89,
27,CaF2,alk.earth,0.416,-0.586,2.14,1.242,46.5,1.02,
28,NdF3,lanthanide,0.415,-0.703,1.92,1.518,43.9,0.74,
29,ZnO,TM,0.411,-0.480,2.14,1.565,51.0,0.76,
30,SnO2,main-group,0.410,-0.500,2.14,1.717,48.1,0.80,
31,LiF,alkali,0.406,-0.519,2.14,1.242,58.2,0.73,
32,ZrF4,TM,0.403,-0.758,1.878,1.713,42.2,0.73,
33,MnO,TM,0.399,-0.651,1.794,1.755,35.4,0.66,Y
34,La2O3,lanthanide,0.392,-0.898,1.893,1.523,50.1,0.77,
35,Ag2O,TM,0.386,-0.474,2.14,1.723,47.4,0.86,
36,GeO2,main-group,0.376,-0.523,2.14,1.622,56.2,0.75,
37,SrO,alk.earth,0.373,-0.555,2.06,1.717,49.2,0.79,
38,BaO,alk.earth,0.368,-0.564,2.071,1.717,48.2,0.85,
39,TiF4,TM,0.358,-0.705,2.024,1.717,46.2,0.96,
40,MgO,alk.earth,0.357,-0.543,2.14,1.405,57.9,0.84,
41,TiO2,TM,0.351,-0.632,2.024,1.717,52.1,0.78,
42,Na2O,alkali,0.329,-0.472,2.06,1.717,49.6,0.82,
43,Fe2O3,TM,0.311,-0.801,1.808,1.804,45.9,0.78,
44,ZrO2,TM,0.309,-0.719,1.878,1.713,49.6,0.78,
45,CoO,TM,0.243,-0.571,1.873,1.861,47.9,0.82,
46,NiO,TM,0.218,-0.534,1.838,1.816,45.9,0.85,
47,Cu2O,TM,0.183,-0.537,1.864,1.751,51.0,0.89,
