dopant chemistry,n,median onset (V),range (V),windows lost
main-group,21,2.140,1.72 – 2.36,0
alk.earth,17,2.140,2.06 – 2.14,0
alkali,10,2.140,2.06 – 2.14,0
TM,33,2.024,1.72 – 2.36,5
lanthanide,9,1.920,1.89 – 2.12,0
undoped host,—,2.140,—,0
