# PROVENANCE (2026-08-06): B2O3@LPSCl1.6, 600 K MLIP-MD, **4 SEEDS SUMMED**
#   /data/work/b2o3md/b2o3_full/d0.00_cfg0/T600 + runs/b2o3_600_reseed/s2,s3,s4 (gabia),
#   1900 frames each, 58 Li / 128 atoms, V 2436.3 A^3. Density integral 232.0 = 58 Li x 4 seeds.
#   Densities are ensemble-averageable (unlike MSD), so summing seeds only improves statistics.
# BETA GATE: b2o3 600 K passed (beta 0.81, 3-seed) - this is a gate-passing system/temperature.
# NOMENCLATURE: PMF = potential of mean force; dF_perc = percolation free energy (paired with
#   the bond-valence dE_perc); segment values are free-energy barriers dF. A bare "F" is avoided
#   (F = force in MD literature).
# TWO DEFINITIONS: first-spanning dF_perc = 0.0481 eV (thin filament, NOT adopted) vs
#   TRANSITION (largest-cluster steepest rise) dF_perc = 0.1607 eV (ADOPTED).
# KEY CONTRAST: bond-valence ranks b2o3 WORST of the four (dE_perc 0.281 eV, highest) while the
#   MD free-energy landscape ranks it BEST (dF_perc 0.161 eV, lower than LPSCl1.6's 0.173).
#   Gap dE-dF = +120 meV, twice LPSCl1.6's +56 meV. Channel at threshold: BV 0.76 vol% vs
#   PMF 61.5 vol%. This is the "locality" failure mode of the static proxy (kb/concepts/bvse.md
#   sec 9) seen directly: the open volume the dopant creates is invisible to the empty-lattice map.
# dF_perc is a FREE ENERGY AT 600 K, not Ea (MD Ea = 0.199 +- 0.034 eV).
# Largest connected Li cluster vs PMF level - B2O3@LPSCl1.6, T = 600 K.
# First-spanning dF_perc = 0.0481 eV ; TRANSITION (steepest rise, ADOPTED) dF_perc = 0.1607 eV.
dF_eV,largest_cluster_pct
0.0050,0.0053
0.0093,0.0135
0.0135,0.0220
0.0178,0.0348
0.0221,0.0501
0.0263,0.0631
0.0306,0.0786
0.0349,0.1623
0.0391,0.2099
0.0434,0.4167
0.0477,0.4879
0.0519,0.5573
0.0562,0.6412
0.0605,0.8903
0.0647,1.1997
0.0690,1.5202
0.0733,2.0060
0.0775,4.7094
0.0818,5.5077
0.0861,7.0584
0.0903,7.9276
0.0946,9.2586
0.0989,10.0830
0.1031,10.9332
0.1074,17.8625
0.1117,21.4548
0.1159,22.8073
0.1202,24.1201
0.1245,25.3228
0.1287,26.4478
0.1330,27.4898
0.1373,28.4738
0.1415,29.4045
0.1458,30.2426
0.1501,31.0455
0.1543,31.7975
0.1586,39.2008
0.1629,59.7542
0.1671,61.0856
0.1714,62.3650
0.1757,79.2621
0.1799,80.7611
0.1842,82.1600
0.1885,83.5051
0.1927,84.7792
0.1970,85.9497
0.2013,87.0777
0.2055,88.1445
0.2098,89.1064
0.2141,89.9773
0.2183,90.7695
0.2226,91.5088
0.2269,92.1936
0.2311,92.8275
0.2354,93.4003
0.2397,93.9388
0.2439,94.4235
0.2482,94.9024
0.2525,95.3558
0.2567,95.7762
0.2610,96.1565
0.2653,96.4930
0.2695,96.8198
0.2738,97.1016
0.2781,97.3578
0.2823,97.5897
0.2866,97.7978
0.2909,97.9947
0.2951,98.1781
0.2994,98.3442
0.3037,98.4951
0.3079,98.6306
0.3122,98.7660
0.3165,98.8813
0.3207,98.9979
0.3250,99.0935
0.3293,99.1823
0.3335,99.2641
0.3378,99.3386
0.3421,99.4045
0.3463,99.4692
0.3506,99.5190
0.3549,99.5698
0.3591,99.6132
0.3634,99.6549
0.3677,99.6953
0.3719,99.7303
0.3762,99.7581
0.3805,99.7864
0.3847,99.8066
0.3890,99.8277
0.3933,99.8493
0.3975,99.8650
0.4018,99.8840
0.4061,99.8975
0.4103,99.9114
0.4146,99.9244
0.4189,99.9369
0.4231,99.9469
0.4274,99.9564
0.4317,99.9610
0.4359,99.9675
0.4402,99.9726
0.4445,99.9763
0.4487,99.9817
0.4530,99.9856
0.4573,99.9891
0.4615,99.9914
0.4658,99.9935
0.4701,99.9944
0.4743,99.9956
0.4786,99.9965
0.4829,99.9974
0.4871,99.9981
0.4914,99.9991
0.4957,99.9995
0.4999,99.9995
0.5042,99.9995
0.5085,99.9995
0.5127,100.0000
