# Li3N(001) vs LiC6(0001) Li-adatom migration profile (Origin-ready)
"# Li3N_guide_eV = 0.1182 * sin^2(pi*xi): SYMMETRIC guide to the eye,"
#   peak exactly at xi=0.5 to match the on-N -> bridge -> on-N structure panel.
#   NOT a computed path - only xi=0 and the saddle are computed configurations.
# LiC6_DFT_eV = cubic spline through the 7 DFT-SCF image energies (diffusion.json lic6_0001_dft_scf).
"# Li3N_DFTpoint_eV: the two values that ARE computed, at xi = 0 and 0.5."
xi,Li3N_guide_eV,LiC6_DFT_eV,kT300_eV,xi_DFTpoint,Li3N_DFTpoint_eV
0.0000,0.00000,0.00000,0.02585,0.0000,0.00000
0.0025,0.00001,0.00235,0.02585,,
0.0050,0.00003,0.00471,0.02585,,
0.0075,0.00007,0.00709,0.02585,,
0.0100,0.00012,0.00948,0.02585,,
0.0125,0.00018,0.01188,0.02585,,
0.0150,0.00026,0.01429,0.02585,,
0.0175,0.00036,0.01671,0.02585,,
0.0200,0.00047,0.01915,0.02585,,
0.0225,0.00059,0.02159,0.02585,,
0.0250,0.00073,0.02405,0.02585,,
0.0275,0.00088,0.02651,0.02585,,
0.0300,0.00105,0.02899,0.02585,,
0.0325,0.00123,0.03147,0.02585,,
0.0350,0.00142,0.03396,0.02585,,
0.0375,0.00163,0.03646,0.02585,,
0.0400,0.00186,0.03897,0.02585,,
0.0425,0.00209,0.04148,0.02585,,
0.0450,0.00235,0.04400,0.02585,,
0.0475,0.00261,0.04653,0.02585,,
0.0500,0.00289,0.04906,0.02585,,
0.0525,0.00319,0.05160,0.02585,,
0.0550,0.00349,0.05415,0.02585,,
0.0575,0.00381,0.05670,0.02585,,
0.0600,0.00415,0.05926,0.02585,,
0.0625,0.00450,0.06182,0.02585,,
0.0650,0.00486,0.06438,0.02585,,
0.0675,0.00524,0.06695,0.02585,,
0.0700,0.00562,0.06952,0.02585,,
0.0725,0.00603,0.07209,0.02585,,
0.0750,0.00644,0.07467,0.02585,,
0.0775,0.00687,0.07724,0.02585,,
0.0800,0.00731,0.07982,0.02585,,
0.0825,0.00776,0.08240,0.02585,,
0.0850,0.00823,0.08499,0.02585,,
0.0875,0.00871,0.08757,0.02585,,
0.0900,0.00920,0.09015,0.02585,,
0.0925,0.00970,0.09273,0.02585,,
0.0950,0.01022,0.09531,0.02585,,
0.0975,0.01075,0.09789,0.02585,,
0.1000,0.01129,0.10047,0.02585,,
0.1025,0.01184,0.10305,0.02585,,
0.1050,0.01240,0.10563,0.02585,,
0.1075,0.01298,0.10820,0.02585,,
0.1100,0.01356,0.11077,0.02585,,
0.1125,0.01416,0.11334,0.02585,,
0.1150,0.01477,0.11590,0.02585,,
0.1175,0.01539,0.11846,0.02585,,
0.1200,0.01602,0.12101,0.02585,,
0.1225,0.01666,0.12356,0.02585,,
0.1250,0.01731,0.12611,0.02585,,
0.1275,0.01797,0.12864,0.02585,,
0.1300,0.01864,0.13118,0.02585,,
0.1325,0.01932,0.13370,0.02585,,
0.1350,0.02001,0.13622,0.02585,,
0.1375,0.02072,0.13874,0.02585,,
0.1400,0.02143,0.14124,0.02585,,
0.1425,0.02215,0.14374,0.02585,,
