comp1_Li-Cl_A,comp2_Li-Cl_A,comp2_Li-Br_A
2.6960,2.4554,3.0380
2.6960,2.5798,2.6444
2.6960,3.0323,2.7056
2.6960,3.0323,2.9073
2.6988,2.5798,2.9073
2.6988,2.4553,2.7056
2.6988,2.4669,2.6444
2.6988,2.4520,3.0380
2.6987,2.4521,2.6090
2.6989,2.4669,2.6058
2.6989,,2.6058
2.6988,,2.6090
2.6959,,
2.6961,,
2.6960,,
2.6959,,
2.4254,,
2.4254,,
2.4254,,
2.4254,,
2.4254,,
2.4254,,
2.4254,,
2.4254,,

# summary: comp1 Li-Cl mean 2.607 std 0.128 n 24; comp2 Li-Cl mean 2.597 std 0.223 n 10; comp2 Li-Br mean 2.752 std 0.164 n 12
