t_ps,msd_600,msd_800,msd_1000
0.0,0.000,0.000,0.000
1.0,1.335,2.437,4.238
2.0,1.985,3.563,7.409
3.0,3.183,5.668,8.952
4.0,3.713,6.068,11.586
5.0,4.533,8.976,13.006
6.0,4.870,9.911,17.728
7.0,5.954,11.501,20.172
8.0,7.677,12.784,23.022
9.0,7.752,16.273,24.475
10.0,8.997,16.742,31.840
11.0,8.960,17.887,41.887
12.0,10.830,19.611,45.659
13.0,10.529,21.723,51.468
14.0,10.172,23.522,54.934
15.0,9.749,25.751,59.173
16.0,10.280,29.935,63.563
17.0,12.359,30.635,69.251
18.0,11.001,33.820,68.081
19.0,10.969,35.661,68.543
20.0,10.688,38.240,75.867
21.0,12.290,39.349,76.533
22.0,13.146,42.092,79.831
23.0,14.020,42.715,78.265
24.0,15.745,44.964,82.129
25.0,18.861,48.031,86.124
26.0,17.403,47.576,94.547
27.0,18.793,48.964,94.988
28.0,19.181,51.354,96.402
29.0,20.587,51.010,100.975
30.0,19.778,53.915,95.540
31.0,21.405,54.953,93.835
32.0,20.505,57.417,92.309
33.0,22.803,59.081,105.524
34.0,22.688,61.915,104.680
35.0,23.291,62.520,108.613
36.0,23.952,65.656,106.924
37.0,24.026,67.454,107.073
38.0,23.973,71.044,114.879
39.0,25.004,69.616,115.807
40.0,23.554,72.427,124.988
41.0,22.374,77.716,125.987
42.0,24.338,81.019,137.054
43.0,25.947,74.327,143.276
44.0,24.749,75.001,146.588
45.0,25.632,77.459,146.497
46.0,27.264,77.879,150.062
47.0,27.045,85.971,143.677
48.0,27.319,87.539,146.649
49.0,28.791,86.361,154.305
