# beta gate null distribution vs hop count. window 2-50 ps, n_Li 27, prod 200 ps, cage intercept 4.0 A^2, 1000 trials, seed 12345. All rows are TRUE Fickian - false_fail_pct is the false-rejection rate of the beta>=0.8 gate.
# n_hop convention = MSD(prod)/d_hop^2, d_hop 3 A (hops_per_ion.py). beta_crit_5pct = 5th percentile of null beta = threshold giving 5% false fail.
n_hop_200ps,D_cm2_s,c_over_msd50_pct,beta_deterministic,beta_median,beta_p5,beta_p95,false_fail_pct,beta_crit_5pct
1.0,7.503751875937969e-07,63.98847631241997,0.167,0.164,0.085,0.254,100.0,0.085
2.0,1.5007503751875938e-06,47.04636385031772,0.272,0.272,0.177,0.366,100.0,0.177
3.0,2.2511255627813906e-06,37.19761816151842,0.35,0.353,0.248,0.46,100.0,0.248
5.0,3.7518759379689844e-06,26.219832109129065,0.46,0.46,0.35,0.578,100.0,0.35
8.4,6.303151575787894e-06,17.4600401781815,0.575,0.577,0.453,0.694,99.9,0.453
10.0,7.503751875937969e-06,15.087931164616196,0.613,0.613,0.492,0.735,99.8,0.492
13.9,1.0430215107553777e-05,11.334448444986249,0.68,0.682,0.557,0.802,94.7,0.557
20.0,1.5007503751875938e-05,8.159516714967957,0.747,0.753,0.61,0.875,73.3,0.61
30.0,2.2511255627813908e-05,5.591764804609919,0.811,0.808,0.675,0.946,46.4,0.675
