E_minus_Ef,total,Li,P,S,Cl,B,O
-5.998,3.0600,0.3281,0.0006,2.0566,0.0298,0.6247,0.0010
-5.838,8.0800,0.7874,0.0281,5.4906,0.0739,1.6742,-0.0157
-5.678,47.2000,3.6728,8.5595,8.8803,0.1743,0.1828,25.4580
-5.438,55.9000,5.2424,12.7952,25.2694,0.4443,1.5902,10.1400
-5.198,49.1000,4.4534,13.3786,25.4781,0.6836,0.0260,4.7389
-4.878,61.0000,4.7464,16.9497,36.8918,1.5814,0.0970,0.3707
-4.718,69.2000,4.4524,19.9615,42.9829,1.0049,0.2393,0.1389
-4.398,9.7600,1.4664,0.0131,5.4977,0.7892,1.9329,0.0076
-4.318,13.2000,2.0536,0.0069,6.9596,1.9272,2.1658,0.0092
-4.158,24.0000,4.2901,0.2254,3.8379,14.8589,0.6995,0.0107
-3.918,51.4000,8.6403,0.2219,15.5329,21.9822,4.4932,0.3171
-3.758,100.0000,16.6181,0.5636,19.5435,57.5235,4.9921,0.6957
-3.598,108.0000,18.3856,0.6298,14.2477,71.7950,0.9938,1.6060
-3.438,184.0000,28.1623,1.1213,23.6603,125.1666,1.6441,3.5710
-3.278,172.0000,23.5783,1.0833,21.9415,118.5307,1.8775,4.3167
-3.038,143.0000,14.6509,0.7367,19.0115,95.6456,1.6625,10.5648
-2.798,67.5000,5.2522,0.5014,10.3445,38.3963,0.0801,12.1293
-2.638,56.2000,6.1303,0.4735,26.2316,13.9943,1.4319,7.2459
-2.478,36.5000,4.4630,0.1742,24.5286,5.2637,0.0132,1.5368
-2.318,92.7000,11.3692,0.3715,64.9463,13.0278,0.0586,1.5116
-2.238,103.0000,16.6517,0.2683,70.2748,12.5658,0.8436,1.3683
-1.998,139.0000,19.9250,0.5858,99.4728,14.5054,0.5202,2.1237
-1.838,70.4000,8.8126,0.3291,50.9127,7.5487,0.2031,1.6023
-1.598,61.9000,7.1601,0.1957,46.5286,5.7460,0.2336,1.2895
-1.438,100.0000,12.3674,0.3144,77.9640,5.5878,0.1781,3.1982
-1.198,111.0000,12.6759,0.3608,93.0754,3.7189,0.1280,0.7763
-0.958,129.0000,13.3534,0.3924,110.1531,2.8997,0.2531,1.6524
-0.798,97.3000,8.5145,0.2483,85.2759,1.4949,0.1067,1.1620
-0.638,71.6000,4.8029,0.1820,64.8539,0.7940,0.0316,0.5721
-0.398,34.8000,2.0913,0.2062,29.4949,0.8159,0.0218,1.9022
-0.238,2.2500,0.2117,-0.0006,2.0386,0.0002,0.0029,-0.0061
-0.158,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.802,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.682,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.762,0.1420,0.0179,0.0403,0.0730,0.0009,0.0005,0.0002
1.922,2.0900,0.2768,0.5915,1.0607,0.0168,0.0025,0.0046
2.162,4.1700,0.5643,1.2197,2.0421,0.0380,0.0069,0.0106
2.402,9.0400,1.2435,2.7455,4.2876,0.0910,0.0134,0.0248
2.482,14.8000,2.3273,3.6259,6.1841,0.2310,1.4284,0.0270
2.562,16.9000,2.5292,4.2671,7.1819,0.2150,1.5406,0.0354
2.642,16.0000,2.4235,3.3597,6.3916,0.2163,2.5359,0.0321
2.882,29.2000,3.8528,4.4793,10.9993,0.2451,7.7925,0.0594
3.122,15.8000,2.2791,3.9737,6.2296,0.1826,1.9302,0.0656
3.202,16.1000,2.2718,3.7962,6.2900,0.1696,2.3687,0.0619
3.442,22.2000,4.3025,7.4326,7.2426,0.3299,0.3304,0.1020
3.602,39.5000,9.3936,12.5135,11.8682,0.8436,0.1783,0.1848
3.762,54.8000,13.7690,16.2986,16.3058,1.3622,0.8577,0.1519
4.162,64.5000,20.9998,15.7601,16.4195,2.1479,0.6852,0.4518
4.322,66.2000,22.7599,15.0451,16.4215,2.5111,0.8389,0.5227
4.562,44.0000,17.1185,8.1612,10.1249,1.5667,1.0080,0.7035
4.882,42.7000,22.1820,4.2079,7.5177,2.4310,1.0670,0.7451
5.122,60.6000,35.1197,3.6896,10.3348,3.3973,1.2190,0.6676
5.442,74.7000,44.9656,3.8452,11.8496,3.3982,1.0230,1.0363
5.762,66.0000,41.5820,2.2890,9.3204,2.5278,0.5998,0.6142
