# LPSOCl ELF bond-path minima — annotations of docs/figures/icohp/lpsocl_elf_profiles.png
# descriptor = min of ELF over frac [0.40,0.60] (sample_elf_bonds.py 와 동일 규약)
# this_bond_* = 대표 1개 결합(프로파일 곡선). mean_* = n개 평균 = **인용 표준**.
# li_core_node = Li 1s|2s 노드 깊이. 원자 성질이라 **결합 순위에 쓰면 안 된다**.
# 곡선 원본: db/properties/lpsocl_elf_profiles_origin.csv
bond,this_bond_dist_A,central_min_frac,this_bond_central_min,n_bonds,mean_central_min,mean_midpoint,li_core_node,verdict
P–S,2.05,0.598,0.9239,19,0.924,0.945,,covalent
P–O,1.56,0.402,0.8802,1,0.878,0.921,,covalent
Li–S (free S),2.34,0.598,0.6024,69,0.576,0.935,0.0771,intermediate
Li–Cl,2.56,0.598,0.4056,39,0.399,0.884,0.0337,intermediate
Li–O,1.95,0.598,0.1734,2,0.163,0.784,0.0661,ionic
