t_ps,b2o3_600,LPSCl1.6_600,b2o3_800,LPSCl1.6_800,b2o3_1000,LPSCl1.6_1000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0000,1.3350,1.6524,2.4370,4.3500,4.2380,5.3105
2.0000,1.9850,2.0050,3.5630,8.7270,7.4090,9.5496
3.0000,3.1830,1.6588,5.6680,13.4792,8.9520,9.2037
4.0000,3.7130,3.0257,6.0680,16.3723,11.5860,14.0160
5.0000,4.5330,4.5245,8.9760,19.2799,13.0060,15.3510
6.0000,4.8700,5.4610,9.9110,17.7178,17.7280,16.2544
7.0000,5.9540,7.2053,11.5010,16.1592,20.1720,19.5989
8.0000,7.6770,7.8361,12.7840,18.1577,23.0220,26.1698
9.0000,7.7520,8.0967,16.2730,20.2985,24.4750,28.5946
10.0000,8.9970,7.9719,16.7420,19.4826,31.8400,28.7179
11.0000,8.9600,9.4016,17.8870,21.8039,41.8870,31.9592
12.0000,10.8300,10.0435,19.6110,26.1411,45.6590,32.6013
13.0000,10.5290,9.2108,21.7230,24.0872,51.4680,32.7269
14.0000,10.1720,11.2583,23.5220,27.8363,54.9340,34.8297
15.0000,9.7490,10.4038,25.7510,28.6754,59.1730,38.9023
16.0000,10.2800,9.7363,29.9350,27.9864,63.5630,37.4559
17.0000,12.3590,9.6160,30.6350,32.1164,69.2510,48.2977
18.0000,11.0010,10.8641,33.8200,34.1658,68.0810,53.7053
19.0000,10.9690,10.8423,35.6610,33.1326,68.5430,56.1119
20.0000,10.6880,10.0663,38.2400,33.6999,75.8670,61.7228
21.0000,12.2900,9.9860,39.3490,34.3243,76.5330,59.6611
22.0000,13.1460,10.5870,42.0920,35.3647,79.8310,65.8271
23.0000,14.0200,11.9488,42.7150,37.6260,78.2650,64.8185
24.0000,15.7450,12.5643,44.9640,39.2542,82.1290,67.7806
25.0000,18.8610,13.1275,48.0310,37.8354,86.1240,71.3506
26.0000,17.4030,14.7836,47.5760,39.1728,94.5470,70.2913
27.0000,18.7930,13.0494,48.9640,40.8491,94.9880,78.4993
28.0000,19.1810,12.8048,51.3540,43.7098,96.4020,81.4203
29.0000,20.5870,13.8548,51.0100,44.0646,100.9750,87.2148
30.0000,19.7780,13.9363,53.9150,42.2135,95.5400,88.6701
31.0000,21.4050,13.3909,54.9530,41.7490,93.8350,93.3386
32.0000,20.5050,15.9296,57.4170,42.0784,92.3090,91.1586
33.0000,22.8030,18.4599,59.0810,42.9652,105.5240,90.5954
34.0000,22.6880,20.5446,61.9150,43.3500,104.6800,92.6390
35.0000,23.2910,20.6516,62.5200,44.6280,108.6130,100.0170
36.0000,23.9520,20.1352,65.6560,42.3230,106.9240,106.4070
37.0000,24.0260,21.2840,67.4540,45.8504,107.0730,98.6224
38.0000,23.9730,21.3132,71.0440,50.9724,114.8790,97.2614
39.0000,25.0040,23.7971,69.6160,59.2931,115.8070,98.2215
40.0000,23.5540,23.7663,72.4270,65.3632,124.9880,109.1220
41.0000,22.3740,21.9488,77.7160,65.9733,125.9870,112.2900
42.0000,24.3380,20.1868,81.0190,63.4709,137.0540,116.3670
43.0000,25.9470,22.9662,74.3270,61.8107,143.2760,116.4950
44.0000,24.7490,23.9938,75.0010,68.4415,146.5880,126.7980
45.0000,25.6320,24.6666,77.4590,69.6780,146.4970,122.7040
46.0000,27.2640,23.1286,77.8790,70.8183,150.0620,129.0300
47.0000,27.0450,23.0063,85.9710,65.9105,143.6770,128.9700
48.0000,27.3190,24.3414,87.5390,69.8797,146.6490,136.2410
49.0000,28.7910,25.2010,86.3610,68.8736,154.3050,147.4250
50.0000,28.7910,28.1869,86.3610,71.8534,154.3050,143.2300
