E_minus_VBM,total_DOS
-2.2200,64.7226
-2.2000,67.1286
-2.1800,69.5585
-2.1600,71.9639
-2.1400,74.2933
-2.1200,76.5012
-2.1000,78.5540
-2.0800,80.4318
-2.0600,82.1254
-2.0400,83.6305
-2.0200,84.9442
-2.0000,86.0640
-1.9800,86.9904
-1.9600,87.7287
-1.9400,88.2883
-1.9200,88.6801
-1.9000,88.9129
-1.8800,88.9918
-1.8600,88.9190
-1.8400,88.6941
-1.8200,88.3144
-1.8000,87.7746
-1.7800,87.0685
-1.7600,86.1942
-1.7400,85.1602
-1.7200,83.9907
-1.7000,82.7265
-1.6800,81.4192
-1.6600,80.1218
-1.6400,78.8782
-1.6200,77.7154
-1.6000,76.6405
-1.5800,75.6427
-1.5600,74.7006
-1.5400,73.7907
-1.5200,72.8948
-1.5000,72.0074
-1.4800,71.1381
-1.4600,70.3118
-1.4400,69.5660
-1.4200,68.9440
-1.4000,68.4886
-1.3800,68.2375
-1.3600,68.2230
-1.3400,68.4752
-1.3200,69.0256
-1.3000,69.9052
-1.2800,71.1355
-1.2600,72.7175
-1.2400,74.6225
-1.2200,76.7932
-1.2000,79.1531
-1.1800,81.6212
-1.1600,84.1245
-1.1400,86.6038
-1.1200,89.0133
-1.1000,91.3155
-1.0800,93.4769
-1.0600,95.4674
-1.0400,97.2654
-1.0200,98.8636
-1.0000,100.2735
-0.9800,101.5241
-0.9600,102.6548
-0.9400,103.7052
-0.9200,104.7051
-0.9000,105.6671
-0.8800,106.5833
-0.8600,107.4252
-0.8400,108.1488
-0.8200,108.7014
-0.8000,109.0307
-0.7800,109.0903
-0.7600,108.8402
-0.7400,108.2426
-0.7200,107.2568
-0.7000,105.8405
-0.6800,103.9586
-0.6600,101.5951
-0.6400,98.7606
-0.6200,95.4905
-0.6000,91.8344
-0.5800,87.8443
-0.5600,83.5692
-0.5400,79.0564
-0.5200,74.3572
-0.5000,69.5311
-0.4800,64.6435
-0.4600,59.7611
-0.4400,54.9443
-0.4200,50.2445
-0.4000,45.7058
-0.3800,41.3694
-0.3600,37.2772
-0.3400,33.4705
-0.3200,29.9824
-0.3000,26.8278
-0.2800,23.9976
-0.2600,21.4610
-0.2400,19.1742
-0.2200,17.0919
-0.2000,15.1766
-0.1800,13.4011
-0.1600,11.7491
-0.1400,10.2130
-0.1200,8.7920
-0.1000,7.4894
-0.0800,6.3101
-0.0600,5.2566
-0.0400,4.3271
-0.0200,3.5161
-0.0000,2.8163
0.0200,2.2206
0.0400,1.7227
0.0600,1.3158
0.0800,0.9910
0.1000,0.7371
0.1200,0.5419
0.1400,0.3933
0.1600,0.2811
0.1800,0.1976
0.2000,0.1366
0.2200,0.0929
0.2400,0.0623
0.2600,0.0412
0.2800,0.0268
0.3000,0.0171
0.3200,0.0107
0.3400,0.0065
0.3600,0.0038
0.3800,0.0022
0.4000,0.0012
0.4200,0.0007
0.4400,0.0004
0.4600,0.0002
0.4800,0.0001
0.5000,0.0001
0.5200,0.0000
0.5400,0.0000
0.5600,0.0000
0.5800,0.0000
0.6000,0.0000
0.6200,0.0000
0.6400,0.0000
0.6600,0.0000
0.6800,0.0000
0.7000,0.0000
0.7200,0.0000
0.7400,0.0000
0.7600,0.0000
0.7800,0.0000
0.8000,0.0000
0.8200,0.0000
0.8400,0.0000
0.8600,0.0000
0.8800,0.0000
0.9000,0.0000
0.9200,0.0000
0.9400,0.0000
0.9600,0.0000
0.9800,0.0000
1.0000,0.0000
1.0200,0.0001
1.0400,0.0001
1.0600,0.0001
1.0800,0.0001
1.1000,0.0001
1.1200,0.0001
1.1400,0.0001
1.1600,0.0001
1.1800,0.0001
1.2000,0.0001
1.2200,0.0001
1.2400,0.0001
1.2600,0.0001
1.2800,0.0001
1.3000,0.0001
1.3200,0.0001
1.3400,0.0001
1.3600,0.0001
1.3800,0.0001
1.4000,0.0001
1.4200,0.0001
1.4400,0.0001
1.4600,0.0001
1.4800,0.0001
1.5000,0.0001
1.5200,0.0002
1.5400,0.0003
1.5600,0.0006
1.5800,0.0009
1.6000,0.0016
1.6200,0.0026
1.6400,0.0043
1.6600,0.0069
1.6800,0.0109
1.7000,0.0169
1.7200,0.0254
1.7400,0.0373
1.7600,0.0533
1.7800,0.0748
1.8000,0.1032
1.8200,0.1400
1.8400,0.1868
1.8600,0.2446
1.8800,0.3140
1.9000,0.3953
1.9200,0.4886
1.9400,0.5940
1.9600,0.7113
1.9800,0.8400
2.0000,0.9792
2.0200,1.1269
2.0400,1.2811
2.0600,1.4396
2.0800,1.6007
2.1000,1.7637
2.1200,1.9284
2.1400,2.0958
2.1600,2.2673
2.1800,2.4448
2.2000,2.6300
2.2200,2.8248
2.2400,3.0307
2.2600,3.2492
2.2800,3.4821
2.3000,3.7313
2.3200,3.9987
2.3400,4.2860
2.3600,4.5943
2.3800,4.9245
2.4000,5.2775
2.4200,5.6545
2.4400,6.0568
2.4600,6.4851
2.4800,6.9395
2.5000,7.4197
2.5200,7.9249
2.5400,8.4543
2.5600,9.0064
2.5800,9.5785
2.6000,10.1658
2.6200,10.7609
2.6400,11.3547
2.6600,11.9378
2.6800,12.5017
2.7000,13.0397
2.7200,13.5479
2.7400,14.0238
2.7600,14.4655
2.7800,14.8716
2.8000,15.2407
2.8200,15.5723
2.8400,15.8670
2.8600,16.1264
2.8800,16.3523
2.9000,16.5463
2.9200,16.7090
2.9400,16.8403
2.9600,16.9394
2.9800,17.0045
3.0000,17.0333
3.0200,17.0230
3.0400,16.9717
3.0600,16.8799
3.0800,16.7519
3.1000,16.5951
3.1200,16.4194
3.1400,16.2350
3.1600,16.0505
3.1800,15.8714
3.2000,15.7000
3.2200,15.5359
3.2400,15.3769
3.2600,15.2209
3.2800,15.0672
3.3000,14.9183
3.3200,14.7808
3.3400,14.6659
3.3600,14.5888
3.3800,14.5666
3.4000,14.6163
3.4200,14.7526
3.4400,14.9885
3.4600,15.3362
3.4800,15.8085
3.5000,16.4185
3.5200,17.1757
3.5400,18.0817
3.5600,19.1267
3.5800,20.2901
3.6000,21.5437
3.6200,22.8576
3.6400,24.2033
3.6600,25.5553
3.6800,26.8892
3.7000,28.1799
3.7200,29.4002
3.7400,30.5224
3.7600,31.5218
3.7800,32.3796
3.8000,33.0842
3.8200,33.6294
3.8400,34.0113
3.8600,34.2276
3.8800,34.2801
3.9000,34.1798
3.9200,33.9520
3.9400,33.6369
3.9600,33.2852
3.9800,32.9513
4.0000,32.6849
4.0200,32.5268
4.0400,32.5093
4.0600,32.6594
4.0800,33.0026
4.1000,33.5621
