frame,t_ps,P_S,S_Li,P_Li,Li_penetrated,B_S,B_Li
0.000,0.000,3.250,3.756,0.375,61.000,3.000,1.000
1.000,0.200,3.250,3.780,0.625,61.000,3.000,2.000
2.000,0.400,3.250,3.707,0.625,60.000,3.000,1.500
3.000,0.600,3.250,3.756,1.125,60.000,3.000,1.500
4.000,0.800,3.250,3.976,0.875,61.000,3.000,1.000
5.000,1.000,3.250,3.878,1.125,61.000,3.000,2.000
6.000,1.200,3.250,3.756,1.000,61.000,3.000,2.000
7.000,1.400,3.250,3.951,0.500,62.000,3.000,1.500
8.000,1.600,3.250,3.732,1.125,61.000,3.000,1.500
9.000,1.800,3.250,3.854,1.000,61.000,3.000,2.500
10.000,2.000,3.250,3.829,0.875,62.000,3.000,2.000
11.000,2.200,3.250,3.683,0.875,62.000,3.000,2.000
12.000,2.400,3.250,3.854,1.000,62.000,3.000,2.500
13.000,2.600,3.250,3.878,1.000,62.000,3.000,2.500
14.000,2.800,3.250,3.951,0.625,62.000,3.000,1.500
15.000,3.000,3.250,3.732,1.125,63.000,3.000,0.500
16.000,3.200,3.250,3.756,1.000,63.000,3.000,1.500
17.000,3.400,3.250,3.780,1.000,62.000,3.000,0.500
18.000,3.600,3.250,3.780,0.750,62.000,3.000,0.500
19.000,3.800,3.250,3.683,0.875,62.000,3.000,0.500
20.000,4.000,3.250,3.780,0.875,62.000,3.000,1.000
21.000,4.200,3.250,3.878,1.000,62.000,3.000,1.500
22.000,4.400,3.250,3.780,1.000,62.000,3.000,1.500
23.000,4.600,3.250,3.732,0.875,62.000,3.000,1.500
24.000,4.800,3.125,3.878,1.250,62.000,3.000,2.000
25.000,5.000,3.125,4.073,1.250,61.000,3.000,1.500
26.000,5.200,3.125,3.854,1.375,63.000,3.000,2.500
27.000,5.400,3.125,3.927,0.875,61.000,3.000,1.500
28.000,5.600,3.125,3.878,1.125,61.000,3.000,2.000
29.000,5.800,3.125,3.902,1.000,63.000,3.000,2.500
30.000,6.000,3.000,3.976,0.750,64.000,3.000,2.000
31.000,6.200,3.000,3.902,1.250,63.000,3.000,1.000
32.000,6.400,3.000,3.976,1.500,63.000,3.000,1.500
33.000,6.600,3.000,3.829,1.250,65.000,3.000,1.000
34.000,6.800,3.000,3.951,1.125,63.000,3.000,1.500
35.000,7.000,3.000,3.732,1.250,64.000,3.000,1.500
36.000,7.200,3.000,4.049,1.625,64.000,3.000,1.500
37.000,7.400,3.000,3.951,1.000,65.000,3.000,1.000
38.000,7.600,3.000,3.951,1.625,65.000,3.000,2.000
39.000,7.800,3.000,4.049,1.750,65.000,3.000,0.500
40.000,8.000,3.000,3.976,1.250,65.000,3.000,2.000
41.000,8.200,3.000,4.049,1.625,65.000,3.000,1.500
42.000,8.400,3.000,4.049,1.625,65.000,3.000,1.000
43.000,8.600,3.000,3.951,2.000,65.000,3.000,0.500
44.000,8.800,3.000,3.951,1.500,63.000,3.000,2.000
45.000,9.000,3.000,3.927,1.125,64.000,3.000,1.500
46.000,9.200,3.000,4.049,1.375,64.000,3.000,0.500
47.000,9.400,3.000,3.902,1.750,64.000,3.000,2.000
48.000,9.600,3.000,3.976,1.875,63.000,3.000,0.500
49.000,9.800,2.875,3.902,1.375,63.000,3.000,0.500
50.000,10.000,2.875,4.049,2.000,64.000,3.000,1.500
51.000,10.200,2.875,4.098,1.750,63.000,3.000,1.500
52.000,10.400,2.875,4.000,1.625,64.000,3.000,1.500
53.000,10.600,2.875,4.098,1.625,64.000,3.000,1.500
54.000,10.800,2.875,4.024,2.000,64.000,3.000,0.500
55.000,11.000,2.875,4.049,1.250,65.000,3.000,1.000
56.000,11.200,2.875,3.976,2.000,65.000,3.000,2.500
57.000,11.400,2.875,3.951,1.500,64.000,3.000,0.000
58.000,11.600,2.875,4.146,1.875,64.000,3.000,1.000
59.000,11.800,2.875,4.000,1.875,66.000,3.000,1.000
60.000,12.000,2.875,4.171,2.125,64.000,3.000,3.000
61.000,12.200,2.875,4.073,1.500,64.000,3.000,1.500
62.000,12.400,2.875,4.024,2.125,64.000,3.000,1.000
63.000,12.600,2.875,4.146,1.250,65.000,3.000,1.500
64.000,12.800,2.875,4.146,1.375,64.000,3.000,1.500
65.000,13.000,2.875,4.122,2.000,65.000,3.000,3.000
66.000,13.200,2.875,4.073,1.750,62.000,3.000,1.000
67.000,13.400,2.875,4.098,1.625,64.000,3.000,2.500
68.000,13.600,2.875,4.000,1.375,64.000,3.000,2.000
69.000,13.800,2.875,4.268,1.875,65.000,3.000,1.500
70.000,14.000,2.875,4.146,2.000,65.000,3.000,2.000
71.000,14.200,2.875,4.098,2.000,65.000,3.000,2.000
72.000,14.400,2.875,4.024,1.875,65.000,3.000,3.000
73.000,14.600,2.875,3.976,2.000,65.000,3.000,1.000
74.000,14.800,2.875,4.146,2.000,64.000,3.000,1.500
75.000,15.000,2.875,3.976,1.875,65.000,3.000,2.000
76.000,15.200,2.875,4.000,1.750,65.000,3.000,1.000
77.000,15.400,2.875,4.171,1.500,65.000,3.000,2.000
78.000,15.600,2.875,3.927,2.000,65.000,3.000,1.500
79.000,15.800,2.875,3.927,1.750,65.000,3.000,1.000
80.000,16.000,2.875,3.927,1.875,65.000,3.000,0.500
81.000,16.200,2.875,4.073,1.500,64.000,3.000,1.000
82.000,16.400,2.875,4.049,2.125,65.000,3.000,1.000
83.000,16.600,2.875,4.171,1.250,65.000,3.000,1.500
84.000,16.800,2.875,4.195,2.125,66.000,3.000,1.500
85.000,17.000,2.875,3.976,1.375,64.000,3.000,0.500
86.000,17.200,2.875,3.902,1.750,64.000,3.000,1.500
87.000,17.400,2.875,4.146,1.125,65.000,3.000,2.500
88.000,17.600,2.875,4.171,1.750,66.000,3.000,2.000
89.000,17.800,2.875,4.073,1.500,65.000,3.000,1.500
90.000,18.000,2.875,4.146,1.625,64.000,3.000,0.500
91.000,18.200,2.875,4.171,1.500,65.000,3.000,1.500
92.000,18.400,2.875,4.317,1.875,65.000,3.000,2.000
93.000,18.600,2.875,4.073,1.625,65.000,3.000,1.000
94.000,18.800,2.875,4.122,1.500,65.000,3.000,0.000
95.000,19.000,2.875,4.146,1.250,64.000,3.000,1.500
96.000,19.200,2.875,4.122,1.625,65.000,3.000,2.500
97.000,19.400,2.875,4.244,1.375,65.000,3.000,2.000
98.000,19.600,2.875,4.146,1.625,65.000,3.000,2.000
99.000,19.800,2.875,4.122,1.375,65.000,3.000,1.500
100.000,20.000,2.875,4.268,1.500,65.000,3.000,1.500
101.000,20.200,2.875,4.171,1.625,65.000,3.000,2.000
102.000,20.400,2.875,4.098,1.625,65.000,3.000,2.000
103.000,20.600,2.875,4.146,2.250,64.000,3.000,2.500
104.000,20.800,2.875,4.073,1.500,65.000,3.000,1.500
105.000,21.000,2.875,4.098,1.625,65.000,3.000,2.000
106.000,21.200,2.875,4.122,1.750,65.000,3.000,2.000
107.000,21.400,2.875,4.024,1.375,65.000,3.000,1.000
108.000,21.600,2.875,4.000,1.875,64.000,3.000,2.000
109.000,21.800,2.875,4.171,1.000,64.000,3.000,2.000
110.000,22.000,2.875,3.976,1.375,64.000,3.000,0.500
111.000,22.200,2.875,4.146,1.500,64.000,3.000,1.500
112.000,22.400,2.875,4.073,1.625,65.000,3.000,1.500
113.000,22.600,2.875,4.146,1.375,64.000,3.000,0.500
114.000,22.800,2.875,4.122,1.500,65.000,3.000,2.000
115.000,23.000,2.875,4.171,1.250,66.000,3.000,1.000
116.000,23.200,2.875,4.073,1.375,65.000,3.000,2.000
117.000,23.400,2.875,4.220,1.250,65.000,3.000,1.000
118.000,23.600,2.875,4.146,1.500,66.000,3.000,0.000
119.000,23.800,2.875,4.049,1.375,66.000,3.000,2.000
120.000,24.000,2.875,4.049,1.375,64.000,3.000,2.500
121.000,24.200,2.875,4.073,1.625,65.000,3.000,2.500
122.000,24.400,2.875,4.146,1.500,64.000,3.000,1.000
123.000,24.600,2.875,4.146,1.375,65.000,3.000,2.000
124.000,24.800,2.875,4.195,1.250,65.000,3.000,2.000
125.000,25.000,2.875,4.146,1.625,65.000,3.000,1.500
126.000,25.200,2.875,4.146,1.500,66.000,3.000,2.500
127.000,25.400,2.875,4.220,1.375,65.000,3.000,1.000
