species_rank_by_mean,concentration_label,E_young_GPa,species_mean_GPa,species_range_GPa
0,x002,37.6911,35.3711,5.1288
0,x005,32.5623,35.3711,5.1288
0,x010,35.8601,35.3711,5.1288
1,x002,33.8423,37.4962,7.3921
1,x005,41.2343,37.4962,7.3921
1,x010,37.4122,37.4962,7.3921
2,x002,36.1361,38.6286,17.0302
2,x005,31.3597,38.6286,17.0302
2,x010,48.3899,38.6286,17.0302
3,x002,25.9517,39.2017,21.0149
3,x005,44.6868,39.2017,21.0149
3,x010,46.9666,39.2017,21.0149
4,x002,41.2673,39.7634,21.8020
4,x005,28.1104,39.7634,21.8020
4,x010,49.9124,39.7634,21.8020
5,x002,43.8524,40.4918,6.9641
5,x005,36.8883,40.4918,6.9641
5,x010,40.7346,40.4918,6.9641
6,x002,39.6051,41.1514,3.4525
6,x005,40.7915,41.1514,3.4525
6,x010,43.0577,41.1514,3.4525
7,x002,41.0040,41.4174,11.6782
7,x005,35.7850,41.4174,11.6782
7,x010,47.4633,41.4174,11.6782
8,x002,45.3274,41.6145,11.5854
8,x005,45.5508,41.6145,11.5854
8,x010,33.9654,41.6145,11.5854
9,x002,42.1327,41.7767,1.0358
9,x005,42.1003,41.7767,1.0358
9,x010,41.0969,41.7767,1.0358
10,x002,45.3846,41.8977,8.0515
10,x005,37.3331,41.8977,8.0515
10,x010,42.9753,41.8977,8.0515
11,x002,53.4207,41.9903,20.7614
11,x005,39.8908,41.9903,20.7614
11,x010,32.6593,41.9903,20.7614
12,x002,42.6301,42.2193,16.6171
12,x005,33.7054,42.2193,16.6171
12,x010,50.3224,42.2193,16.6171
13,x002,39.7962,42.5483,7.2213
13,x005,47.0175,42.5483,7.2213
13,x010,40.8310,42.5483,7.2213
14,x002,47.6173,42.7495,11.4540
14,x005,44.4679,42.7495,11.4540
14,x010,36.1633,42.7495,11.4540
15,x002,33.7519,42.9059,16.7588
15,x005,44.4549,42.9059,16.7588
15,x010,50.5107,42.9059,16.7588
16,x002,44.8114,43.3434,6.0797
16,x005,45.6493,43.3434,6.0797
16,x010,39.5696,43.3434,6.0797
17,x002,41.3437,43.3571,5.1732
17,x005,46.5169,43.3571,5.1732
17,x010,42.2108,43.3571,5.1732
18,x002,40.4198,43.7834,8.1881
18,x005,48.6078,43.7834,8.1881
18,x010,42.3227,43.7834,8.1881
19,x002,53.1321,43.9390,17.8180
19,x005,43.3706,43.9390,17.8180
19,x010,35.3142,43.9390,17.8180
20,x002,43.4873,44.3688,6.6092
20,x005,48.1142,44.3688,6.6092
20,x010,41.5050,44.3688,6.6092
21,x002,42.0825,44.5711,4.8697
21,x005,44.6788,44.5711,4.8697
21,x010,46.9521,44.5711,4.8697
22,x002,47.9699,45.0350,7.1659
22,x005,40.8040,45.0350,7.1659
22,x010,46.3312,45.0350,7.1659
23,x002,49.0807,45.1580,9.5595
23,x005,39.5213,45.1580,9.5595
23,x010,46.8721,45.1580,9.5595
24,x002,48.6447,45.1807,6.4642
24,x005,44.7170,45.1807,6.4642
24,x010,42.1805,45.1807,6.4642
25,x002,43.4111,45.3894,3.0309
25,x005,46.3153,45.3894,3.0309
25,x010,46.4420,45.3894,3.0309
26,x002,43.1274,45.4992,5.3766
26,x005,48.5040,45.4992,5.3766
26,x010,44.8663,45.4992,5.3766
27,x002,46.3640,45.8962,7.9709
27,x005,49.6478,45.8962,7.9709
27,x010,41.6769,45.8962,7.9709
28,x002,46.0492,45.9368,3.4007
28,x005,44.1803,45.9368,3.4007
28,x010,47.5810,45.9368,3.4007
29,x002,44.7396,45.9486,2.0085
29,x005,46.7481,45.9486,2.0085
29,x010,46.3579,45.9486,2.0085
30,x002,46.1655,45.9996,3.3210
30,x005,47.5772,45.9996,3.3210
30,x010,44.2562,45.9996,3.3210
31,x002,40.2103,46.2321,12.2785
31,x005,52.4888,46.2321,12.2785
31,x010,45.9973,46.2321,12.2785
